case_id,qoi_label,target_time_window_s,target_evidence_exists,target_evidence_status,target_value,target_unit,target_minus_window_evidence_exists,target_minus_time_window_s,target_minus_value,target_minus_status,target_plus_window_evidence_exists,target_plus_time_window_s,target_plus_value,target_plus_status,component_values,same_label_formula_sign_basis_required,neighbor_window_uq_ready,release_allowed_now,blocking_reason,source_artifact
salt_2,Q_wall_W,7915,true,released_exact_target_window,23.1161370708,W,false,,,missing_exact_same_label_neighbor_window,false,,,missing_exact_same_label_neighbor_window,,true,false,false,target value exists but exact same-label target-minus and target-plus evidence are absent,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_exact_pressure_qwall_compute/trusted_wall_Q_wall_summary.csv
salt_2,mdot_exchange_positive_outward_proxy_kg_s,7915,true,retained_window_proxy_ready,2.68592194714e-05,kg/s,false,,,missing_exact_same_label_neighbor_window,false,,,missing_exact_same_label_neighbor_window,,true,false,false,target value exists but exact same-label target-minus and target-plus evidence are absent,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_limited_sampled_field_scheduler_extraction/sampled_field_summary.csv
salt_2,tau_recirc_proxy_s,7915,true,retained_window_proxy_ready,868.807159089,s,false,,,missing_exact_same_label_neighbor_window,false,,,missing_exact_same_label_neighbor_window,,true,false,false,target value exists but exact same-label target-minus and target-plus evidence are absent,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_average_field_thermal_reduction/diagnostic_average_exchange_metrics.csv
salt_2,wall_core_bulk_temperature_contrast_K,7915,true,retained_window_sampled_ready,-0.142156641269,K,false,,,missing_exact_same_label_neighbor_window,false,,,missing_exact_same_label_neighbor_window,delta_T_wall_minus_core_K=-0.142156641269;delta_T_core_minus_bulk_K=0.146416414127;delta_T_wall_minus_bulk_K=0.004259772858,true,false,false,target value exists but exact same-label target-minus and target-plus evidence are absent,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_limited_sampled_field_scheduler_extraction/sampled_field_summary.csv
salt_3,Q_wall_W,7618,true,released_exact_target_window,25.3465488205,W,false,,,missing_exact_same_label_neighbor_window,false,,,missing_exact_same_label_neighbor_window,,true,false,false,target value exists but exact same-label target-minus and target-plus evidence are absent,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_exact_pressure_qwall_compute/trusted_wall_Q_wall_summary.csv
salt_3,mdot_exchange_positive_outward_proxy_kg_s,7618,true,retained_window_proxy_ready,4.23665968058e-05,kg/s,false,,,missing_exact_same_label_neighbor_window,false,,,missing_exact_same_label_neighbor_window,,true,false,false,target value exists but exact same-label target-minus and target-plus evidence are absent,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_limited_sampled_field_scheduler_extraction/sampled_field_summary.csv
salt_3,tau_recirc_proxy_s,7618,true,retained_window_proxy_ready,547.838912867,s,false,,,missing_exact_same_label_neighbor_window,false,,,missing_exact_same_label_neighbor_window,,true,false,false,target value exists but exact same-label target-minus and target-plus evidence are absent,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_average_field_thermal_reduction/diagnostic_average_exchange_metrics.csv
salt_3,wall_core_bulk_temperature_contrast_K,7618,true,retained_window_sampled_ready,-0.154280008347,K,false,,,missing_exact_same_label_neighbor_window,false,,,missing_exact_same_label_neighbor_window,delta_T_wall_minus_core_K=-0.154280008347;delta_T_core_minus_bulk_K=0.158496473136;delta_T_wall_minus_bulk_K=0.004216464789,true,false,false,target value exists but exact same-label target-minus and target-plus evidence are absent,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_limited_sampled_field_scheduler_extraction/sampled_field_summary.csv
salt_4,Q_wall_W,10000,true,released_exact_target_window,28.1231837021,W,false,,,missing_exact_same_label_neighbor_window,false,,,missing_exact_same_label_neighbor_window,,true,false,false,target value exists but exact same-label target-minus and target-plus evidence are absent,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_exact_pressure_qwall_compute/trusted_wall_Q_wall_summary.csv
salt_4,mdot_exchange_positive_outward_proxy_kg_s,10000,true,retained_window_proxy_ready,7.65896288069e-05,kg/s,false,,,missing_exact_same_label_neighbor_window,false,,,missing_exact_same_label_neighbor_window,,true,false,false,target value exists but exact same-label target-minus and target-plus evidence are absent,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_limited_sampled_field_scheduler_extraction/sampled_field_summary.csv
salt_4,tau_recirc_proxy_s,10000,true,retained_window_proxy_ready,301.390653047,s,false,,,missing_exact_same_label_neighbor_window,false,,,missing_exact_same_label_neighbor_window,,true,false,false,target value exists but exact same-label target-minus and target-plus evidence are absent,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_average_field_thermal_reduction/diagnostic_average_exchange_metrics.csv
salt_4,wall_core_bulk_temperature_contrast_K,10000,true,retained_window_sampled_ready,-0.17053292931,K,false,,,missing_exact_same_label_neighbor_window,false,,,missing_exact_same_label_neighbor_window,delta_T_wall_minus_core_K=-0.17053292931;delta_T_core_minus_bulk_K=0.172378686086;delta_T_wall_minus_bulk_K=0.001845756776,true,false,false,target value exists but exact same-label target-minus and target-plus evidence are absent,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_limited_sampled_field_scheduler_extraction/sampled_field_summary.csv
