case_id,qoi_label,target_time_window_s,target_value,target_unit,target_status,target_basis,component_values,same_label_formula_sign_basis,target_release_grade,production_use_allowed_now,target_source_artifact
salt_2,Q_wall_W,7915,23.1161370708,W,released_exact_target_window,trusted_wall_wallHeatFlux_integral,,true,true,false,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_exact_pressure_qwall_compute/trusted_wall_Q_wall_summary.csv
salt_2,mdot_exchange_positive_outward_proxy_kg_s,7915,2.68592194714e-05,kg/s,retained_window_proxy_ready,limited_sampled_interface_U_rho_proxy,,true,false,false,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_limited_sampled_field_scheduler_extraction/sampled_field_summary.csv
salt_2,tau_recirc_proxy_s,7915,868.807159089,s,retained_window_proxy_ready,seeded_cv_volume_over_positive_outward_volumetric_exchange_proxy,,true,false,false,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_average_field_thermal_reduction/diagnostic_average_exchange_metrics.csv
salt_2,wall_core_bulk_temperature_contrast_K,7915,-0.142156641269,K,retained_window_sampled_ready,trusted_wall_T_area_avg_vs_interface_core_T_area_avg_vs_seeded_cv_T_volume_avg,delta_T_wall_minus_core_K=-0.142156641269;delta_T_core_minus_bulk_K=0.146416414127;delta_T_wall_minus_bulk_K=0.004259772858,true,false,false,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_limited_sampled_field_scheduler_extraction/sampled_field_summary.csv
salt_3,Q_wall_W,7618,25.3465488205,W,released_exact_target_window,trusted_wall_wallHeatFlux_integral,,true,true,false,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_exact_pressure_qwall_compute/trusted_wall_Q_wall_summary.csv
salt_3,mdot_exchange_positive_outward_proxy_kg_s,7618,4.23665968058e-05,kg/s,retained_window_proxy_ready,limited_sampled_interface_U_rho_proxy,,true,false,false,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_limited_sampled_field_scheduler_extraction/sampled_field_summary.csv
salt_3,tau_recirc_proxy_s,7618,547.838912867,s,retained_window_proxy_ready,seeded_cv_volume_over_positive_outward_volumetric_exchange_proxy,,true,false,false,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_average_field_thermal_reduction/diagnostic_average_exchange_metrics.csv
salt_3,wall_core_bulk_temperature_contrast_K,7618,-0.154280008347,K,retained_window_sampled_ready,trusted_wall_T_area_avg_vs_interface_core_T_area_avg_vs_seeded_cv_T_volume_avg,delta_T_wall_minus_core_K=-0.154280008347;delta_T_core_minus_bulk_K=0.158496473136;delta_T_wall_minus_bulk_K=0.004216464789,true,false,false,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_limited_sampled_field_scheduler_extraction/sampled_field_summary.csv
salt_4,Q_wall_W,10000,28.1231837021,W,released_exact_target_window,trusted_wall_wallHeatFlux_integral,,true,true,false,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_exact_pressure_qwall_compute/trusted_wall_Q_wall_summary.csv
salt_4,mdot_exchange_positive_outward_proxy_kg_s,10000,7.65896288069e-05,kg/s,retained_window_proxy_ready,limited_sampled_interface_U_rho_proxy,,true,false,false,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_limited_sampled_field_scheduler_extraction/sampled_field_summary.csv
salt_4,tau_recirc_proxy_s,10000,301.390653047,s,retained_window_proxy_ready,seeded_cv_volume_over_positive_outward_volumetric_exchange_proxy,,true,false,false,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_average_field_thermal_reduction/diagnostic_average_exchange_metrics.csv
salt_4,wall_core_bulk_temperature_contrast_K,10000,-0.17053292931,K,retained_window_sampled_ready,trusted_wall_T_area_avg_vs_interface_core_T_area_avg_vs_seeded_cv_T_volume_avg,delta_T_wall_minus_core_K=-0.17053292931;delta_T_core_minus_bulk_K=0.172378686086;delta_T_wall_minus_bulk_K=0.001845756776,true,false,false,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_limited_sampled_field_scheduler_extraction/sampled_field_summary.csv
