candidate_family,source_packages,candidate_count,gate_rows,score_gate_pass_rows,score_gate_fail_rows,admission_status,worst_mdot_delta_vs_m3_pct,worst_tp_delta_vs_m3_K,worst_tw_delta_vs_m3_K,worst_all_probe_delta_vs_m3_K,failed_dimensions,family_gate,physics_implication,do_not_repeat,source_paths
TSWFC1_bulk_to_ambient_series_resistance,AGENT-526_test_section_wall_fluid_coupling,2,4,0,4,not_admitted,-13.09023967,26.19173439,48.61614352,42.94069241,all_probe;tp;tw,blocked_do_not_duplicate_single_node_wall_fluid_fallback,single bulk-to-ambient series resistance improves mdot but worsens TP/TW/all-probe; next wall/fluid model must be distributed and energy-conserving,do not rerun AGENT-526 one-node bulk-to-ambient series-resistance model unchanged,work_products/2026-07/2026-07-17/2026-07-17_test_section_wall_fluid_coupling_candidate/coupled_delta_vs_m3.csv
HS1_heater_source_redistribution,AGENT-511_heater_source_redistribution,2,4,0,4,not_admitted,-12.84134177,26.65462704,48.66350107,43.07240581,all_probe;tp;tw,blocked_source_redistribution_insufficient,source placement alone does not repair the persistent TP/TW shape failure,do not retune heater-source lambda against Salt3 or blind rows,work_products/2026-07/2026-07-17/2026-07-17_heater_source_redistribution_coupled_score/coupled_delta_vs_m3.csv
HIW1_heated_incline_pipe_wall_drive,AGENT-522_wall_thermal_circuit,2,4,0,4,not_admitted,5.60155454,44.51143302,53.76941638,51.13394954,all_probe;mdot;tp;tw,blocked_wall_state_or_passive_hA_retread,wall-temperature drive selector changes are insufficient without a coupled axial/mixing state,do not launch another selector-only wall-state grid before the requirement contract is satisfied,work_products/2026-07/2026-07-17/2026-07-17_wall_thermal_circuit_study/coupled_delta_vs_m3.csv
HIW2_heated_incline_outer_surface_drive,AGENT-522_wall_thermal_circuit,2,4,0,4,not_admitted,-9.44715866,19.71497653,48.4055279,41.54593881,all_probe;tp;tw,blocked_wall_state_or_passive_hA_retread,wall-temperature drive selector changes are insufficient without a coupled axial/mixing state,do not launch another selector-only wall-state grid before the requirement contract is satisfied,work_products/2026-07/2026-07-17/2026-07-17_wall_thermal_circuit_study/coupled_delta_vs_m3.csv
PB2_local_passive_distribution,AGENT-498_wall_distribution_ladder,2,4,0,4,not_admitted,-12.85262822,,48.72979409,43.12306786,all_probe;tw,blocked_wall_state_or_passive_hA_retread,passive heat-loss redistribution does not supply the missing axial/branch thermal state,do not retry passive hA redistribution as the next Fluid grid,work_products/2026-07/2026-07-17/2026-07-17_wall_test_section_distribution_ladder/coupled_delta_vs_m3.csv
PB3_upcomer_test_section_attenuated,AGENT-498_wall_distribution_ladder,2,4,0,4,not_admitted,-11.29531994,,48.69140384,41.26196237,all_probe;tw,blocked_wall_state_or_passive_hA_retread,passive heat-loss redistribution does not supply the missing axial/branch thermal state,do not retry passive hA redistribution as the next Fluid grid,work_products/2026-07/2026-07-17/2026-07-17_wall_test_section_distribution_ladder/coupled_delta_vs_m3.csv
TSC1_test_section_pipe_wall_drive,AGENT-522_wall_thermal_circuit,2,4,0,4,not_admitted,-12.91399165,26.538614,48.71772137,43.09025462,all_probe;tp;tw,blocked_wall_state_or_passive_hA_retread,wall-temperature drive selector changes are insufficient without a coupled axial/mixing state,do not launch another selector-only wall-state grid before the requirement contract is satisfied,work_products/2026-07/2026-07-17/2026-07-17_wall_thermal_circuit_study/coupled_delta_vs_m3.csv
TSC2_test_section_outer_surface_drive,AGENT-522_wall_thermal_circuit,2,4,0,4,not_admitted,-9.175534898,13.75889144,49.02172213,41.08418019,all_probe;tp;tw,blocked_wall_state_or_passive_hA_retread,wall-temperature drive selector changes are insufficient without a coupled axial/mixing state,do not launch another selector-only wall-state grid before the requirement contract is satisfied,work_products/2026-07/2026-07-17/2026-07-17_wall_thermal_circuit_study/coupled_delta_vs_m3.csv
WTD1_upcomer_test_section_pipe_wall_drive,AGENT-513_wall_temperature_drive,2,4,0,4,not_admitted,-13.134776,,48.67636533,42.97408557,all_probe;tw,blocked_wall_state_or_passive_hA_retread,wall-temperature drive selector changes are insufficient without a coupled axial/mixing state,do not launch another selector-only wall-state grid before the requirement contract is satisfied,work_products/2026-07/2026-07-17/2026-07-17_wall_temperature_drive_candidate/coupled_delta_vs_m3.csv
WTD2_upcomer_test_section_outer_surface_drive,AGENT-513_wall_temperature_drive,1,2,0,2,not_admitted,15.88167939,,92.6772842,79.44517564,all_probe;mdot;tw,blocked_wall_state_or_passive_hA_retread,wall-temperature drive selector changes are insufficient without a coupled axial/mixing state,do not launch another selector-only wall-state grid before the requirement contract is satisfied,work_products/2026-07/2026-07-17/2026-07-17_wall_temperature_drive_candidate/coupled_delta_vs_m3.csv
