rank,sensor,kind,prediction_source_segment,compared_rows,fail_rows,pass_rows,fail_fraction,candidate_families_failed,cases,split_roles,mean_candidate_abs_error_K,mean_m3_abs_error_K,mean_positive_abs_error_delta_vs_m3_K,worst_abs_error_delta_vs_m3_K,worst_candidate_id,worst_case_id,evidence_read,required_physics,source_paths
1,TW5,TW,heated_incline,30,30,0,1,8,salt_3;salt_4,holdout;validation,54.662703,7.268349056,47.39435394,78.64861796,HIW1_heated_incline_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_4,scoreable heated-incline wall-temperature residual persists across tested wall/source families,energy-conserving upcomer/heated-incline stratification or exchange state; not another passive hA selector,work_products/2026-07/2026-07-17/2026-07-17_wall_temperature_drive_candidate/probe_delta_vs_m3.csv;work_products/2026-07/2026-07-17/2026-07-17_wall_test_section_distribution_ladder/probe_delta_vs_m3.csv;work_products/2026-07/2026-07-17/2026-07-17_wall_thermal_circuit_study/probe_delta_vs_m3.csv
2,TW6,TW,heated_incline,30,30,0,1,8,salt_3;salt_4,holdout;validation,46.8165631,5.138559631,41.67800347,71.05938137,HIW1_heated_incline_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_4,scoreable heated-incline wall-temperature residual persists across tested wall/source families,energy-conserving upcomer/heated-incline stratification or exchange state; not another passive hA selector,work_products/2026-07/2026-07-17/2026-07-17_wall_temperature_drive_candidate/probe_delta_vs_m3.csv;work_products/2026-07/2026-07-17/2026-07-17_wall_test_section_distribution_ladder/probe_delta_vs_m3.csv;work_products/2026-07/2026-07-17/2026-07-17_wall_thermal_circuit_study/probe_delta_vs_m3.csv
3,TW9,TW,cooled_incline_pre_hx,30,30,0,1,8,salt_3;salt_4,holdout;validation,34.65711915,1.907072648,32.75004651,57.66080936,HIW1_heated_incline_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_4,cooled-incline pre-HX wall temperature regresses after upstream wall/source changes,coupled upstream-to-HX thermal-shape preservation so cooler compensation does not create wall regressions,work_products/2026-07/2026-07-17/2026-07-17_wall_temperature_drive_candidate/probe_delta_vs_m3.csv;work_products/2026-07/2026-07-17/2026-07-17_wall_test_section_distribution_ladder/probe_delta_vs_m3.csv;work_products/2026-07/2026-07-17/2026-07-17_wall_thermal_circuit_study/probe_delta_vs_m3.csv
4,TW4,TW,heated_incline,30,30,0,1,8,salt_3;salt_4,holdout;validation,32.49395276,9.341136774,23.15281598,50.38001962,HIW1_heated_incline_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_4,scoreable heated-incline wall-temperature residual persists across tested wall/source families,energy-conserving upcomer/heated-incline stratification or exchange state; not another passive hA selector,work_products/2026-07/2026-07-17/2026-07-17_wall_temperature_drive_candidate/probe_delta_vs_m3.csv;work_products/2026-07/2026-07-17/2026-07-17_wall_test_section_distribution_ladder/probe_delta_vs_m3.csv;work_products/2026-07/2026-07-17/2026-07-17_wall_thermal_circuit_study/probe_delta_vs_m3.csv
5,TP6,TP,left_upper_vertical,30,30,0,1,8,salt_3;salt_4,holdout;validation,36.95376208,13.72889121,23.22487088,49.86332527,HIW1_heated_incline_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_4,path-temperature shape failure in upper upcomer/test-section neighborhood,distributed upcomer/test-section axial energy state with finite TP outputs at scoreable probes,work_products/2026-07/2026-07-17/2026-07-17_wall_temperature_drive_candidate/probe_delta_vs_m3.csv;work_products/2026-07/2026-07-17/2026-07-17_wall_test_section_distribution_ladder/probe_delta_vs_m3.csv;work_products/2026-07/2026-07-17/2026-07-17_wall_thermal_circuit_study/probe_delta_vs_m3.csv
6,TW11,TW,cooled_incline_post_hx,30,30,0,1,8,salt_3;salt_4,holdout;validation,35.25724719,12.89767235,22.35957484,49.72336837,HIW1_heated_incline_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_4,all compared rows regress relative to M3,coupled upstream-to-HX thermal-shape preservation so cooler compensation does not create wall regressions,work_products/2026-07/2026-07-17/2026-07-17_wall_temperature_drive_candidate/probe_delta_vs_m3.csv;work_products/2026-07/2026-07-17/2026-07-17_wall_test_section_distribution_ladder/probe_delta_vs_m3.csv;work_products/2026-07/2026-07-17/2026-07-17_wall_thermal_circuit_study/probe_delta_vs_m3.csv
7,TP1,TP,top_horizontal_exit,30,30,0,1,8,salt_3;salt_4,holdout;validation,39.3623504,19.84711425,19.51523615,47.00171482,HIW1_heated_incline_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_4,path-temperature shape failure in upper upcomer/test-section neighborhood,distributed upcomer/test-section axial energy state with finite TP outputs at scoreable probes,work_products/2026-07/2026-07-17/2026-07-17_wall_temperature_drive_candidate/probe_delta_vs_m3.csv;work_products/2026-07/2026-07-17/2026-07-17_wall_test_section_distribution_ladder/probe_delta_vs_m3.csv;work_products/2026-07/2026-07-17/2026-07-17_wall_thermal_circuit_study/probe_delta_vs_m3.csv
8,TW3,TW,right_vertical,30,28,2,0.9333333333,8,salt_3;salt_4,holdout;validation,31.33247108,11.64945643,21.1089832,45.80836223,HIW1_heated_incline_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_4,mixed or partial probe-level regression,segment-local thermal-shape closure with TP/TW validation outputs,work_products/2026-07/2026-07-17/2026-07-17_wall_temperature_drive_candidate/probe_delta_vs_m3.csv;work_products/2026-07/2026-07-17/2026-07-17_wall_test_section_distribution_ladder/probe_delta_vs_m3.csv;work_products/2026-07/2026-07-17/2026-07-17_wall_thermal_circuit_study/probe_delta_vs_m3.csv
9,TP3,TP,left_lower_vertical,30,28,2,0.9333333333,8,salt_3;salt_4,holdout;validation,25.65194834,8.521330455,18.55006836,48.3482211,WTD2_upcomer_test_section_outer_surface_drive_PLUS_HX_SEGMENTED_UA_NTU_N16,salt_3,mixed or partial probe-level regression,segment-local thermal-shape closure with TP/TW validation outputs,work_products/2026-07/2026-07-17/2026-07-17_wall_temperature_drive_candidate/probe_delta_vs_m3.csv;work_products/2026-07/2026-07-17/2026-07-17_wall_test_section_distribution_ladder/probe_delta_vs_m3.csv;work_products/2026-07/2026-07-17/2026-07-17_wall_thermal_circuit_study/probe_delta_vs_m3.csv
10,TP4,TP,left_lower_vertical,30,28,2,0.9333333333,8,salt_3;salt_4,holdout;validation,28.70805562,10.82990818,19.27199784,43.26943939,HIW1_heated_incline_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_4,mixed or partial probe-level regression,segment-local thermal-shape closure with TP/TW validation outputs,work_products/2026-07/2026-07-17/2026-07-17_wall_temperature_drive_candidate/probe_delta_vs_m3.csv;work_products/2026-07/2026-07-17/2026-07-17_wall_test_section_distribution_ladder/probe_delta_vs_m3.csv;work_products/2026-07/2026-07-17/2026-07-17_wall_thermal_circuit_study/probe_delta_vs_m3.csv
