case_id,fluid_case_name,split_role,segment_name,parent_segment,segment_type,mapped_external_role_count,mapped_external_hA_W_K,mapped_roles,mapped_source_segments,Q_source_W,Q_hx_sink_W,Q_ambient_W,q_ambient_W_per_m,T_in_K,T_out_K,T_avg_K,h_outer_W_m2K,h_rad_W_m2K,external_boundary_source,external_boundary_drive_selector,external_ambient_temperature_K,external_surroundings_temperature_K,external_emissivity,external_prescribed_h_W_m2K
salt_2,Salt 2,train,left_lower_vertical__s00,left_lower_vertical,vertical,1,0.09317707209586298,ambient_wall,upcomer,0.0,0.0,6.99664093934536,57.62726039720424,374.6712250834195,373.88749500726476,374.2793600453421,3.710084661674509,5.3884872359442495,,,300.0,300.0,0.85,
salt_2,Salt 2,train,left_lower_vertical__s01,left_lower_vertical,vertical,1,0.09317707209586298,ambient_wall,upcomer,0.0,0.0,6.92399402708128,114.05782010149373,373.88749500726476,373.11190248891455,373.49969874808966,4.283412884485043,5.376961898718852,,,300.0,300.0,0.85,
salt_2,Salt 2,train,left_lower_vertical__s02,left_lower_vertical,vertical,1,0.09317707209586298,ambient_wall,upcomer,0.0,0.0,6.852101415903576,112.87354488689057,373.11190248891455,372.34436303518805,372.7281327620513,4.272247234660519,5.375100789316573,,,300.0,300.0,0.85,
salt_2,Salt 2,train,left_lower_vertical__s03,left_lower_vertical,vertical,1,0.09317707209586298,ambient_wall,upcomer,0.0,0.0,6.780955273818965,55.850783067727775,372.34436303518805,371.5847930302067,371.9645780326974,3.6788542726985303,5.382597882641578,,,300.0,300.0,0.85,
salt_2,Salt 2,train,test_section__s00,test_section,test_section,0,0,,,18.5,0.0,7.071497663251634,76.06705459373127,371.5847930302067,372.86497492099693,372.2248839756018,6.962493962109845,8.080785286598022,,,300.0,300.0,0.95,
salt_2,Salt 2,train,test_section__s01,test_section,test_section,0,0,,,18.5,0.0,7.228296184215392,77.75371309555733,372.86497492099693,374.1275931814902,373.4962840512436,6.990451829504048,8.125539102983106,,,300.0,300.0,0.95,
salt_2,Salt 2,train,left_upper_vertical__s00,left_upper_vertical,vertical,1,0.09317707209586298,ambient_wall,upcomer,0.0,0.0,6.9462496371802365,57.21221656162686,374.1275931814902,373.3495076967081,373.7385504390992,3.702841408055288,5.38710858998986,,,300.0,300.0,0.85,
salt_2,Salt 2,train,left_upper_vertical__s01,left_upper_vertical,vertical,1,0.09317707209586298,ambient_wall,upcomer,0.0,0.0,6.874125943491896,113.23635132428254,373.3495076967081,372.57950116130144,372.96450442900476,4.275675479168308,5.375670603848013,,,300.0,300.0,0.85,
salt_2,Salt 2,train,left_upper_vertical__s02,left_upper_vertical,vertical,1,0.09317707209586298,ambient_wall,upcomer,0.0,0.0,6.802751118252433,112.06060551267473,372.57950116130144,371.8174896906273,372.1984954259644,4.264540889480648,5.373825098660935,,,300.0,300.0,0.85,
salt_2,Salt 2,train,left_upper_vertical__s03,left_upper_vertical,vertical,1,0.09317707209586298,ambient_wall,upcomer,0.0,0.0,6.732117385876242,55.44853380124074,371.8174896906273,371.0633902710266,371.44043998082697,3.671698609391118,5.3812684942102935,,,300.0,300.0,0.85,
salt_2,Salt 2,train,top_horizontal_inlet,top_horizontal_inlet,horizontal,2,0.13512165086318204,ambient_wall;junction_other,cooling_branch;junction,0.0,0.0,9.638772276030348,379.4792234657618,371.0633902710266,369.98368233269747,370.523536301862,3.5024677986819235,5.3825328424935535,,,300.0,300.0,0.85,
salt_2,Salt 2,train,cooled_incline_pre_hx__s00,cooled_incline_pre_hx,incline,1,0.03293975449468344,ambient_wall,cooling_branch,0.0,0.0,2.3276365605132465,22.909808666468958,369.98368233269747,369.72295840106653,369.85332036688203,3.979581569604618,5.3718652022027005,,,300.0,300.0,0.85,
salt_2,Salt 2,train,cooled_incline_pre_hx__s01,cooled_incline_pre_hx,incline,1,0.03293975449468344,ambient_wall,cooling_branch,0.0,0.0,2.3190641775622822,22.825434818526407,369.72295840106653,369.46319468179195,369.59307654142924,3.975849498514686,5.371227825867601,,,300.0,300.0,0.85,
salt_2,Salt 2,train,cooled_incline_pre_hx__s02,cooled_incline_pre_hx,incline,1,0.03293975449468344,ambient_wall,cooling_branch,0.0,0.0,2.310523365583653,90.96548683400218,369.46319468179195,369.20438763853633,369.33379116016414,5.138424499224112,5.354362203817327,,,300.0,300.0,0.85,
salt_2,Salt 2,train,cooled_incline_pre_hx__s03,cooled_incline_pre_hx,incline,1,0.03293975449468344,ambient_wall,cooling_branch,0.0,0.0,2.3020140083055685,30.210157589311905,369.20438763853633,368.9465337479863,369.07546069326133,4.128636804240745,5.367598198734398,,,300.0,300.0,0.85,
salt_2,Salt 2,train,cooled_incline_hx_active__s00,cooled_incline_hx_active,hx,0,0,,,0.0,4.952327823987961,0.0,0.0,368.9465337479863,368.3918196502026,368.66917669909446,9.641038227634558,0.0,,,nan,nan,nan,
salt_2,Salt 2,train,cooled_incline_hx_active__s01,cooled_incline_hx_active,hx,0,0,,,0.0,2.8528320600333825,0.0,0.0,368.3918196502026,368.07227180945256,368.2320457298276,12.176040386007074,0.0,,,nan,nan,nan,
salt_2,Salt 2,train,cooled_incline_hx_active__s02,cooled_incline_hx_active,hx,0,0,,,0.0,2.6587864560164847,0.0,0.0,368.07227180945256,367.7744591709504,367.9233654902015,12.192784793699497,0.0,,,nan,nan,nan,
salt_2,Salt 2,train,cooled_incline_hx_active__s03,cooled_incline_hx_active,hx,0,0,,,0.0,3.84895845842268,0.0,0.0,367.7744591709504,367.3433344153585,367.5588967931545,9.689620517437781,0.0,,,nan,nan,nan,
salt_2,Salt 2,train,cooled_incline_post_hx__s00,cooled_incline_post_hx,incline,1,0.03293975449468344,ambient_wall,cooling_branch,0.0,0.0,2.2408241481288944,29.4071410515604,367.3433344153585,367.09233454196556,367.21783447866204,4.101161464505999,5.3631269507546415,,,300.0,300.0,0.85,
