family,channel,n_probe_points,variants,x_mean_m,y_mean_m,z_mean_m,min_z_m,max_z_m,representation_note,runtime_role,runtime_allowed,coordinate_policy,source_report
TP,TP1,1,nominal_point,0.887519,0.70409,0.0,0.0,0.0,single nominal point,validation_target_coordinate_evidence_only,false,TP single nominal point; TW multi-point probe family requires explicit aggregation before flattening.,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/cross_model_comparison/campaigns/2026-05-29_ethan_salt_test_2_v1/reports/sensor_location_reference.md
TP,TP2,1,nominal_point,0.887519,-0.245426,0.0,0.0,0.0,single nominal point,validation_target_coordinate_evidence_only,false,TP single nominal point; TW multi-point probe family requires explicit aggregation before flattening.,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/cross_model_comparison/campaigns/2026-05-29_ethan_salt_test_2_v1/reports/sensor_location_reference.md
TP,TP3,1,nominal_point,0.0,0.0,0.0,0.0,0.0,single nominal point,validation_target_coordinate_evidence_only,false,TP single nominal point; TW multi-point probe family requires explicit aggregation before flattening.,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/cross_model_comparison/campaigns/2026-05-29_ethan_salt_test_2_v1/reports/sensor_location_reference.md
TP,TP4,1,nominal_point,0.0,0.323501,0.0,0.0,0.0,single nominal point,validation_target_coordinate_evidence_only,false,TP single nominal point; TW multi-point probe family requires explicit aggregation before flattening.,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/cross_model_comparison/campaigns/2026-05-29_ethan_salt_test_2_v1/reports/sensor_location_reference.md
TP,TP5,1,nominal_point,0.0,0.574779,0.0,0.0,0.0,single nominal point,validation_target_coordinate_evidence_only,false,TP single nominal point; TW multi-point probe family requires explicit aggregation before flattening.,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/cross_model_comparison/campaigns/2026-05-29_ethan_salt_test_2_v1/reports/sensor_location_reference.md
TP,TP6,1,nominal_point,0.0,0.949515,0.0,0.0,0.0,single nominal point,validation_target_coordinate_evidence_only,false,TP single nominal point; TW multi-point probe family requires explicit aggregation before flattening.,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/cross_model_comparison/campaigns/2026-05-29_ethan_salt_test_2_v1/reports/sensor_location_reference.md
TW,TW1,4,"back, bottom, front, top",0.88751925,0.534132,0.0,-0.010497,0.010497,multi-point probe family; do not flatten without an explicit aggregation rule,validation_target_coordinate_evidence_only,false,TP single nominal point; TW multi-point probe family requires explicit aggregation before flattening.,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/cross_model_comparison/campaigns/2026-05-29_ethan_salt_test_2_v1/reports/sensor_location_reference.md
TW,TW10,4,"back, bottom, front, top",0.44376,0.8268027499999999,0.0,-0.010497,0.010497,multi-point probe family; do not flatten without an explicit aggregation rule,validation_target_coordinate_evidence_only,false,TP single nominal point; TW multi-point probe family requires explicit aggregation before flattening.,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/cross_model_comparison/campaigns/2026-05-29_ethan_salt_test_2_v1/reports/sensor_location_reference.md
TW,TW11,4,"back, bottom, front, top",0.282856,0.8901847500000001,0.0,-0.010497,0.010497,multi-point probe family; do not flatten without an explicit aggregation rule,validation_target_coordinate_evidence_only,false,TP single nominal point; TW multi-point probe family requires explicit aggregation before flattening.,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/cross_model_comparison/campaigns/2026-05-29_ethan_salt_test_2_v1/reports/sensor_location_reference.md
TW,TW2,4,"back, bottom, front, top",0.88751925,0.229332,0.0,-0.010497,0.010497,multi-point probe family; do not flatten without an explicit aggregation rule,validation_target_coordinate_evidence_only,false,TP single nominal point; TW multi-point probe family requires explicit aggregation before flattening.,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/cross_model_comparison/campaigns/2026-05-29_ethan_salt_test_2_v1/reports/sensor_location_reference.md
TW,TW3,4,"back, bottom, front, top",0.887519,-0.07546775,0.0,-0.010497,0.010497,multi-point probe family; do not flatten without an explicit aggregation rule,validation_target_coordinate_evidence_only,false,TP single nominal point; TW multi-point probe family requires explicit aggregation before flattening.,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/cross_model_comparison/campaigns/2026-05-29_ethan_salt_test_2_v1/reports/sensor_location_reference.md
TW,TW4,4,"back, bottom, front, top",0.648452,-0.20334324999999998,0.0,-0.010497,0.010497,multi-point probe family; do not flatten without an explicit aggregation rule,validation_target_coordinate_evidence_only,false,TP single nominal point; TW multi-point probe family requires explicit aggregation before flattening.,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/cross_model_comparison/campaigns/2026-05-29_ethan_salt_test_2_v1/reports/sensor_location_reference.md
TW,TW5,4,"back, bottom, front, top",0.44376,-0.12271275,0.0,-0.010497,0.010497,multi-point probe family; do not flatten without an explicit aggregation rule,validation_target_coordinate_evidence_only,false,TP single nominal point; TW multi-point probe family requires explicit aggregation before flattening.,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/cross_model_comparison/campaigns/2026-05-29_ethan_salt_test_2_v1/reports/sensor_location_reference.md
TW,TW6,4,"back, bottom, front, top",0.239068,-0.04208275,0.0,-0.010497,0.010497,multi-point probe family; do not flatten without an explicit aggregation rule,validation_target_coordinate_evidence_only,false,TP single nominal point; TW multi-point probe family requires explicit aggregation before flattening.,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/cross_model_comparison/campaigns/2026-05-29_ethan_salt_test_2_v1/reports/sensor_location_reference.md
TW,TW7,4,"back, bottom, front, top",0.0,0.169958,0.0,-0.010497,0.010497,multi-point probe family; do not flatten without an explicit aggregation rule,validation_target_coordinate_evidence_only,false,TP single nominal point; TW multi-point probe family requires explicit aggregation before flattening.,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/cross_model_comparison/campaigns/2026-05-29_ethan_salt_test_2_v1/reports/sensor_location_reference.md
TW,TW8,4,"back, bottom, front, top",0.0,0.75394,0.0,-0.010497,0.010497,multi-point probe family; do not flatten without an explicit aggregation rule,validation_target_coordinate_evidence_only,false,TP single nominal point; TW multi-point probe family requires explicit aggregation before flattening.,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/cross_model_comparison/campaigns/2026-05-29_ethan_salt_test_2_v1/reports/sensor_location_reference.md
TW,TW9,4,"back, bottom, front, top",0.604664,0.76342075,0.0,-0.010497,0.010497,multi-point probe family; do not flatten without an explicit aggregation rule,validation_target_coordinate_evidence_only,false,TP single nominal point; TW multi-point probe family requires explicit aggregation before flattening.,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/cross_model_comparison/campaigns/2026-05-29_ethan_salt_test_2_v1/reports/sensor_location_reference.md
