sensor,kind,runtime_role,runtime_allowed,score_role,score_status_current,fluid_registry_x_m,fluid_registry_y_m,fluid_registry_placement_class,fluid_registry_authoritative_status,fluid_registry_caveat,fluid_parent_segment,fluid_parent_fraction,fluid_s_loop_m,fluid_s_loop_fraction,fluid_projection_status,native_cfd_representation,native_cfd_n_probe_points,native_cfd_x_mean_m,native_cfd_y_mean_m,native_nearest_parent_segment,native_nearest_parent_fraction,native_nearest_s_loop_m,native_distance_to_fluid_path_m,native_projection_status,forward_v0_experimental_prediction_available,forward_v0_cfd_prediction_available,forward_v0_prediction_source_segment,forward_v0_prediction_source_fraction,experimental_target_available,cfd_reference_target_available,current_blocker_or_caveat,primary_coordinate_sources
TP1,TP,validation_target_only,false,secondary_sensor_temperature_score,provisional_diagnostic_score_allowed,0.910054932447,0.601656780943,provisional_working_placement,not_exact_measurement,Approximate initial placement only; not an exact experimental measurement.,top_horizontal_exit,1,1.8796,0.5,exact_on_current_fluid_path,single nominal point,1,0.887519,0.70409,cooled_incline_post_hx,0.893888185309,1.82185711888,0.0972353088663,native_xy_off_path_large_offset,true,true,top_horizontal_exit,1,true,true,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/docs/provisional_sensor_locations.csv;/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/cross_model_comparison/campaigns/2026-05-29_ethan_salt_test_2_v1/data/ethan_sensor_channel_summary.csv
TP2,TP,validation_target_only,false,secondary_sensor_temperature_score,blocked_current_fluid_registry_off_path,0.935454932447,-0.312743219057,provisional_working_placement,not_exact_measurement,Approximate initial placement only; not an exact experimental measurement.,,,,,off_current_fluid_path,single nominal point,1,0.887519,-0.245426,right_vertical,0.926380994032,2.72668278094,0.0225359324466,native_xy_near_path_geometry_offset,false,false,,,true,true,Current Fluid provisional TP2 x coordinate is off the current 1D path; native CFD TP2 and notes bound it to the right-downcomer/bottom-horizontal junction.,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/docs/provisional_sensor_locations.csv;/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/cross_model_comparison/campaigns/2026-05-29_ethan_salt_test_2_v1/data/ethan_sensor_channel_summary.csv
TP3,TP,validation_target_only,false,secondary_sensor_temperature_score,provisional_diagnostic_score_allowed,0,0,provisional_working_placement,not_exact_measurement,Approximate initial placement only; not an exact experimental measurement.,left_lower_vertical,0,0,0,exact_on_current_fluid_path,single nominal point,1,0.0,0.0,left_lower_vertical,0,0,0,native_xy_on_current_fluid_path,true,true,left_lower_vertical,0,true,true,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/docs/provisional_sensor_locations.csv;/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/cross_model_comparison/campaigns/2026-05-29_ethan_salt_test_2_v1/data/ethan_sensor_channel_summary.csv
TP4,TP,validation_target_only,false,secondary_sensor_temperature_score,provisional_diagnostic_score_allowed,0,0.364236,provisional_working_placement,not_exact_measurement,Approximate initial placement only; not an exact experimental measurement.,left_lower_vertical,1,0.364236,0.0968918918919,exact_on_current_fluid_path,single nominal point,1,0.0,0.323501,left_lower_vertical,0.888163168934,0.323501,0,native_xy_on_current_fluid_path,true,true,left_lower_vertical,1,true,true,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/docs/provisional_sensor_locations.csv;/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/cross_model_comparison/campaigns/2026-05-29_ethan_salt_test_2_v1/data/ethan_sensor_channel_summary.csv
TP5,TP,validation_target_only,false,secondary_sensor_temperature_score,provisional_diagnostic_score_allowed,0,0.550164,provisional_working_placement,not_exact_measurement,Approximate initial placement only; not an exact experimental measurement.,test_section,1,0.550164,0.146351351351,exact_on_current_fluid_path,single nominal point,1,0.0,0.574779,left_upper_vertical,0.0675798108918,0.574779,0,native_xy_on_current_fluid_path,true,true,test_section,1,true,true,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/docs/provisional_sensor_locations.csv;/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/cross_model_comparison/campaigns/2026-05-29_ethan_salt_test_2_v1/data/ethan_sensor_channel_summary.csv
TP6,TP,validation_target_only,false,secondary_sensor_temperature_score,provisional_diagnostic_score_allowed,0,0.9144,provisional_working_placement,not_exact_measurement,Approximate initial placement only; not an exact experimental measurement.,left_upper_vertical,1,0.9144,0.243243243243,exact_on_current_fluid_path,single nominal point,1,0.0,0.949515,left_upper_vertical,1,0.9144,0.035115,native_xy_near_path_geometry_offset,true,true,left_upper_vertical,1,true,true,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/docs/provisional_sensor_locations.csv;/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/cross_model_comparison/campaigns/2026-05-29_ethan_salt_test_2_v1/data/ethan_sensor_channel_summary.csv
TW1,TW,validation_target_only,false,secondary_sensor_temperature_score,provisional_diagnostic_score_allowed,0.910054932447,0.373056780943,source_backed_directionally,mixed_provenance_not_exact,Approximate initial placement only; not an exact experimental measurement.,right_vertical,0.25,2.1082,0.560810810811,exact_on_current_fluid_path,multi-point probe family; do not flatten without an explicit aggregation rule,4,0.88751925,0.534132,right_vertical,0.0738459984066,1.94712478094,0.0225356824466,native_xy_near_path_geometry_offset,true,true,right_vertical,0.25,true,true,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/docs/provisional_sensor_locations.csv;/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/cross_model_comparison/campaigns/2026-05-29_ethan_salt_test_2_v1/data/ethan_sensor_channel_summary.csv
TW2,TW,validation_target_only,false,secondary_sensor_temperature_score,provisional_diagnostic_score_allowed,0.910054932447,0.144456780943,source_backed_directionally,mixed_provenance_not_exact,Approximate initial placement only; not an exact experimental measurement.,right_vertical,0.5,2.3368,0.621621621622,exact_on_current_fluid_path,multi-point probe family; do not flatten without an explicit aggregation rule,4,0.88751925,0.229332,right_vertical,0.40717933174,2.25192478094,0.0225356824466,native_xy_near_path_geometry_offset,true,true,right_vertical,0.5,true,true,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/docs/provisional_sensor_locations.csv;/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/cross_model_comparison/campaigns/2026-05-29_ethan_salt_test_2_v1/data/ethan_sensor_channel_summary.csv
TW3,TW,validation_target_only,false,secondary_sensor_temperature_score,provisional_diagnostic_score_allowed,0.910054932447,-0.084143219057,source_backed_directionally,mixed_provenance_not_exact,Approximate initial placement only; not an exact experimental measurement.,right_vertical,0.75,2.5654,0.682432432432,exact_on_current_fluid_path,multi-point probe family; do not flatten without an explicit aggregation rule,4,0.887519,-0.07546775,right_vertical,0.74051239167,2.55672453094,0.0225359324466,native_xy_near_path_geometry_offset,true,true,right_vertical,0.75,true,true,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/docs/provisional_sensor_locations.csv;/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/cross_model_comparison/campaigns/2026-05-29_ethan_salt_test_2_v1/data/ethan_sensor_channel_summary.csv
TW4,TW,validation_target_only,false,secondary_sensor_temperature_score,provisional_diagnostic_score_allowed,0.669841199335,-0.234557414293,approximate_working_placement,not_exact_measurement,Approximate initial placement only; not an exact experimental measurement.,heated_incline,0.25,3.048,0.810810810811,exact_on_current_fluid_path,multi-point probe family; do not flatten without an explicit aggregation rule,4,0.648452,-0.20334324999999998,heated_incline,0.283656108623,3.07877514572,0.0220161828277,native_xy_near_path_geometry_offset,true,true,heated_incline,0.25,true,true,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/docs/provisional_sensor_locations.csv;/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/cross_model_comparison/campaigns/2026-05-29_ethan_salt_test_2_v1/data/ethan_sensor_channel_summary.csv
