row_id,cases,current_status,postprocessing_readiness,current_allowed_use,missing_or_blocked,continuation_or_harvest_need,primary_source,refresh_note
salt1_4_nominal_freeze,salt1_nominal; salt2_jin_nominal; salt3_jin_nominal; salt4_nominal,4 nominal rows included in July 20 final-freeze envelope,ready_for_nominal_freeze_inputs; registry/summary evidence exists; source-envelope policy still blocks final unrestricted fitting,"freeze/manifests, setup-boundary candidate review, diagnostics",final source-envelope policy leaves fit/model-selection at zero; pressure/upcomer ordinary closures still blocked separately,none for nominal freeze; future fitting needs policy/source-envelope resolution rather than more solver time,work_products/2026-07/2026-07-20/2026-07-20_salt1_4_nominal_final_freeze/final_freeze_manifest.csv,supersedes July 14 Salt1 diagnostic-only status for the nominal freeze envelope only
salt2_3_4_nominal_case_admission,salt2_jin_nominal; salt3_jin_nominal; salt4_nominal,admitted in July 14 broad inventory for forward-v0 train/validation/holdout roles,"registry aggregates, BC role audit, heat/pressure ledgers, observation tables available","case-level comparison, diagnostics, split-aware score targets",not enough for ordinary upcomer Nu/f_D/K or final source-envelope-safe fitting,no continuation needed for current case-level summaries,work_products/2026-07/2026-07-14/2026-07-14_cfd_case_admission_inventory/cfd_case_admission_inventory.csv,"still valid, but use July 20 freeze/source-policy packages for final predictive fitting status"
pm10_salt2_salt4,salt2_lo10q; salt2_hi10q; salt4_lo10q; salt4_hi10q,4/4 terminal drift rows pass after 3293924 TIMEOUT and 3295438 harvest COMPLETED,terminal heat/mass-flow and registered heat ledger ready; PM10 pressure/upcomer not fit-admitted,future/frozen-model holdout scoring after final freeze; not fitting/model selection/runtime input,matched-plane pressure/upcomer extraction and wall-band fields remain incomplete,no more solver continuation for terminal PM10 classification; pressure/upcomer needs parser/rerun work,work_products/2026-07/2026-07-20/2026-07-20_salt_pm10_terminal_admission_classification/pm10_terminal_admission_rows.csv,updates stale July 14 rows that still marked selected PM10 as running/pending
pressure_upcomer_matched_plane,nominal Salt2-4 plus selected PM10/upcomer candidates,job 3305547 FAILED; wrapper released zero fit-admitted rows,partial parser evidence only; fit candidates released: 0,diagnostic only where parsed; not predictive upcomer admission,compute wrapper/rerun and parser rollup; only salt2_lo10q partial parsed in failure-repair package,rerun or repair matched-plane compute wrapper; then refresh admission rollup,work_products/2026-07/2026-07-20/2026-07-20_pressure_upcomer_post_3305547_harvest_wrapper/pressure_upcomer_admission_rollup.csv,July 20 failure state supersedes older pending-compute notes
pm5_corrected_q,salt2_lo5q; salt2_hi5q; salt4_lo5q; salt4_hi5q,postprocessed enough for holdout/diagnostic reviews in repaired PM5 packages,matched-plane/wall-band repairs exist for key rows; recirculation diagnostics available,holdout/testing diagnostics and sensitivity/correlation support only,recirculation/sign/admission gates prevent ordinary F6/internal-Nu fit admission,continue only if sensitivity coverage is specifically needed; otherwise policy blocks fitting,work_products/2026-07/2026-07-17/2026-07-17_predict_salt2_pm5_holdout_extraction_repair/salt2_pm5_admission_table.csv,more current than July 14 broad corrected-Q too-short classifications for PM5 diagnostic use
high_heat_no_recirc_probes,salt4_q3x_probe; salt4_heat_pack,3299610 and 3299620 still RUNNING in current scheduler snapshot,not ready; admitted rows now: 0 in high-heat status refresh,none beyond live monitor/readiness context,"terminal solver exit, harvest, postprocessing, steady/admission gate",wait for terminal state; harvest only from a separately claimed cfd-pp/admission row,work_products/2026-07/2026-07-20/2026-07-20_high_heat_status_refresh/README.md,current scheduler snapshot included in this report
salt2_mesh_family,salt2 coarse/medium/fine mesh-family evidence,diagnostic-only,pressure and thermal repair-smoke summaries available; closure-QOI GCI not publication-ready,mesh/GCI diagnostics and planning,"closure-QOI GCI, sign, heat-balance, and same-QOI uncertainty gates",no broad continuation decision here; resolve GCI/admission gates before publication/fit use,work_products/2026-07/2026-07-14/2026-07-14_salt_cfd_training_evidence_inventory/salt_cfd_candidate_inventory.csv,unchanged from July 14 salt inventory
val_salt2_external,val_salt2 / native Salt2 external reference,external-test/diagnostic rows exist; prediction joins blocked until frozen model predictions exist,ledger and admission packages exist; not a training row,external score target after model freeze/prediction artifact,frozen prediction artifact and score join; some pressure/corner evidence remains diagnostic,no solver continuation identified for score target use,work_products/2026-07/2026-07-17/2026-07-17_predict_val_salt2_external_ledger/val_salt2_external_admission_decision.csv,not represented well by the broad July 14 salt-only inventory
historical_water_kirst_native,water1-4; Kirst Salt1-4; native/reference rows,registry aggregate refreshed through 2026-07-18T17:39:10-05:00; many rows are convergence-audit or historical context only,basic registry aggregates/plots exist for many rows,"context, validation split history, or illustrative diagnostics only unless re-admitted",dated re-admission and convergence/admission review before current-model use,case-specific only; do not default to continuation without a re-admission objective,registry/_all_postprocessing_runs.csv,registry aggregate is current only to July 18 and is not an admission table
invalid_original_q_insulation_sweep,old 14-case Q/insulation perturbation sweep,false-steady/quarantined or deleted,not useful,"none for regression, validation, or closure evidence",not repair-targeted; use corrected Salt-Q campaign instead,none,work_products/2026-07/2026-07-14/2026-07-14_cfd_case_admission_inventory/cfd_case_admission_inventory.csv,kept only to prevent accidental reuse
