case_key,source_id,salt_number,variant,category,recommended_split,can_expand_training_now,can_enter_validation_now,can_enter_holdout_now,leakage_guardrail,requirements_before_fit,reason
salt1_jin_nominal_continuation,viscosity_screening_salt_test_1_jin_coarse_mesh,salt1,nominal,diagnostic-only/excluded,diagnostic-only,no,no,no,not current fit evidence,define Salt1 admission/split policy before any training use,Salt1 terminal window is context-only pending an explicit Salt1 admission policy.
salt2_jin_nominal_continuation,viscosity_screening_salt_test_2_jin_coarse_mesh,salt2,nominal,training candidate,training,yes,no,no,single train baseline; no validation/holdout leakage,none for current split,Lowest-current mainline Salt row in the current predictive input contract; using a single training row prevents silent multi-parameter thermal fitting on three cases.
salt3_jin_nominal_continuation,viscosity_screening_salt_test_3_jin_coarse_mesh,salt3,nominal,validation candidate,validation,no,yes,no,do not fit on Salt3 after using it for model choice,none for current split,Middle mainline Salt row; best interpolation check for any one-scalar thermal correction before touching the high-power holdout.
salt4_jin_nominal_continuation,viscosity_screening_salt_test_4_jin_coarse_mesh,salt4,nominal,holdout candidate,holdout,no,no,yes,keep endpoint hidden from fitting/model selection,none for current split,Highest-current mainline Salt row; preserves one true held-out endpoint for thesis-safe reporting.
salt1_lo10q,salt1_jin_lo10q_corrected,salt1,lo10q,perturbation/sensitivity candidate,sensitivity-only pending terminal admission,no,no,no,perturbations of a baseline are grouped with that baseline; do not treat as independent training rows without a dated split policy,define Salt1 policy and verify diagnostic-only convergenceMonitor before any continuation,Salt1 corrected-Q rows have context-only terminal evidence pending Salt1 policy.
salt1_hi10q,salt1_jin_hi10q_corrected,salt1,hi10q,diagnostic-only/excluded,excluded,no,no,no,"failed, false-steady, historical, or mesh-diagnostic evidence cannot train models","investigate failed high-Q attempt, document cause, then rebuild/rerun from corrected restart if still needed",Not accepted; early monitor/End path. Repair/rerun before treating as continuation evidence.
salt2_lo10q,salt2_jin_lo10q_corrected,salt2,lo10q,perturbation/sensitivity candidate,sensitivity-only pending terminal admission,no,no,no,perturbations of a baseline are grouped with that baseline; do not treat as independent training rows without a dated split policy,"harvest terminal logs and postprocess after Slurm exits, then run operating-point steady/admission gate",Selected live continuation job 3293924 is RUNNING; terminal steady/admission gate has not run.
salt2_lo5q,salt2_jin_lo5q_corrected,salt2,lo5q,perturbation/sensitivity candidate,sensitivity-only pending terminal admission,no,no,no,perturbations of a baseline are grouped with that baseline; do not treat as independent training rows without a dated split policy,continue or re-gate after sufficient perturbed operating-point window; do not fit until split policy is revised,Partial/under-advanced; gate says too_short; deferred continuation candidate.
salt2_hi5q,salt2_jin_hi5q_corrected,salt2,hi5q,perturbation/sensitivity candidate,sensitivity-only pending terminal admission,no,no,no,perturbations of a baseline are grouped with that baseline; do not treat as independent training rows without a dated split policy,continue or re-gate after sufficient perturbed operating-point window; do not fit until split policy is revised,Partial/under-advanced; gate says too_short; deferred continuation candidate.
salt2_hi10q,salt2_jin_hi10q_corrected,salt2,hi10q,perturbation/sensitivity candidate,sensitivity-only pending terminal admission,no,no,no,perturbations of a baseline are grouped with that baseline; do not treat as independent training rows without a dated split policy,"harvest terminal logs and postprocess after Slurm exits, then run operating-point steady/admission gate",Selected live continuation job 3293924 is RUNNING; terminal steady/admission gate has not run.
salt3_lo10q,salt3_jin_lo10q_corrected,salt3,lo10q,perturbation/sensitivity candidate,sensitivity-only pending terminal admission,no,no,no,perturbations of a baseline are grouped with that baseline; do not treat as independent training rows without a dated split policy,continue or re-gate after sufficient perturbed operating-point window; do not fit until split policy is revised,Partial/under-advanced; gate says too_short; deferred continuation candidate.
salt3_lo5q,salt3_jin_lo5q_corrected,salt3,lo5q,perturbation/sensitivity candidate,sensitivity-only pending terminal admission,no,no,no,perturbations of a baseline are grouped with that baseline; do not treat as independent training rows without a dated split policy,continue or re-gate after sufficient perturbed operating-point window; do not fit until split policy is revised,Partial/under-advanced; gate says too_short; deferred continuation candidate.
salt3_hi5q,salt3_jin_hi5q_corrected,salt3,hi5q,diagnostic-only/excluded,excluded,no,no,no,"failed, false-steady, historical, or mesh-diagnostic evidence cannot train models","investigate failed high-Q attempt, document cause, then rebuild/rerun from corrected restart if still needed",Not accepted; investigate before resubmission. Investigate cancelled high-Q attempt for BC/log/launcher issues; rerun or rebuild from corrected restart only after cause is documented.
salt3_hi10q,salt3_jin_hi10q_corrected,salt3,hi10q,diagnostic-only/excluded,excluded,no,no,no,"failed, false-steady, historical, or mesh-diagnostic evidence cannot train models","investigate failed high-Q attempt, document cause, then rebuild/rerun from corrected restart if still needed",Not accepted; investigate before resubmission. Investigate cancelled high-Q attempt for BC/log/launcher issues; rerun or rebuild from corrected restart only after cause is documented.
salt4_lo10q,salt4_jin_lo10q_corrected,salt4,lo10q,perturbation/sensitivity candidate,sensitivity-only pending terminal admission,no,no,no,perturbations of a baseline are grouped with that baseline; do not treat as independent training rows without a dated split policy,"harvest terminal logs and postprocess after Slurm exits, then run operating-point steady/admission gate",Selected live continuation job 3293924 is RUNNING; terminal steady/admission gate has not run.
salt4_lo5q,salt4_jin_lo5q_corrected,salt4,lo5q,perturbation/sensitivity candidate,sensitivity-only pending terminal admission,no,no,no,perturbations of a baseline are grouped with that baseline; do not treat as independent training rows without a dated split policy,continue or re-gate after sufficient perturbed operating-point window; do not fit until split policy is revised,Partial/under-advanced; gate says too_short; deferred continuation candidate.
salt4_hi5q,salt4_jin_hi5q_corrected,salt4,hi5q,perturbation/sensitivity candidate,sensitivity-only pending terminal admission,no,no,no,perturbations of a baseline are grouped with that baseline; do not treat as independent training rows without a dated split policy,continue or re-gate after sufficient perturbed operating-point window; do not fit until split policy is revised,Partial/under-advanced; gate says too_short; deferred continuation candidate.
salt4_hi10q,salt4_jin_hi10q_corrected,salt4,hi10q,perturbation/sensitivity candidate,sensitivity-only pending terminal admission,no,no,no,perturbations of a baseline are grouped with that baseline; do not treat as independent training rows without a dated split policy,"harvest terminal logs and postprocess after Slurm exits, then run operating-point steady/admission gate",Selected live continuation job 3293924 is RUNNING; terminal steady/admission gate has not run.
salt2_mesh_refinement_family_coarse_medium_fine,viscosity_screening_salt_test_2_jin_coarse_mesh,salt2,mesh-level,diagnostic-only/excluded,diagnostic-only,no,no,no,not current fit evidence,resolve closure-QOI GCI/sign/heat-balance gates before using mesh rows for fit or publication uncertainty,"Mesh family exists and selected Salt2 pressure/thermal outputs are readable, but 0 closure-QOI rows are publication-ready and 0 thermal rows are fit-admissible."
salt1_kirst_historical_reference,viscosity_screening_salt_test_1_kirst_coarse_mesh,salt1,kirst,diagnostic-only/excluded,diagnostic-only,no,no,no,not current fit evidence,dated re-admission task required before any downstream use,Historical/reference Salt row; not current mainline and not re-admitted for training.
salt2_native_historical_reference,val_salt_test_2_coarse_mesh_laminar,salt2,native_reference,diagnostic-only/excluded,diagnostic-only,no,no,no,not current fit evidence,dated re-admission task required before any downstream use,Historical/reference Salt row; not current mainline and not re-admitted for training.
salt2_kirst_historical_reference,viscosity_screening_salt_test_2_kirst_coarse_mesh,salt2,kirst,diagnostic-only/excluded,diagnostic-only,no,no,no,not current fit evidence,dated re-admission task required before any downstream use,Historical/reference Salt row; not current mainline and not re-admitted for training.
salt3_kirst_historical_reference,viscosity_screening_salt_test_3_kirst_coarse_mesh,salt3,kirst,diagnostic-only/excluded,diagnostic-only,no,no,no,not current fit evidence,dated re-admission task required before any downstream use,Historical/reference Salt row; not current mainline and not re-admitted for training.
salt4_kirst_historical_reference,viscosity_screening_salt_test_4_kirst_coarse_mesh,salt4,kirst,diagnostic-only/excluded,diagnostic-only,no,no,no,not current fit evidence,dated re-admission task required before any downstream use,Historical/reference Salt row; not current mainline and not re-admitted for training.
original_q_insulation_perturbation_sweep,invalid_14_case_q_insulation_campaign,salt1-salt4,old_false_steady_q_insulation,diagnostic-only/excluded,excluded,no,no,no,"failed, false-steady, historical, or mesh-diagnostic evidence cannot train models",none; use corrected Salt-Q campaign only after terminal admission,Historical Q perturbation roots were false-steady/invalid because live restart fields did not carry the intended perturbation.
