case_key,source_id,salt_number,variant,run_state,latest_time_s,steady_state_class,steady_state_admission_evidence_path,admission_verdict,can_enter_downstream_analysis_now,downstream_use_now,reason
salt1_jin_nominal_continuation,viscosity_screening_salt_test_1_jin_coarse_mesh,salt1,nominal,stopped,,context-or-diagnostic,work_products/2026-07/2026-07-13/2026-07-13_salt1_terminal_harvest_admission_review/admission_decision_table.csv,diagnostic-only,no,diagnostic-only,Salt1 terminal window is context-only pending an explicit Salt1 admission policy.
salt2_jin_nominal_continuation,viscosity_screening_salt_test_2_jin_coarse_mesh,salt2,nominal,completed,7915.88372093,admitted-baseline,work_products/2026-07/2026-07-13/2026-07-13_predictive_input_contract/case_runtime_inputs_forward_v0.csv; work_products/2026-07/2026-07-13/2026-07-13_predictive_forward_v0_imposed_cooler/forward_v0_results.csv,fit-admissible,yes,training,Lowest-current mainline Salt row in the current predictive input contract; using a single training row prevents silent multi-parameter thermal fitting on three cases.
salt3_jin_nominal_continuation,viscosity_screening_salt_test_3_jin_coarse_mesh,salt3,nominal,completed,7618.231182796,admitted-baseline,work_products/2026-07/2026-07-13/2026-07-13_predictive_input_contract/case_runtime_inputs_forward_v0.csv; work_products/2026-07/2026-07-13/2026-07-13_predictive_heat_loss_path/heldout_validation_scores.csv,validation-only,yes,validation,Middle mainline Salt row; best interpolation check for any one-scalar thermal correction before touching the high-power holdout.
salt4_jin_nominal_continuation,viscosity_screening_salt_test_4_jin_coarse_mesh,salt4,nominal,completed,10000,admitted-baseline,work_products/2026-07/2026-07-13/2026-07-13_predictive_input_contract/case_runtime_inputs_forward_v0.csv; work_products/2026-07/2026-07-13/2026-07-13_predictive_forward_v0_imposed_cooler/forward_v0_results.csv,holdout-only,yes,holdout,Highest-current mainline Salt row; preserves one true held-out endpoint for thesis-safe reporting.
salt1_lo10q,salt1_jin_lo10q_corrected,salt1,lo10q,stopped,8016.7467532467581,context-or-diagnostic,work_products/2026-07/2026-07-13/2026-07-13_salt1_terminal_harvest_admission_review/admission_decision_table.csv,diagnostic-only,no,perturbation/sensitivity candidates only after terminal admission,Salt1 corrected-Q rows have context-only terminal evidence pending Salt1 policy.
salt1_hi10q,salt1_jin_hi10q_corrected,salt1,hi10q,failed,5587.9879518072294,failed-or-invalid,work_products/2026-07/2026-07-13/2026-07-13_corrected_q_latest_time_refresh/all_corrected_q_status_table.csv,not-admissible,no,excluded until rerun,Not accepted; early monitor/End path. Repair/rerun before treating as continuation evidence.
salt2_lo10q,salt2_jin_lo10q_corrected,salt2,lo10q,running,10661.674847,pending-terminal-window,work_products/2026-07/2026-07-14/2026-07-14_corrected_q_terminal_admission_gate/corrected_q_terminal_gate_rows.csv,pending-terminal-harvest,no,perturbation/sensitivity candidates only after terminal admission,Selected live continuation job 3293924 is RUNNING; terminal steady/admission gate has not run.
salt2_lo5q,salt2_jin_lo5q_corrected,salt2,lo5q,stopped,10275.910714286,partial-not-admitted,work_products/2026-07/2026-07-13/2026-07-13_corrected_q_latest_time_refresh/all_corrected_q_status_table.csv,sensitivity-only,no,perturbation/sensitivity candidates only after terminal admission,Partial/under-advanced; gate says too_short; deferred continuation candidate.
salt2_hi5q,salt2_jin_hi5q_corrected,salt2,hi5q,stopped,9780.590909091,partial-not-admitted,work_products/2026-07/2026-07-13/2026-07-13_corrected_q_latest_time_refresh/all_corrected_q_status_table.csv,sensitivity-only,no,perturbation/sensitivity candidates only after terminal admission,Partial/under-advanced; gate says too_short; deferred continuation candidate.
salt2_hi10q,salt2_jin_hi10q_corrected,salt2,hi10q,running,10030.441989,pending-terminal-window,work_products/2026-07/2026-07-14/2026-07-14_corrected_q_terminal_admission_gate/corrected_q_terminal_gate_rows.csv,pending-terminal-harvest,no,perturbation/sensitivity candidates only after terminal admission,Selected live continuation job 3293924 is RUNNING; terminal steady/admission gate has not run.
salt3_lo10q,salt3_jin_lo10q_corrected,salt3,lo10q,stopped,9428.159090909,partial-not-admitted,work_products/2026-07/2026-07-13/2026-07-13_corrected_q_latest_time_refresh/all_corrected_q_status_table.csv,sensitivity-only,no,perturbation/sensitivity candidates only after terminal admission,Partial/under-advanced; gate says too_short; deferred continuation candidate.
salt3_lo5q,salt3_jin_lo5q_corrected,salt3,lo5q,stopped,9389.171270718,partial-not-admitted,work_products/2026-07/2026-07-13/2026-07-13_corrected_q_latest_time_refresh/all_corrected_q_status_table.csv,sensitivity-only,no,perturbation/sensitivity candidates only after terminal admission,Partial/under-advanced; gate says too_short; deferred continuation candidate.
salt3_hi5q,salt3_jin_hi5q_corrected,salt3,hi5q,failed,7639.476190476,failed-or-invalid,work_products/2026-07/2026-07-13/2026-07-13_corrected_q_latest_time_refresh/all_corrected_q_status_table.csv,not-admissible,no,excluded until rerun,Not accepted; investigate before resubmission. Investigate cancelled high-Q attempt for BC/log/launcher issues; rerun or rebuild from corrected restart only after cause is documented.
salt3_hi10q,salt3_jin_hi10q_corrected,salt3,hi10q,failed,7637.875696673,failed-or-invalid,work_products/2026-07/2026-07-13/2026-07-13_corrected_q_latest_time_refresh/all_corrected_q_status_table.csv,not-admissible,no,excluded until rerun,Not accepted; investigate before resubmission. Investigate cancelled high-Q attempt for BC/log/launcher issues; rerun or rebuild from corrected restart only after cause is documented.
salt4_lo10q,salt4_jin_lo10q_corrected,salt4,lo10q,running,11966.208333,pending-terminal-window,work_products/2026-07/2026-07-14/2026-07-14_corrected_q_terminal_admission_gate/corrected_q_terminal_gate_rows.csv,pending-terminal-harvest,no,perturbation/sensitivity candidates only after terminal admission,Selected live continuation job 3293924 is RUNNING; terminal steady/admission gate has not run.
salt4_lo5q,salt4_jin_lo5q_corrected,salt4,lo5q,stopped,11695.222222222,partial-not-admitted,work_products/2026-07/2026-07-13/2026-07-13_corrected_q_latest_time_refresh/all_corrected_q_status_table.csv,sensitivity-only,no,perturbation/sensitivity candidates only after terminal admission,Partial/under-advanced; gate says too_short; deferred continuation candidate.
salt4_hi5q,salt4_jin_hi5q_corrected,salt4,hi5q,stopped,11399.1875,partial-not-admitted,work_products/2026-07/2026-07-13/2026-07-13_corrected_q_latest_time_refresh/all_corrected_q_status_table.csv,sensitivity-only,no,perturbation/sensitivity candidates only after terminal admission,Partial/under-advanced; gate says too_short; deferred continuation candidate.
salt4_hi10q,salt4_jin_hi10q_corrected,salt4,hi10q,running,12896.986047,pending-terminal-window,work_products/2026-07/2026-07-14/2026-07-14_corrected_q_terminal_admission_gate/corrected_q_terminal_gate_rows.csv,pending-terminal-harvest,no,perturbation/sensitivity candidates only after terminal admission,Selected live continuation job 3293924 is RUNNING; terminal steady/admission gate has not run.
salt2_mesh_refinement_family_coarse_medium_fine,viscosity_screening_salt_test_2_jin_coarse_mesh,salt2,mesh-level,completed,,context-or-diagnostic,work_products/2026-07/2026-07-14/2026-07-14_thermal_closure_mesh_gate_refresh/refreshed_qoi_mesh_gate_status.csv; work_products/2026-07/2026-07-14/2026-07-14_thermal_closure_mesh_gate_refresh/thermal_admission_table.csv; work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/fit_safety_summary.csv,diagnostic-only,no,diagnostic mesh/GCI evidence only,"Mesh family exists and selected Salt2 pressure/thermal outputs are readable, but 0 closure-QOI rows are publication-ready and 0 thermal rows are fit-admissible."
