case_key,source_id,salt_number,variant,patch_or_role,thermal_role,bc_type,patch_count,heater_source,cooler_hx_removal,passive_wall,rcExternalTemperature_radiative_wall,inlet_outlet_other,imposed_Q_W,realized_wallHeatFlux_W,emissivity_values,Tsur_K_values,radiation_wallHeatFlux_semantics,evidence_path,admission_use
salt2_jin_nominal_continuation,viscosity_screening_salt_test_2_jin_coarse_mesh,salt2,nominal,ambient_wall,passive_ambient_wall_exchange,rcExternalTemperature:21,21,no,no,yes,yes,no,0,-62.233907129,0.95,299.19,rcExternalTemperature includes emissivity/Tsur; OpenFOAM wallHeatFlux is the total wall heat balance with radiation folded in and no separate exported qr term.,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/patch_role_area_heat_summary.csv,admitted baseline BC label
salt2_jin_nominal_continuation,viscosity_screening_salt_test_2_jin_coarse_mesh,salt2,nominal,cooler,intended_cooler_removal,externalTemperature:3,3,no,yes,no,no,no,-136.350739906,-136.35074,,,rcExternalTemperature includes emissivity/Tsur; OpenFOAM wallHeatFlux is the total wall heat balance with radiation folded in and no separate exported qr term.,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/patch_role_area_heat_summary.csv,admitted baseline BC label
salt2_jin_nominal_continuation,viscosity_screening_salt_test_2_jin_coarse_mesh,salt2,nominal,heater,intended_heater_input,rcExternalTemperature:3,3,yes,no,no,yes,no,265.7,243.51909758,0.95,299.19,rcExternalTemperature includes emissivity/Tsur; OpenFOAM wallHeatFlux is the total wall heat balance with radiation folded in and no separate exported qr term.,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/patch_role_area_heat_summary.csv,admitted baseline BC label
salt2_jin_nominal_continuation,viscosity_screening_salt_test_2_jin_coarse_mesh,salt2,nominal,junction_other,junction_or_stub_diagnostic,externalTemperature:7;rcExternalTemperature:11;zeroGradient:11,29,no,no,yes,yes,no,0,-39.128349537,0.95,299.19,rcExternalTemperature includes emissivity/Tsur; OpenFOAM wallHeatFlux is the total wall heat balance with radiation folded in and no separate exported qr term.,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/patch_role_area_heat_summary.csv,admitted baseline BC label
salt2_jin_nominal_continuation,viscosity_screening_salt_test_2_jin_coarse_mesh,salt2,nominal,test_section,intended_test_section_exchange,rcExternalTemperature:1,1,no,no,yes,yes,no,37,-5.679836082,0.95,299.19,rcExternalTemperature includes emissivity/Tsur; OpenFOAM wallHeatFlux is the total wall heat balance with radiation folded in and no separate exported qr term.,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/patch_role_area_heat_summary.csv,admitted baseline BC label
salt2_jin_nominal_continuation,viscosity_screening_salt_test_2_jin_coarse_mesh,salt2,nominal,zero_gradient_ncc_connector,zero_gradient_connector,zeroGradient:12,12,no,no,no,no,yes,0,0,,,rcExternalTemperature includes emissivity/Tsur; OpenFOAM wallHeatFlux is the total wall heat balance with radiation folded in and no separate exported qr term.,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/patch_role_area_heat_summary.csv,admitted baseline BC label
salt3_jin_nominal_continuation,viscosity_screening_salt_test_3_jin_coarse_mesh,salt3,nominal,ambient_wall,passive_ambient_wall_exchange,rcExternalTemperature:21,21,no,no,yes,yes,no,0,-68.319699257,0.95,299.78999999999996,rcExternalTemperature includes emissivity/Tsur; OpenFOAM wallHeatFlux is the total wall heat balance with radiation folded in and no separate exported qr term.,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/patch_role_area_heat_summary.csv,admitted baseline BC label
salt3_jin_nominal_continuation,viscosity_screening_salt_test_3_jin_coarse_mesh,salt3,nominal,cooler,intended_cooler_removal,externalTemperature:3,3,no,yes,no,no,no,-150.769638673,-150.76963867,,,rcExternalTemperature includes emissivity/Tsur; OpenFOAM wallHeatFlux is the total wall heat balance with radiation folded in and no separate exported qr term.,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/patch_role_area_heat_summary.csv,admitted baseline BC label
salt3_jin_nominal_continuation,viscosity_screening_salt_test_3_jin_coarse_mesh,salt3,nominal,heater,intended_heater_input,rcExternalTemperature:3,3,yes,no,no,yes,no,297.5,273.15537485,0.95,299.78999999999996,rcExternalTemperature includes emissivity/Tsur; OpenFOAM wallHeatFlux is the total wall heat balance with radiation folded in and no separate exported qr term.,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/patch_role_area_heat_summary.csv,admitted baseline BC label
salt3_jin_nominal_continuation,viscosity_screening_salt_test_3_jin_coarse_mesh,salt3,nominal,junction_other,junction_or_stub_diagnostic,externalTemperature:7;rcExternalTemperature:11;zeroGradient:11,29,no,no,yes,yes,no,0,-43.234690515,0.95,299.78999999999996,rcExternalTemperature includes emissivity/Tsur; OpenFOAM wallHeatFlux is the total wall heat balance with radiation folded in and no separate exported qr term.,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/patch_role_area_heat_summary.csv,admitted baseline BC label
