artifact,role,path,exists,notes
case_registry.csv,read_only_input,registry/case_registry.csv,True,input evidence; not mutated
_all_postprocessing_runs.csv,read_only_input,registry/_all_postprocessing_runs.csv,True,input evidence; not mutated
_family_index.csv,read_only_input,registry/salt1/_family_index.csv,True,input evidence; not mutated
_family_index.csv,read_only_input,registry/salt2/_family_index.csv,True,input evidence; not mutated
_family_index.csv,read_only_input,registry/salt3/_family_index.csv,True,input evidence; not mutated
_family_index.csv,read_only_input,registry/salt4/_family_index.csv,True,input evidence; not mutated
admission_split_table.csv,read_only_input,work_products/2026-07/2026-07-13/2026-07-13_predictive_validation_split/admission_split_table.csv,True,input evidence; not mutated
thermal_boundary_patch_role_table.csv,read_only_input,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/thermal_boundary_patch_role_table.csv,True,input evidence; not mutated
patch_role_area_heat_summary.csv,read_only_input,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/patch_role_area_heat_summary.csv,True,input evidence; not mutated
admission_decision_table.csv,read_only_input,work_products/2026-07/2026-07-13/2026-07-13_salt1_terminal_harvest_admission_review/admission_decision_table.csv,True,input evidence; not mutated
final_window_metrics.csv,read_only_input,work_products/2026-07/2026-07-13/2026-07-13_stopped_sbatch_steady_state_decisions/final_window_metrics.csv,True,input evidence; not mutated
corrected_case_manifest.csv,read_only_input,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/corrected_case_manifest.csv,True,input evidence; not mutated
all_corrected_q_status_table.csv,read_only_input,work_products/2026-07/2026-07-13/2026-07-13_corrected_q_latest_time_refresh/all_corrected_q_status_table.csv,True,input evidence; not mutated
corrected_q_terminal_gate_rows.csv,read_only_input,work_products/2026-07/2026-07-14/2026-07-14_corrected_q_terminal_admission_gate/corrected_q_terminal_gate_rows.csv,True,input evidence; not mutated
selected_runtime_preflight_3293924.csv,read_only_input,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/logs/selected_runtime_preflight_3293924.csv,True,input evidence; not mutated
selected_submitted_jobs.csv,read_only_input,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/selected_submitted_jobs.csv,True,input evidence; not mutated
submitted_jobs.csv,read_only_input,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/submitted_jobs.csv,True,input evidence; not mutated
README.md,read_only_input,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/README.md,True,input evidence; not mutated
