case_key,source_id,salt_number,variant,classification,source_path,run_root,case_stage_path,latest_time_s,run_state,scheduler_job_id,terminal_status_evidence_path,solver_log_path,postprocessing_availability,steady_state_admission_evidence_path,admission_verdict,reason_for_verdict,part_of_live_job_3293924,action_needed,split_recommendation,bc_label_status,Re_upcomer,recirculation_evidence_available,candidate_onset_role,next_action_to_unlock
salt1_jin_nominal_continuation,viscosity_screening_salt_test_1_jin_coarse_mesh,salt1,nominal,mainline nominal,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/registry/salt1/ethan_modern_runs_staged/salt_test_1_jin/viscosity_screening_salt_test_1_jin_coarse_mesh,jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/runs/salt1_jin_nominal_continuation_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/runs/salt1_jin_nominal_continuation_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,,stopped,,work_products/2026-07/2026-07-13/2026-07-13_salt1_terminal_harvest_admission_review/admission_decision_table.csv,jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/runs/salt1_jin_nominal_continuation_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/logs/log.foamRun_continuation,registry aggregates available,work_products/2026-07/2026-07-13/2026-07-13_salt1_terminal_harvest_admission_review/admission_decision_table.csv,diagnostic-only,Salt1 terminal window is context-only pending an explicit Salt1 admission policy.,no,define Salt1 admission/split policy before any training use,diagnostic-only,not promoted; BC role reduction still needed before fit use,,no,not_useful,define Salt1 admission policy and extract matched recirculation metrics before using as an onset anchor
salt2_jin_nominal_continuation,viscosity_screening_salt_test_2_jin_coarse_mesh,salt2,nominal,mainline nominal,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/registry/salt2/ethan_modern_runs_staged/salt_test_2_jin/viscosity_screening_salt_test_2_jin_coarse_mesh,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,7915.88372093,completed,,work_products/2026-07/2026-07-13/2026-07-13_predictive_input_contract/case_runtime_inputs_forward_v0.csv; work_products/2026-07/2026-07-13/2026-07-13_predictive_forward_v0_imposed_cooler/forward_v0_results.csv,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/logs/log.foamRun_continuation,registry aggregates available,work_products/2026-07/2026-07-13/2026-07-13_predictive_input_contract/case_runtime_inputs_forward_v0.csv; work_products/2026-07/2026-07-13/2026-07-13_predictive_forward_v0_imposed_cooler/forward_v0_results.csv,fit-admissible,Lowest-current mainline Salt row in the current predictive input contract; using a single training row prevents silent multi-parameter thermal fitting on three cases.,no,none for current split,training,full Salt2/3/4 role audit complete,71.12521667906103,yes,recirculating_reference,"already mined for coarse diagnostic recirculation metrics; still needs wall-bulk Delta T, Gz, secondary velocity fraction, and uncertainty before internal-Nu/onset admission"
salt3_jin_nominal_continuation,viscosity_screening_salt_test_3_jin_coarse_mesh,salt3,nominal,mainline nominal,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/registry/salt3/ethan_modern_runs_staged/salt_test_3_jin/viscosity_screening_salt_test_3_jin_coarse_mesh,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,7618.231182796,completed,,work_products/2026-07/2026-07-13/2026-07-13_predictive_input_contract/case_runtime_inputs_forward_v0.csv; work_products/2026-07/2026-07-13/2026-07-13_predictive_heat_loss_path/heldout_validation_scores.csv,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/logs/log.foamRun_continuation,registry aggregates available,work_products/2026-07/2026-07-13/2026-07-13_predictive_input_contract/case_runtime_inputs_forward_v0.csv; work_products/2026-07/2026-07-13/2026-07-13_predictive_heat_loss_path/heldout_validation_scores.csv,validation-only,Middle mainline Salt row; best interpolation check for any one-scalar thermal correction before touching the high-power holdout.,no,none for current split,validation,full Salt2/3/4 role audit complete,96.7702467137881,yes,recirculating_reference,"already mined for coarse diagnostic recirculation metrics; still needs wall-bulk Delta T, Gz, secondary velocity fraction, and uncertainty before internal-Nu/onset admission"
salt4_jin_nominal_continuation,viscosity_screening_salt_test_4_jin_coarse_mesh,salt4,nominal,mainline nominal,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/registry/salt4/ethan_modern_runs_staged/salt_test_4_jin/viscosity_screening_salt_test_4_jin_coarse_mesh,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,10000,completed,,work_products/2026-07/2026-07-13/2026-07-13_predictive_input_contract/case_runtime_inputs_forward_v0.csv; work_products/2026-07/2026-07-13/2026-07-13_predictive_forward_v0_imposed_cooler/forward_v0_results.csv,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/logs/log.foamRun_continuation,registry aggregates available,work_products/2026-07/2026-07-13/2026-07-13_predictive_input_contract/case_runtime_inputs_forward_v0.csv; work_products/2026-07/2026-07-13/2026-07-13_predictive_forward_v0_imposed_cooler/forward_v0_results.csv,holdout-only,Highest-current mainline Salt row; preserves one true held-out endpoint for thesis-safe reporting.,no,none for current split,holdout,full Salt2/3/4 role audit complete,134.88326391686644,yes,recirculating_reference,"already mined for coarse diagnostic recirculation metrics; still needs wall-bulk Delta T, Gz, secondary velocity fraction, and uncertainty before internal-Nu/onset admission"
salt1_lo10q,salt1_jin_lo10q_corrected,salt1,lo10q,perturbation/sensitivity,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt1_jin/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,8016.7467532467581,stopped,3275448;3288636;3288638;3288651;3288661;3288666;3288671,work_products/2026-07/2026-07-13/2026-07-13_salt1_terminal_harvest_admission_review/admission_decision_table.csv,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/logs/log.foamRun_corrected_q,prior latest-time/steady review only,work_products/2026-07/2026-07-13/2026-07-13_salt1_terminal_harvest_admission_review/admission_decision_table.csv,diagnostic-only,Salt1 corrected-Q rows have context-only terminal evidence pending Salt1 policy.,no,define Salt1 policy and verify diagnostic-only convergenceMonitor before any continuation,perturbation/sensitivity candidates only after terminal admission,manifest/root audit available; row-level BC reduction pending,,no,sensitivity_only,define Salt1 admission policy and extract matched recirculation metrics before using as an onset anchor
salt1_hi10q,salt1_jin_hi10q_corrected,salt1,hi10q,failed,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt1_jin/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,5587.9879518072294,failed,3288636;3288638;3288651;3288661;3288666;3288671,work_products/2026-07/2026-07-13/2026-07-13_corrected_q_latest_time_refresh/all_corrected_q_status_table.csv,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/logs/log.foamRun_corrected_q,prior latest-time/steady review only,work_products/2026-07/2026-07-13/2026-07-13_corrected_q_latest_time_refresh/all_corrected_q_status_table.csv,not-admissible,Not accepted; early monitor/End path. Repair/rerun before treating as continuation evidence.,no,"investigate failed high-Q attempt, document cause, then rebuild/rerun from corrected restart if still needed",excluded until rerun,manifest/root audit available; row-level BC reduction pending,,no,not_useful,define Salt1 admission policy and extract matched recirculation metrics before using as an onset anchor
salt2_lo10q,salt2_jin_lo10q_corrected,salt2,lo10q,perturbation/sensitivity,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,10661.674847,running,3293924,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/slurm-saltq_sel_cont-3293924.out; jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/slurm-saltq_sel_cont-3293924.err; jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/logs/selected_runtime_preflight_3293924.csv,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/logs/log.foamRun_corrected_q,pending terminal postprocessing,work_products/2026-07/2026-07-14/2026-07-14_corrected_q_terminal_admission_gate/corrected_q_terminal_gate_rows.csv,pending-terminal-harvest,Selected live continuation job 3293924 is RUNNING; terminal steady/admission gate has not run.,yes,"harvest terminal logs and postprocess after Slurm exits, then run operating-point steady/admission gate",perturbation/sensitivity candidates only after terminal admission,runtime preflight OK; row-level BC reduction pending,,no,sensitivity_only,"wait for job 3293924 terminal state; then harvest stdout/stderr/solver logs, run postprocessing, and run steady/admission plus recirculation extraction"
salt2_lo5q,salt2_jin_lo5q_corrected,salt2,lo5q,perturbation/sensitivity,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_lo5q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_lo5q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,10275.910714286,stopped,,work_products/2026-07/2026-07-13/2026-07-13_corrected_q_latest_time_refresh/all_corrected_q_status_table.csv,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_lo5q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/logs/log.foamRun_corrected_q,prior latest-time/steady review only,work_products/2026-07/2026-07-13/2026-07-13_corrected_q_latest_time_refresh/all_corrected_q_status_table.csv,sensitivity-only,Partial/under-advanced; gate says too_short; deferred continuation candidate.,no,continue or re-gate after sufficient perturbed operating-point window; do not fit until split policy is revised,perturbation/sensitivity candidates only after terminal admission,manifest/root audit available; row-level BC reduction pending,,no,sensitivity_only,"continue only if sensitivity coverage is needed; then run terminal harvest, postprocessing, and steady/admission gate"
salt2_hi5q,salt2_jin_hi5q_corrected,salt2,hi5q,perturbation/sensitivity,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_hi5q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_hi5q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,9780.590909091,stopped,3275449,work_products/2026-07/2026-07-13/2026-07-13_corrected_q_latest_time_refresh/all_corrected_q_status_table.csv,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_hi5q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/logs/log.foamRun_corrected_q,prior latest-time/steady review only,work_products/2026-07/2026-07-13/2026-07-13_corrected_q_latest_time_refresh/all_corrected_q_status_table.csv,sensitivity-only,Partial/under-advanced; gate says too_short; deferred continuation candidate.,no,continue or re-gate after sufficient perturbed operating-point window; do not fit until split policy is revised,perturbation/sensitivity candidates only after terminal admission,manifest/root audit available; row-level BC reduction pending,,no,sensitivity_only,"continue only if sensitivity coverage is needed; then run terminal harvest, postprocessing, and steady/admission gate"
salt2_hi10q,salt2_jin_hi10q_corrected,salt2,hi10q,perturbation/sensitivity,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,10030.441989,running,3293924,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/slurm-saltq_sel_cont-3293924.out; jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/slurm-saltq_sel_cont-3293924.err; jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/logs/selected_runtime_preflight_3293924.csv,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/logs/log.foamRun_corrected_q,pending terminal postprocessing,work_products/2026-07/2026-07-14/2026-07-14_corrected_q_terminal_admission_gate/corrected_q_terminal_gate_rows.csv,pending-terminal-harvest,Selected live continuation job 3293924 is RUNNING; terminal steady/admission gate has not run.,yes,"harvest terminal logs and postprocess after Slurm exits, then run operating-point steady/admission gate",perturbation/sensitivity candidates only after terminal admission,runtime preflight OK; row-level BC reduction pending,,no,sensitivity_only,"wait for job 3293924 terminal state; then harvest stdout/stderr/solver logs, run postprocessing, and run steady/admission plus recirculation extraction"
