case_id,time_window_s,input_lane,previous_status,updated_status,updated_path_or_value,required_for_harvest,harvest_ready_after_this_contract,remaining_blocking_reason,next_unlock_condition,source_path
salt_2,7915,cell_vtk,ready,ready,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_cell_vtk_salt2_smoke/vtk/salt_2_cell_fields.vtk,true,false,,already ready,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_three_case_cell_vtk_manifest/case_vtk_input_manifest.cells_populated.csv
salt_2,7915,volume_csv,ready,ready,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_input_generation/cell_volumes/salt_2_cell_volumes.csv,true,false,,already ready,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_three_case_cell_vtk_manifest/case_vtk_input_manifest.cells_populated.csv
salt_2,7915,exchange_interface_vtk,blocked,geometry_vtk_present_sampled_fields_absent,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_surface_vtk_from_seeded_cv/vtk/salt_2_exchange_interface.vtk,true,false,"geometry is released, but surface VTK has no sampled U/T/rho/p arrays and no production harvest can use it yet",publish trusted conservative main/recirculation interface VTK with source path,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_geometry_contract/interface_geometry_contract.csv
salt_2,7915,wall_vtk,blocked,geometry_vtk_present_wallHeatFlux_absent,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_surface_vtk_from_seeded_cv/vtk/salt_2_trusted_wall.vtk,true,false,"geometry is released, but wall VTK has no sampled wallHeatFlux/T arrays and Q_wall_W remains unreleased",publish wall/core band VTK tied to an approved recirculation cell region,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_geometry_contract/wall_core_band_contract.csv
salt_2,7915,normals,blocked,normal_convention_released_for_geometry_only,positive mdot_exchange from seeded recirculation CV toward adjacent non-seed/core cells,true,false,"normal convention exists, but numeric sampled flux fields are absent","publish interface normal vector provenance, sign convention, area basis, and source path",work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_geometry_contract/interface_geometry_contract.csv
salt_2,7915,Q_wall_W,blocked,blocked,,true,false,requires Q_wall_W from task-owned wallHeatFlux integration plus exchange state,publish task-owned wallHeatFlux integration over the released wall/core band,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_surface_source_generation/source_sink_summary.csv
salt_2,7915,source_sink_release,blocked_static_context_only,static_context_ready_not_energy_residual_release,Q_source_W=302.7;Q_sink_W=136.350739906;Q_net_W=166.349260094,true,false,"static source/sink context still lacks Q_wall_W, cp_J_kg_K, and same-window energy residual closure","publish same-window source/sink release ledger with cp_J_kg_K, sign convention, and source paths",work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_surface_source_generation/source_sink_summary.csv
salt_2,7915,same_window_thermal_fields,blocked,blocked,cell_vtk_only_or_pending,true,false,wall/core/bulk thermal contrast cannot be released without recirculation wall/core band,publish wall/core band plus bulk/core thermal reduction policy for the same window,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_geometry_contract/wall_core_band_contract.csv
salt_2,7915,same_qoi_uq,blocked,blocked,,true,false,blocked_missing_neighbor_window;blocked_missing_neighbor_window,publish same-window neighbor and mesh-family UQ for exchange QOIs before admission review,work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_c_admission_table/next_task_queue.csv
salt_2,7915,production_harvest_readiness,blocked,blocked,sampler_ready=false,true,false,"interface, wall/core, normals, Q_wall_W, source release, thermal contrast, and UQ lanes are blocked",rerun this preflight only after upstream rows release all required inputs,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_sampler_reusable_harvest_scaffold/required_vtk_input_contract.csv
