source_id,case_id,span,property_mode,candidate_source,provenance_author_title,source_use_category,overlap_status,source_range_summary,tamu_range_summary,admission_recommendation,reason
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,left_lower_leg,jin_viscosity_cp_1560_k_060,chen_2017_low_re_molten_salt_mixed_convection,"Chen et al., Characteristics of the laminar convective heat transfer of molten salt in concentric tube",source_bounded_active_candidate_only_if_inside,outside,Re 300-2300; Pr 11-27; Gr 8.56e4-3.95e6; Gz 150-310; 35<L/D<95; concentric-tube molten salt,Re=68.8 Pr=23.3 Gr=1.86e+03 Gz=286 L/D=5.59,do_not_promote,one or more TAMU nondimensional groups are outside or unknown
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,left_lower_leg,jin_viscosity_cp_1560_k_060,tian_2024_turbulent_cooled_molten_salt,"Tian et al., Numerical analysis of turbulent mixed convection heat transfer of molten salt in horizontal tubes with uniformly cooled heat flux",reference_or_outside_if_laminar,outside,turbulent mixed convection source; exact audited numeric range not promoted for low-Re TAMU laminar branches,Re=68.8 Pr=23.3 Gr=1.86e+03 Gz=286 L/D=5.59,reference_only,TAMU branch Re is laminar in this ledger
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,left_lower_leg,jin_viscosity_cp_1560_k_060,muzychka_yovanovich_forced_combined_entry,"Muzychka and Yovanovich, Laminar Forced Convection Heat Transfer in the Combined Entry Region of Non-Circular Ducts",method_reference_pending_characteristic_length_conversion,inside,0.1<Pr<infinity; laminar forced combined entry; characteristic-length conversion required,Re=68.8 Pr=23.3 Gr=1.86e+03 Gz=286 L/D=5.59,reference_or_candidate_after_conversion_audit,Pr/Re model class overlaps but implementation constants and characteristic length must be audited before active closure
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,left_lower_leg,jin_viscosity_cp_1560_k_060,everts_meyer_entrance_length_gate,"Everts and Meyer, Laminar Hydrodynamic and Thermal Entrance Lengths for Simultaneously Hydrodynamically and Thermally Developing Forced and Mixed Convective Flows in Horizontal Tubes",diagnostic_gate,unknown,entrance-length and mixed-convection diagnostic source; fluid/geometry/range match not fully established here,Re=68.8 Pr=23.3 Gr=1.86e+03 Gz=286 L/D=5.59,use_as_gate_not_active_correlation,"TAMU groups are computed, but exact source envelope and geometry match require separate audit"
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,left_lower_leg,jin_viscosity_parida_cp_santini_k,chen_2017_low_re_molten_salt_mixed_convection,"Chen et al., Characteristics of the laminar convective heat transfer of molten salt in concentric tube",source_bounded_active_candidate_only_if_inside,outside,Re 300-2300; Pr 11-27; Gr 8.56e4-3.95e6; Gz 150-310; 35<L/D<95; concentric-tube molten salt,Re=68.8 Pr=23.5 Gr=1.86e+03 Gz=290 L/D=5.59,do_not_promote,one or more TAMU nondimensional groups are outside or unknown
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,left_lower_leg,jin_viscosity_parida_cp_santini_k,tian_2024_turbulent_cooled_molten_salt,"Tian et al., Numerical analysis of turbulent mixed convection heat transfer of molten salt in horizontal tubes with uniformly cooled heat flux",reference_or_outside_if_laminar,outside,turbulent mixed convection source; exact audited numeric range not promoted for low-Re TAMU laminar branches,Re=68.8 Pr=23.5 Gr=1.86e+03 Gz=290 L/D=5.59,reference_only,TAMU branch Re is laminar in this ledger
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,left_lower_leg,jin_viscosity_parida_cp_santini_k,muzychka_yovanovich_forced_combined_entry,"Muzychka and Yovanovich, Laminar Forced Convection Heat Transfer in the Combined Entry Region of Non-Circular Ducts",method_reference_pending_characteristic_length_conversion,inside,0.1<Pr<infinity; laminar forced combined entry; characteristic-length conversion required,Re=68.8 Pr=23.5 Gr=1.86e+03 Gz=290 L/D=5.59,reference_or_candidate_after_conversion_audit,Pr/Re model class overlaps but implementation constants and characteristic length must be audited before active closure
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,left_lower_leg,jin_viscosity_parida_cp_santini_k,everts_meyer_entrance_length_gate,"Everts and Meyer, Laminar Hydrodynamic and Thermal Entrance Lengths for Simultaneously Hydrodynamically and Thermally Developing Forced and Mixed Convective Flows in Horizontal Tubes",diagnostic_gate,unknown,entrance-length and mixed-convection diagnostic source; fluid/geometry/range match not fully established here,Re=68.8 Pr=23.5 Gr=1.86e+03 Gz=290 L/D=5.59,use_as_gate_not_active_correlation,"TAMU groups are computed, but exact source envelope and geometry match require separate audit"
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,left_lower_leg,replication_reis_jadyn,chen_2017_low_re_molten_salt_mixed_convection,"Chen et al., Characteristics of the laminar convective heat transfer of molten salt in concentric tube",source_bounded_active_candidate_only_if_inside,outside,Re 300-2300; Pr 11-27; Gr 8.56e4-3.95e6; Gz 150-310; 35<L/D<95; concentric-tube molten salt,Re=53.1 Pr=51.3 Gr=1.11e+03 Gz=488 L/D=5.59,do_not_promote,one or more TAMU nondimensional groups are outside or unknown
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,left_lower_leg,replication_reis_jadyn,tian_2024_turbulent_cooled_molten_salt,"Tian et al., Numerical analysis of turbulent mixed convection heat transfer of molten salt in horizontal tubes with uniformly cooled heat flux",reference_or_outside_if_laminar,outside,turbulent mixed convection source; exact audited numeric range not promoted for low-Re TAMU laminar branches,Re=53.1 Pr=51.3 Gr=1.11e+03 Gz=488 L/D=5.59,reference_only,TAMU branch Re is laminar in this ledger
