case_label,scenario,accepted_for_validation,validity_status,air_outlet_temperature_error_k,mass_flow_relative_error_pct,temperature_periodicity_error_k,profile_descriptor_mode,internal_htc_mode,current_evidence_status,source_summary_csv
Salt 1,ethan_cfd_informed_salt_baseline_ins_1.0in_rad_0,True,valid,-14.382839839910844,4.797288765344348,-1.0062422006740235e-09,disabled,baseline,quarantined_pending_revalidation,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/results/diagnostics/ethan_cfd_informed_salt_v1/ethan_cfd_informed_salt_baseline_ins_1.0in_rad_0/Salt_1/summary.csv
Salt 2,ethan_cfd_informed_salt_baseline_ins_1.0in_rad_0,True,valid,-8.691438117622909,15.908356954638752,-1.27965904539451e-09,disabled,baseline,quarantined_pending_revalidation,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/results/diagnostics/ethan_cfd_informed_salt_v1/ethan_cfd_informed_salt_baseline_ins_1.0in_rad_0/Salt_2/summary.csv
Salt 3,ethan_cfd_informed_salt_baseline_ins_1.0in_rad_0,False,valid,-15.160969480659674,15.562752655084642,0.6191490859282567,disabled,baseline,quarantined_pending_revalidation,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/results/diagnostics/ethan_cfd_informed_salt_v1/ethan_cfd_informed_salt_baseline_ins_1.0in_rad_0/Salt_3/summary.csv
Salt 4,ethan_cfd_informed_salt_baseline_ins_1.0in_rad_0,False,valid,-25.332810893233386,2.743973260893861,1.5531624178889842,disabled,baseline,quarantined_pending_revalidation,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/results/diagnostics/ethan_cfd_informed_salt_v1/ethan_cfd_informed_salt_baseline_ins_1.0in_rad_0/Salt_4/summary.csv
Salt 1,ethan_cfd_informed_salt_baseline_ins_1.0in_rad_1,True,valid,-24.949400245802963,-13.201315955222011,5.515516932064202e-10,disabled,baseline,quarantined_pending_revalidation,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/results/diagnostics/ethan_cfd_informed_salt_v1/ethan_cfd_informed_salt_baseline_ins_1.0in_rad_1/Salt_1/summary.csv
Salt 2,ethan_cfd_informed_salt_baseline_ins_1.0in_rad_1,True,valid,-20.411227834556257,-2.0406532863831655,5.035190042690374e-10,disabled,baseline,quarantined_pending_revalidation,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/results/diagnostics/ethan_cfd_informed_salt_v1/ethan_cfd_informed_salt_baseline_ins_1.0in_rad_1/Salt_2/summary.csv
Salt 3,ethan_cfd_informed_salt_baseline_ins_1.0in_rad_1,True,valid,-22.748559855384542,8.909570484704814,1.0188614396611229e-09,disabled,baseline,quarantined_pending_revalidation,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/results/diagnostics/ethan_cfd_informed_salt_v1/ethan_cfd_informed_salt_baseline_ins_1.0in_rad_1/Salt_3/summary.csv
Salt 4,ethan_cfd_informed_salt_baseline_ins_1.0in_rad_1,True,valid,-26.369698019088048,9.790067273622896,-9.72022462519817e-11,disabled,baseline,quarantined_pending_revalidation,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/results/diagnostics/ethan_cfd_informed_salt_v1/ethan_cfd_informed_salt_baseline_ins_1.0in_rad_1/Salt_4/summary.csv
Salt 1,ethan_cfd_informed_salt_baseline_ins_2.0in_rad_1,True,valid,-14.955172634497615,7.460682977896117,-2.643446350703016e-09,disabled,baseline,quarantined_pending_revalidation,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/results/diagnostics/ethan_cfd_informed_salt_v1/ethan_cfd_informed_salt_baseline_ins_2.0in_rad_1/Salt_1/summary.csv
Salt 2,ethan_cfd_informed_salt_baseline_ins_2.0in_rad_1,True,valid,-9.66265051570116,18.539357435733912,-9.051746019395068e-10,disabled,baseline,quarantined_pending_revalidation,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/results/diagnostics/ethan_cfd_informed_salt_v1/ethan_cfd_informed_salt_baseline_ins_2.0in_rad_1/Salt_2/summary.csv
Salt 3,ethan_cfd_informed_salt_baseline_ins_2.0in_rad_1,False,valid,-15.421021582033632,19.639649550482392,0.5021623613175734,disabled,baseline,quarantined_pending_revalidation,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/results/diagnostics/ethan_cfd_informed_salt_v1/ethan_cfd_informed_salt_baseline_ins_2.0in_rad_1/Salt_3/summary.csv
Salt 4,ethan_cfd_informed_salt_baseline_ins_2.0in_rad_1,False,valid,-25.590210043928835,6.215634911666402,1.4083977725613295,disabled,baseline,quarantined_pending_revalidation,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/results/diagnostics/ethan_cfd_informed_salt_v1/ethan_cfd_informed_salt_baseline_ins_2.0in_rad_1/Salt_4/summary.csv
Salt 1,ethan_cfd_informed_salt_hybrid_ins_1.0in_rad_0,True,valid,-14.009374068430532,-0.499265205845741,2.852402758435346e-10,ethan_cfd_informed_salt_v1,per_parent_multiplier,quarantined_pending_revalidation,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/results/diagnostics/ethan_cfd_informed_salt_v1/ethan_cfd_informed_salt_hybrid_ins_1.0in_rad_0/Salt_1/summary.csv
Salt 1,ethan_cfd_informed_salt_hybrid_ins_1.0in_rad_1,True,valid,-24.42988719022685,-17.282184413001932,-4.961464128427906e-09,ethan_cfd_informed_salt_v1,per_parent_multiplier,quarantined_pending_revalidation,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/results/diagnostics/ethan_cfd_informed_salt_v1/ethan_cfd_informed_salt_hybrid_ins_1.0in_rad_1/Salt_1/summary.csv
Salt 1,ethan_cfd_informed_salt_hybrid_ins_2.0in_rad_1,True,valid,-14.597032433093489,2.619613693353681,-1.4301804185379297e-10,ethan_cfd_informed_salt_v1,per_parent_multiplier,quarantined_pending_revalidation,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/results/diagnostics/ethan_cfd_informed_salt_v1/ethan_cfd_informed_salt_hybrid_ins_2.0in_rad_1/Salt_1/summary.csv
