item_id,study_id,artifact_type,proposed_name,target_section,source_data_needed,purpose,status,guardrail
FT-01,S0,table,baseline_control_surface_table,Chapter 7,first-key baseline_control_surface.csv,Show what the current legal model can and cannot predict,ready_after_first_key_closeout,No tuning or hidden completion of missing predictions
FT-02,S0,table,runtime_split_leakage_audit_table,Methods and Chapter 6,first-key runtime_and_split_gate_audit.csv,Document runtime and split legality,ready_after_first_key_closeout,No CFD mdot/wallHeatFlux/validation temperature runtime inputs
FT-03,S1,heatmap,external_bc_coverage_heatmap,Model-form chapter,external_bc_completion_matrix.csv and future Fluid external-BC dictionary,Show segment/patch coverage and setup_unavailable gaps,partly_ready,Do not fill gaps from realized CFD response fields
FT-04,S1,table,radiation_convection_ownership_table,Model-form chapter,heat-loss Phase 1 package,Separate convection/radiation semantics and no-double-count policy,ready_from_phase_1,Do not add separate radiation on top of total CFD wallHeatFlux replay
FT-05,S2,waterfall,thermal_residual_by_heat_path_waterfall,Results chapter,heat-loss Phase 2 plus Phase 3 scoring output,Attribute thermal residuals by named heat path,blocked_until_phase_3,Do not absorb passive wall/test-section/cooler/junction heat into internal Nu
FT-06,S2,table,wall_test_section_candidate_score_table,Chapter 6 and Chapter 7,Phase 3 wall/test-section model score package,Compare mdot TP TW all-probe TW5 TW6 and heat-ledger outcomes,blocked_until_phase_3,Negative candidate rows remain results not admissions
FT-07,S3,waterfall,pressure_residual_source_envelope_waterfall,Results chapter,pressure source-envelope and publication freeze packages,Show straight section cluster component recirculation-effective unresolved pressure lanes,partly_ready,No component K F6 clipped-K or global multiplier admission
FT-08,S3,table,pressure_non_admission_table,Chapter 6,pressure-corner freeze and same-QOI synthesis packages,Document why current corner/F6 rows stay diagnostic,partly_ready,Do not convert diagnostic pressure evidence to admitted predictive closure
FT-09,S4,table,ordinary_closure_disable_table,Model-form and Chapter 6,S4 recirculation guard package,Name rows where ordinary Nu f_D K are disabled,blocked_until_S4,Current recirculating rows are diagnostic only
FT-10,S4,diagram_or_table,upcomer_hybrid_interface_contract,Model-form chapter,S4 recirculation guard package and existing F03 schematic,Define throughflow and recirculation exchange variables,blocked_until_S4,Show interface variables not fitted final coefficients
FT-11,S5,table,source_property_release_ledger,Methods and Chapter 6,S5 source/property split release package,Gate candidate terms by source/property labels,blocked_until_S5,No blank source/property labels for fit or admission rows
FT-12,S5,table,split_use_permissions_table,Methods chapter,S5 package and canonical split policy,Separate train support holdout external permissions,blocked_until_S5,No support/holdout/external row affects fit or model selection
FT-13,S6,table,final_or_blocked_scorecard_shell,Chapter 7,S6 frozen candidate package or blocked scorecard shell,Report final scorecard only if frozen candidate exists; otherwise publish blocked shell,trigger_gated,No final accuracy claim before freeze
FT-14,S6,table,uncertainty_source_release_table,Chapter 6 and Chapter 7,S6 package plus uncertainty chapter package,Join uncertainty and source-release status to score claims,trigger_gated,Do not merge diagnostic and admitted uncertainty claims
FT-15,FT,diagram,stage_gate_flow_diagram,Methods and Chapter 7,S0-S6 package statuses,Show path from baseline to frozen scorecard or blocked shell,evidence_gated,Each gate must cite source artifacts
