case_id,mode_id,part,predictivity_class,result_status,root_status,admission_use_class,split,mdot_pred_kg_s,cfd_mdot_kg_s,mdot_error_kg_s,mdot_error_pct,model_Tmean_K,cfd_Tmean_K,Tmean_error_K,model_loop_delta_T_K,cfd_loop_delta_T_K,loop_delta_error_K,qhx_total_W,qambient_total_W,source_total_W,prescribed_loss_total_W,pressure_residual_Pa,temperature_periodicity_error_K,runtime_input_policy,closure_terms,assumption_ids,source_paths,blocked_reason
salt_1,M1_full_cfd_segment_heat_flux_pressure_root,part1,diagnostic_cfd_informed_upper_bound,blocked_missing_inputs,,diagnostic_context_only,diagnostic-only,,,,,,,,,,,,,,,,,CFD realized heat fluxes consumed as diagnostic upper-bound inputs; CFD mdot joined only after solve.,Fluid geometry; default MinorLosses; default friction closure; prescribed CFD heat sources/losses.,A001;A002;A003;A006;A009;A008,work_products/2026-07/2026-07-08/2026-07-08_thermal_boundary_contract/case_thermal_targets.csv;work_products/2026-07/2026-07-14/2026-07-14_flow_rate_temperature_bc_response_study/case_bc_response_matrix.csv;work_products/2026-07/2026-07-14/2026-07-14_cfd_case_admission_inventory/cfd_case_admission_inventory.csv,No current section_heat_balance patch heat ledger for this case.
salt_1,M1b_full_cfd_segment_heat_flux_fixed_mdot,part1,diagnostic_fixed_mdot_thermal_isolation,blocked_missing_inputs,,diagnostic_context_only,diagnostic-only,,,,,,,,,,,,,,,,,CFD mdot and realized heat fluxes consumed; thermal diagnostic only.,Fluid thermal periodicity; default MinorLosses pressure residual only; full prescribed CFD heat losses.,A001;A002;A003;A004;A006;A009;A008,work_products/2026-07/2026-07-08/2026-07-08_thermal_boundary_contract/case_thermal_targets.csv;work_products/2026-07/2026-07-14/2026-07-14_flow_rate_temperature_bc_response_study/case_bc_response_matrix.csv;work_products/2026-07/2026-07-14/2026-07-14_cfd_case_admission_inventory/cfd_case_admission_inventory.csv,No current section_heat_balance patch heat ledger for this case.
salt_1,M2_cfd_heater_test_section_cooler_pressure_root,part2,diagnostic_cfd_informed_boundary_subset,blocked_missing_inputs,,diagnostic_context_only,diagnostic-only,,,,,,,,,,,,,,,,,CFD heater/test/cooler heat terms consumed; CFD mdot joined only after solve.,Imposed qhx for cooler; negative test-section source to preserve current passive model; default friction/minor losses.,A001;A002;A003;A005;A006;A009;A008,work_products/2026-07/2026-07-08/2026-07-08_thermal_boundary_contract/case_thermal_targets.csv;work_products/2026-07/2026-07-14/2026-07-14_flow_rate_temperature_bc_response_study/case_bc_response_matrix.csv;work_products/2026-07/2026-07-14/2026-07-14_cfd_case_admission_inventory/cfd_case_admission_inventory.csv,No current section_heat_balance patch heat ledger for this case.
salt_1,M3_cfd_heater_cooler_pressure_root,part3,diagnostic_cfd_informed_boundary_subset,blocked_missing_inputs,,diagnostic_context_only,diagnostic-only,,,,,,,,,,,,,,,,,CFD heater/cooler heat terms consumed; CFD mdot joined only after solve.,Imposed qhx for cooler; no CFD test-section term; default friction/minor losses.,A001;A002;A003;A006;A009;A008,work_products/2026-07/2026-07-08/2026-07-08_thermal_boundary_contract/case_thermal_targets.csv;work_products/2026-07/2026-07-14/2026-07-14_flow_rate_temperature_bc_response_study/case_bc_response_matrix.csv;work_products/2026-07/2026-07-14/2026-07-14_cfd_case_admission_inventory/cfd_case_admission_inventory.csv,No current section_heat_balance patch heat ledger for this case.
salt_2,M1_full_cfd_segment_heat_flux_pressure_root,part1,diagnostic_cfd_informed_upper_bound,executed,fast_scan_bracketed_pressure_root,train_candidate,train,0.01953125,0.01318,0.00635125,48.1885432473,373.282174312,450.3,-77.0178256879,8.51084069963,12.1,-3.58915930037,0,243.392832748,243.51909758,243.392832748,174.876928056,0.00453711434506,CFD realized heat fluxes consumed as diagnostic upper-bound inputs; CFD mdot joined only after solve.,Fluid geometry; default MinorLosses; default friction closure; prescribed CFD heat sources/losses.,A001;A002;A003;A006;A009,work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/section_heat_balance.csv;work_products/2026-07/2026-07-08/2026-07-08_thermal_boundary_contract/case_thermal_targets.csv;/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid,
salt_2,M1b_full_cfd_segment_heat_flux_fixed_mdot,part1,diagnostic_fixed_mdot_thermal_isolation,executed,fixed_cfd_mdot_evaluated,train_candidate,train,0.01318,0.01318,0,0,268.213814361,450.3,-182.086185639,12.6120908509,12.1,0.512090850886,0,243.392832748,243.51909758,243.392832748,12461.930743,0.00672348365384,CFD mdot and realized heat fluxes consumed; thermal diagnostic only.,Fluid thermal periodicity; default MinorLosses pressure residual only; full prescribed CFD heat losses.,A001;A002;A003;A004;A006;A009,work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/section_heat_balance.csv;work_products/2026-07/2026-07-08/2026-07-08_thermal_boundary_contract/case_thermal_targets.csv;/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid,
salt_2,M2_cfd_heater_test_section_cooler_pressure_root,part2,diagnostic_cfd_informed_boundary_subset,executed,fast_scan_bracketed_pressure_root,train_candidate,train,0.01453125,0.01318,0.00135125,10.252276176,426.391704039,450.3,-23.9082959608,10.5427802612,12.1,-1.55721973878,136.35074,101.489166233,237.83926149799998,0,0.324673029239,2.20200035983e-09,CFD heater/test/cooler heat terms consumed; CFD mdot joined only after solve.,Imposed qhx for cooler; negative test-section source to preserve current passive model; default friction/minor losses.,A001;A002;A003;A005;A006;A009,work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/section_heat_balance.csv;work_products/2026-07/2026-07-08/2026-07-08_thermal_boundary_contract/case_thermal_targets.csv;/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid,
salt_2,M3_cfd_heater_cooler_pressure_root,part3,diagnostic_cfd_informed_boundary_subset,executed,fast_scan_bracketed_pressure_root,train_candidate,train,0.01515625,0.01318,0.00197625,14.9943095599,431.959437383,450.3,-18.3405626168,10.0424552436,12.1,-2.05754475644,136.35074,107.169027594,243.51909758,0,0.900402514706,-1.27698740471e-09,CFD heater/cooler heat terms consumed; CFD mdot joined only after solve.,Imposed qhx for cooler; no CFD test-section term; default friction/minor losses.,A001;A002;A003;A006;A009,work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/section_heat_balance.csv;work_products/2026-07/2026-07-08/2026-07-08_thermal_boundary_contract/case_thermal_targets.csv;/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid,
salt_3,M1_full_cfd_segment_heat_flux_pressure_root,part1,diagnostic_cfd_informed_upper_bound,executed,fast_scan_bracketed_pressure_root,validation_candidate,validation,0.01484375,0.01497,-0.00012625,-0.843353373414,268.796669525,463.7,-194.903330475,12.5685342545,12.2,0.368534254495,0,272.869068832,273.15537485,272.869068832,13462.6069646,0.0135367436253,CFD realized heat fluxes consumed as diagnostic upper-bound inputs; CFD mdot joined only after solve.,Fluid geometry; default MinorLosses; default friction closure; prescribed CFD heat sources/losses.,A001;A002;A003;A006;A009,work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/section_heat_balance.csv;work_products/2026-07/2026-07-08/2026-07-08_thermal_boundary_contract/case_thermal_targets.csv;/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid,
salt_3,M1b_full_cfd_segment_heat_flux_fixed_mdot,part1,diagnostic_fixed_mdot_thermal_isolation,executed,fixed_cfd_mdot_evaluated,validation_candidate,validation,0.01497,0.01497,0,0,530.09721448,463.7,66.3972144801,12.4625370969,12.2,0.262537096871,0,272.869068832,273.15537485,272.869068832,-53.4517026988,0.0134225810416,CFD mdot and realized heat fluxes consumed; thermal diagnostic only.,Fluid thermal periodicity; default MinorLosses pressure residual only; full prescribed CFD heat losses.,A001;A002;A003;A004;A006;A009,work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/section_heat_balance.csv;work_products/2026-07/2026-07-08/2026-07-08_thermal_boundary_contract/case_thermal_targets.csv;/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid,
