case_id,mode_id,part,kind,n_compared,rmse_K,mae_K,mean_error_K,max_abs_error_K,missing_prediction_count,missing_target_count
salt_2,M1_full_cfd_segment_heat_flux_pressure_root,part1,TP,5,74.2455688255,74.148135123,-74.148135123,80.9597398717,1,0
salt_2,M1_full_cfd_segment_heat_flux_pressure_root,part1,TW,10,76.6445246355,75.8277183837,-75.8277183837,98.6587336228,1,0
salt_2,M1_full_cfd_segment_heat_flux_pressure_root,part1,all,15,75.8533031657,75.2678572968,-75.2678572968,98.6587336228,2,0
salt_2,M1b_full_cfd_segment_heat_flux_fixed_mdot,part1,TP,5,178.177334902,178.102101076,-178.102101076,187.783510202,1,0
salt_2,M1b_full_cfd_segment_heat_flux_fixed_mdot,part1,TW,10,181.086334931,180.679974576,-180.679974576,205.190074199,1,0
salt_2,M1b_full_cfd_segment_heat_flux_fixed_mdot,part1,all,15,180.121888426,179.820683409,-179.820683409,205.190074199,2,0
salt_2,M2_cfd_heater_test_section_cooler_pressure_root,part2,TP,5,20.9977644603,20.5472341895,-20.5472341895,28.1330585035,1,0
salt_2,M2_cfd_heater_test_section_cooler_pressure_root,part2,TW,10,25.8373342636,23.1842871676,-23.1842871676,46.3574304286,1,0
salt_2,M2_cfd_heater_test_section_cooler_pressure_root,part2,all,15,24.3313364206,22.3052695082,-22.3052695082,46.3574304286,2,0
salt_2,M3_cfd_heater_cooler_pressure_root,part3,TP,5,15.6490991249,15.0914226931,-15.0914226931,22.3658478906,1,0
salt_2,M3_cfd_heater_cooler_pressure_root,part3,TW,10,20.9549296417,17.6424155188,-17.6424155188,40.6331594552,1,0
salt_2,M3_cfd_heater_cooler_pressure_root,part3,all,15,19.3486645189,16.7920845769,-16.7920845769,40.6331594552,2,0
salt_3,M1_full_cfd_segment_heat_flux_pressure_root,part1,TP,5,190.750154639,190.68191417,-190.68191417,200.246305387,1,0
salt_3,M1_full_cfd_segment_heat_flux_pressure_root,part1,TW,10,192.922076267,192.50952636,-192.50952636,218.026456689,1,0
salt_3,M1_full_cfd_segment_heat_flux_pressure_root,part1,all,15,192.200829444,191.900322297,-191.900322297,218.026456689,2,0
salt_3,M1b_full_cfd_segment_heat_flux_fixed_mdot,part1,TP,5,70.7713724054,70.5898422849,70.5898422849,75.5926827962,1,0
salt_3,M1b_full_cfd_segment_heat_flux_fixed_mdot,part1,TW,10,68.0042884171,66.8290517331,66.8290517331,84.7830027901,1,0
salt_3,M1b_full_cfd_segment_heat_flux_fixed_mdot,part1,all,15,68.9389914789,68.0826485837,68.0826485837,84.7830027901,2,0
salt_3,M2_cfd_heater_test_section_cooler_pressure_root,part2,TP,5,23.5973356863,23.2136972631,-23.2136972631,30.6580637318,1,0
salt_3,M2_cfd_heater_test_section_cooler_pressure_root,part2,TW,10,27.8147944027,25.1344762418,-25.1344762418,49.3115909907,1,0
salt_3,M2_cfd_heater_test_section_cooler_pressure_root,part2,all,15,26.4837045925,24.4942165822,-24.4942165822,49.3115909907,2,0
salt_3,M3_cfd_heater_cooler_pressure_root,part3,TP,5,14.0600104586,13.4850396806,-13.4850396806,20.5146002437,1,0
salt_3,M3_cfd_heater_cooler_pressure_root,part3,TW,10,19.3315846149,15.507704176,-15.3197968177,39.250746372,1,0
salt_3,M3_cfd_heater_cooler_pressure_root,part3,all,15,17.7492180254,14.8334826775,-14.7082111053,39.250746372,2,0
salt_4,M1_full_cfd_segment_heat_flux_pressure_root,part1,TP,5,204.432770056,204.130200375,-204.130200375,225.827318405,1,0
salt_4,M1_full_cfd_segment_heat_flux_pressure_root,part1,TW,10,211.913525536,211.138089492,-211.138089492,244.913607944,1,0
salt_4,M1_full_cfd_segment_heat_flux_pressure_root,part1,all,15,209.449629651,208.802126453,-208.802126453,244.913607944,2,0
salt_4,M1b_full_cfd_segment_heat_flux_fixed_mdot,part1,TP,5,206.458182935,206.399336262,-206.399336262,215.754523068,1,0
salt_4,M1b_full_cfd_segment_heat_flux_fixed_mdot,part1,TW,10,208.131111803,207.707681757,-207.707681757,234.429656079,1,0
salt_4,M1b_full_cfd_segment_heat_flux_fixed_mdot,part1,all,15,207.574966941,207.271566592,-207.271566592,234.429656079,2,0
salt_4,M2_cfd_heater_test_section_cooler_pressure_root,part2,TP,5,27.5357216333,27.2441619806,-27.2441619806,34.4203961173,1,0
salt_4,M2_cfd_heater_test_section_cooler_pressure_root,part2,TW,10,31.3059199003,28.6669600174,-28.6669600174,54.0292033957,1,0
salt_4,M2_cfd_heater_test_section_cooler_pressure_root,part2,all,15,30.10170099,28.1926940052,-28.1926940052,54.0292033957,2,0
salt_4,M3_cfd_heater_cooler_pressure_root,part3,TP,5,13.0560668814,12.5313987993,-12.5313987993,19.1796282577,1,0
salt_4,M3_cfd_heater_cooler_pressure_root,part3,TW,10,18.6225154707,14.4422988222,-13.8673771213,38.9143001412,1,0
salt_4,M3_cfd_heater_cooler_pressure_root,part3,all,15,16.9711229969,13.8053321479,-13.422051014,38.9143001412,2,0
