case_id,split_role,sensor,sensor_kind,predicted_K,reference_K,residual_K,abs_residual_K,prediction_source_kind,prediction_source_segment,prediction_source_fraction,prediction_is_interpolated,prediction_is_segment_proxy,mapping_status,external_bc_source_family,heat_path_role,segment_Q_ambient_W,segment_Q_source_W,segment_Q_hx_sink_W,runtime_input,post_solve_reference_only,claim_boundary
salt_2,train,TP1,TP,365.33604312187606,453.26,-87.92395687812393,87.92395687812393,bulk_temperature_arc_interpolation,top_horizontal_exit,0.9999999999999929,True,False,mapped,cooling_branch;junction,ambient_wall;junction_other,9.005982251579724,0.0,0.0,False,True,train/support diagnostic residual attribution only
salt_2,train,TP2,TP,,446.63,,,bulk_temperature_arc_interpolation,,,True,False,unmapped,none_or_internal_source,no_external_bc_role,,,,False,True,train/support diagnostic residual attribution only
salt_2,train,TP3,TP,374.6712250834195,446.66999999999996,-71.99877491658049,71.99877491658049,loop_start_bulk_temperature,left_lower_vertical,0.0,False,False,mapped,upcomer,ambient_wall,27.55369165614918,0.0,0.0,False,True,train/support diagnostic residual attribution only
salt_2,train,TP4,TP,371.5847930302067,449.74,-78.15520696979331,78.15520696979331,bulk_temperature_arc_interpolation,left_lower_vertical,1.0,True,False,mapped,upcomer,ambient_wall,27.55369165614918,0.0,0.0,False,True,train/support diagnostic residual attribution only
salt_2,train,TP5,TP,374.1275931814902,451.64,-77.51240681850976,77.51240681850976,bulk_temperature_arc_interpolation,test_section,1.0,True,False,mapped,none_or_internal_source,no_external_bc_role,14.299793847467026,37.0,0.0,False,True,train/support diagnostic residual attribution only
salt_2,train,TP6,TP,371.0633902710266,456.71999999999997,-85.65660972897336,85.65660972897336,bulk_temperature_arc_interpolation,left_upper_vertical,1.0,True,False,mapped,upcomer,ambient_wall,27.35524408480081,0.0,0.0,False,True,train/support diagnostic residual attribution only
salt_2,train,TW1,TW,361.2945582948929,443.86,-82.5654417051071,82.5654417051071,refined_parent_segment_pipe_wall_temperature,right_vertical,0.25000000000000067,True,False,mapped,downcomer,ambient_wall,127.53027483267951,0.0,0.0,False,True,train/support diagnostic residual attribution only
salt_2,train,TW10,TW,365.6631348058633,389.74,-24.0768651941367,24.0768651941367,refined_parent_segment_outer_surface_temperature,cooled_incline_hx_active,0.5000000000000028,True,False,mapped,none_or_internal_source,no_external_bc_role,0.0,0.0,14.312904798460508,False,True,train/support diagnostic residual attribution only
salt_2,train,TW11,TW,366.49754605744454,448.40999999999997,-81.91245394255543,81.91245394255543,refined_parent_segment_pipe_wall_temperature,cooled_incline_post_hx,0.2499999999999991,True,False,mapped,cooling_branch,ambient_wall,8.913902069827842,0.0,0.0,False,True,train/support diagnostic residual attribution only
salt_2,train,TW2,TW,357.2208906366495,445.08,-87.85910936335051,87.85910936335051,refined_parent_segment_pipe_wall_temperature,right_vertical,0.4999999999999999,True,False,mapped,downcomer,ambient_wall,127.53027483267951,0.0,0.0,False,True,train/support diagnostic residual attribution only
salt_2,train,TW3,TW,353.52541832421076,443.56999999999994,-90.04458167578917,90.04458167578917,refined_parent_segment_pipe_wall_temperature,right_vertical,0.7499999999999999,True,False,mapped,downcomer,ambient_wall,127.53027483267951,0.0,0.0,False,True,train/support diagnostic residual attribution only
salt_2,train,TW4,TW,356.51004295959456,445.49,-88.97995704040545,88.97995704040545,refined_parent_segment_pipe_wall_temperature,heated_incline,0.2500000000000007,True,False,mapped,lower_leg,ambient_wall,41.79567728826843,265.7,0.0,False,True,train/support diagnostic residual attribution only
salt_2,train,TW5,TW,362.5961917506733,471.68999999999994,-109.09380824932663,109.09380824932663,refined_parent_segment_pipe_wall_temperature,heated_incline,0.4999999999999988,True,False,mapped,lower_leg,ambient_wall,41.79567728826843,265.7,0.0,False,True,train/support diagnostic residual attribution only
salt_2,train,TW6,TW,368.69387849696426,467.02,-98.32612150303572,98.32612150303572,refined_parent_segment_pipe_wall_temperature,heated_incline,0.7499999999999999,True,False,mapped,lower_leg,ambient_wall,41.79567728826843,265.7,0.0,False,True,train/support diagnostic residual attribution only
salt_2,train,TW7,TW,372.41538893271434,453.23,-80.81461106728568,80.81461106728568,refined_parent_segment_pipe_wall_temperature,left_lower_vertical,0.5,True,False,mapped,upcomer,ambient_wall,27.55369165614918,0.0,0.0,False,True,train/support diagnostic residual attribution only
salt_2,train,TW8,TW,371.8888143234776,450.31999999999994,-78.43118567652232,78.43118567652232,refined_parent_segment_pipe_wall_temperature,left_upper_vertical,0.49999999999999994,True,False,mapped,upcomer,ambient_wall,27.35524408480081,0.0,0.0,False,True,train/support diagnostic residual attribution only
salt_2,train,TW9,TW,368.7168497960317,450.66999999999996,-81.95315020396828,81.95315020396828,refined_parent_segment_pipe_wall_temperature,cooled_incline_pre_hx,0.7499999999999999,True,False,mapped,cooling_branch,ambient_wall,9.25923811196475,0.0,0.0,False,True,train/support diagnostic residual attribution only
