case_key,case_role,plane_location,span,bulk_T_K,wall_T_K,delta_T_wall_bulk_K,wallHeatFlux_W_m2,h_proxy_W_m2_K,reverse_area_fraction,reverse_mass_fraction,internal_nu_review_status,reason,fit_admissible_now,source_metric_file
salt2_lo5q,holdout,upcomer_inlet,left_lower_leg,453.2497773,446.9829827,-6.266794552,-375.854694,59.97558894,0.6177451405,0.5000044571,diagnostic_section_effective_recirculating_not_fit,"wallHeatFlux exists, but reverse flow invalidates single-stream fitted Nu.",no,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
salt2_lo5q,holdout,upcomer_mid,test_section_span,442.9752451,449.3242467,6.349001557,-390.6356694,-61.52710247,0.3692928784,0.5000060995,diagnostic_sign_review_required,q''/(Twall-Tbulk) is non-positive under current sign convention.,no,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
salt2_lo5q,holdout,upcomer_outlet,left_upper_leg,452.2379399,449.1300789,-3.107861057,-382.0251023,122.9221948,0.7901396438,0.5000621677,diagnostic_section_effective_recirculating_not_fit,"wallHeatFlux exists, but reverse flow invalidates single-stream fitted Nu.",no,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
salt2_hi5q,holdout,upcomer_inlet,left_lower_leg,457.9197173,451.6811316,-6.238585754,-389.7388618,62.47230978,0.6096763649,0.4999936722,diagnostic_section_effective_recirculating_not_fit,"wallHeatFlux exists, but reverse flow invalidates single-stream fitted Nu.",no,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
salt2_hi5q,holdout,upcomer_mid,test_section_span,447.3234502,453.761907,6.438456805,-529.1127576,-82.18005861,0.3748113482,0.4999916556,diagnostic_sign_review_required,q''/(Twall-Tbulk) is non-positive under current sign convention.,no,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
salt2_hi5q,holdout,upcomer_outlet,left_upper_leg,456.7850611,453.8536184,-2.931442697,-396.0448366,135.1023634,0.785845516,0.5000672828,diagnostic_section_effective_recirculating_not_fit,"wallHeatFlux exists, but reverse flow invalidates single-stream fitted Nu.",no,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
salt4_lo5q,training,upcomer_inlet,left_lower_leg,481.5714205,476.5844798,-4.98694071,-464.5656977,93.15645096,0.5466041262,0.5000026995,diagnostic_section_effective_recirculating_not_fit,"wallHeatFlux exists, but reverse flow invalidates single-stream fitted Nu.",no,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
salt4_lo5q,training,upcomer_mid,test_section_span,471.0767344,475.4714086,4.394674154,-1277.851523,-290.7727577,0.3764033442,0.4999969289,diagnostic_sign_review_required,q''/(Twall-Tbulk) is non-positive under current sign convention.,no,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
salt4_lo5q,training,upcomer_outlet,left_upper_leg,480.0436811,477.2446768,-2.799004299,-466.444095,166.6464375,0.7765350946,0.5000757768,diagnostic_section_effective_recirculating_not_fit,"wallHeatFlux exists, but reverse flow invalidates single-stream fitted Nu.",no,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
salt4_hi5q,training,upcomer_inlet,left_lower_leg,486.5235643,481.8408001,-4.682764209,-481.1706894,102.7535592,0.5228637749,0.4999749795,diagnostic_section_effective_recirculating_not_fit,"wallHeatFlux exists, but reverse flow invalidates single-stream fitted Nu.",no,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
salt4_hi5q,training,upcomer_mid,test_section_span,475.7076283,480.1387083,4.431080036,-1442.352037,-325.5080083,0.3778960681,0.4999891842,diagnostic_sign_review_required,q''/(Twall-Tbulk) is non-positive under current sign convention.,no,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
salt4_hi5q,training,upcomer_outlet,left_upper_leg,484.8302094,482.0589174,-2.771291929,-481.6659991,173.8055793,0.7762644,0.5001364439,diagnostic_section_effective_recirculating_not_fit,"wallHeatFlux exists, but reverse flow invalidates single-stream fitted Nu.",no,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
