case_key,case_role,plane_location,span,Re,Pr,Ri,reverse_area_fraction,reverse_mass_fraction,secondary_velocity_fraction,f6_review_status,reason,fit_admissible_now,source_metric_file
salt2_lo5q,holdout,upcomer_inlet,left_lower_leg,83.1101106,25.146137,70.00886497,0.6177451405,0.5000044571,0.07456212539,diagnostic_onset_only_recirculating_not_f6_fit,Reverse flow exceeds single-stream F6 fit threshold.,no,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
salt2_lo5q,holdout,upcomer_mid,test_section_span,87.454516,24.79003436,45.11688157,0.3692928784,0.5000060995,0.001000505845,diagnostic_onset_only_recirculating_not_f6_fit,Reverse flow exceeds single-stream F6 fit threshold.,no,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
salt2_lo5q,holdout,upcomer_outlet,left_upper_leg,85.86111594,23.39390824,23.79729264,0.7901396438,0.5000621677,0.7514234306,diagnostic_onset_only_recirculating_not_f6_fit,Reverse flow exceeds single-stream F6 fit threshold.,no,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
salt2_hi5q,holdout,upcomer_inlet,left_lower_leg,94.87281344,23.64280394,54.20195191,0.6096763649,0.4999936722,0.07839203064,diagnostic_onset_only_recirculating_not_f6_fit,Reverse flow exceeds single-stream F6 fit threshold.,no,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
salt2_hi5q,holdout,upcomer_mid,test_section_span,100.0030491,23.31936116,78.04208245,0.3748113482,0.4999916556,0.001266755619,diagnostic_onset_only_recirculating_not_f6_fit,Reverse flow exceeds single-stream F6 fit threshold.,no,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
salt2_hi5q,holdout,upcomer_outlet,left_upper_leg,98.26301912,22.02798319,108.7458056,0.785845516,0.5000672828,0.7572863617,diagnostic_onset_only_recirculating_not_f6_fit,Reverse flow exceeds single-stream F6 fit threshold.,no,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
salt4_lo5q,training,upcomer_inlet,left_lower_leg,148.9247963,17.48407275,16.86404752,0.5466041262,0.5000026995,0.09664111627,diagnostic_onset_only_recirculating_not_f6_fit,Reverse flow exceeds single-stream F6 fit threshold.,no,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
salt4_lo5q,training,upcomer_mid,test_section_span,160.035202,17.42258768,29.72248589,0.3764033442,0.4999969289,0.003081481808,diagnostic_onset_only_recirculating_not_f6_fit,Reverse flow exceeds single-stream F6 fit threshold.,no,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
salt4_lo5q,training,upcomer_outlet,left_upper_leg,153.2865418,16.59033213,25.44596167,0.7765350946,0.5000757768,0.7609112209,diagnostic_onset_only_recirculating_not_f6_fit,Reverse flow exceeds single-stream F6 fit threshold.,no,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
salt4_hi5q,training,upcomer_inlet,left_lower_leg,166.7382592,16.56863999,47.1734398,0.5228637749,0.4999749795,0.1060371437,diagnostic_onset_only_recirculating_not_f6_fit,Reverse flow exceeds single-stream F6 fit threshold.,no,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
salt4_hi5q,training,upcomer_mid,test_section_span,180.5527051,16.53104695,28.86760099,0.3778960681,0.4999891842,0.003682186888,diagnostic_onset_only_recirculating_not_f6_fit,Reverse flow exceeds single-stream F6 fit threshold.,no,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
salt4_hi5q,training,upcomer_outlet,left_upper_leg,172.3447967,15.75496056,91.3338926,0.7762644,0.5001364439,0.7596756928,diagnostic_onset_only_recirculating_not_f6_fit,Reverse flow exceeds single-stream F6 fit threshold.,no,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
