figure_id,intended_section,caption_safe_claim,forbidden_claim,required_caveat,range_or_basis_note
FIG-S13-PREDICTIVE-PATH-STATUS,Ch7 or Ch8 upcomer predictive path status,S13 diagnostic fields are finite but production source property and UQ gates remain blocked,Do not claim production harvest Qwall admission exchange-cell admission freeze or scorecard trigger,No production harvest or Qwall admission.,Diagnostic-ready rows exist but production-ready rows are zero
FIG-S12-RESIDUAL-OWNER-WATERFALL,Ch7 thermal residual-owner results,S12 is a rigorous no-freeze thermal residual-owner result,Do not claim S12 candidate freeze closure admission protected scoring final score or residual absorption into internal Nu,No candidate freeze or final score.,S12 residual owner figure from completed diagnostic package
FIG-1D-SENSOR-PROJECTION-OPERATOR,Ch5 runtime input and sensor projection model,Shows the projection boundary between bulk wall core and sensor QoIs,Do not imply measured TP or TW temperatures are runtime inputs,,Use the same symbol mapping for TP TW wall and bulk across later panels
FIG-D2-TP-TW-PROJECTION-RMSE,Ch7 TP-first thermal-development evidence,TP and TW projection transfer have separate residual behavior and need same-QOI UQ,Do not claim this as a frozen correction or protected score,,Use consistent TP/TW color pairing with scoreboard panels
FIG-MF07-TP-RESIDUAL-VS-RESET,Ch7 thermal-development and reset-source basis,Thermal development and reset-source basis are promising diagnostic directions for TP residuals,Do not claim source/property release or final TP correction,,Keep residual sign convention explicit and consistent with signed-error panels
FIG-SIGNED-ERROR-SHAPE-BY-SENSOR,Ch7 signed error shape and model-form dispatch,Sensor-wise signed errors support model-form diagnosis before candidate admission,Do not present diagnostic signed error as protected validation performance,,Use one shared signed-error color range across all copied signed-error panels
FIG-BIAS-VS-SHAPE-RESIDUAL,Ch7 bias versus shape residual interpretation,Separates global bias from shape residual evidence for candidate dispatch,Do not freeze an empirical correction from this diagnostic panel,,Use same axis labels and units as signed-error panel family
FIG-MODEL-FORM-LADDER-NO-ADMISSION,Ch5 or Ch8 model-form ladder,Organizes setup-only diagnostic blocked and future-freeze stages,Do not infer any rung is admitted frozen scored or protected-runtime legal,No rung is a frozen candidate.,Model-form ladder is no-admission panel
FIG-BLOCKED-SCORECARD-WATERFALL,Ch8 blocked predictive assessment,Shows why no final predictive score is currently released,Do not publish final predictive accuracy or frozen-candidate claims from this panel,Do not infer predictive accuracy.,Blocked scorecard reports zero final score values
FIG-M3-TP-TW-ELEVATION-SALT2,Ch7 diagnostic temperature profile,Shows scoreboard-derived target and legacy M3 TP/TW profile with missing or excluded sensors visible,Do not report M3 as frozen final prediction validation score closure admission or complete curve,Diagnostic profile only.,TP/TW panel uses target temperatures and available M3 predictions
FIG-M3-TP-TW-ELEVATION-SALT3,Ch7 diagnostic temperature profile,Shows scoreboard-derived target and legacy M3 TP/TW profile with missing or excluded sensors visible,Do not report M3 as frozen final prediction validation score closure admission or complete curve,Diagnostic profile only.,TP/TW panel uses target temperatures and available M3 predictions
FIG-M3-TP-TW-ELEVATION-SALT4,Ch7 diagnostic temperature profile,Shows scoreboard-derived target and legacy M3 TP/TW profile with missing or excluded sensors visible,Do not report M3 as frozen final prediction validation score closure admission or complete curve,Diagnostic profile only.,TP/TW panel uses target temperatures and available M3 predictions
