figure_id,ledger_source_path,verified_source_path,path_resolution,verified_source_exists,ledger_exists_flag,size_bytes,intended_section,target_basename,caption_safe_claim,forbidden_claim,required_caveat,range_or_basis_note,copy_now,copy_later_after_separate_papers_transfer_row,copy_disposition,authoritative_manifest
FIG-S13-PREDICTIVE-PATH-STATUS,work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_limited_sampled_field_evidence_synthesis/figures/svg/s13_predictive_path_status.svg,work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_limited_sampled_field_evidence_synthesis/figures/svg/s13_predictive_path_status.svg,ledger_path_exists,true,true,4853,Ch7 or Ch8 upcomer predictive path status,s13_predictive_path_status.svg,S13 diagnostic fields are finite but production source property and UQ gates remain blocked,Do not claim production harvest Qwall admission exchange-cell admission freeze or scorecard trigger,No production harvest or Qwall admission.,Diagnostic-ready rows exist but production-ready rows are zero,false,true,path_only_now_no_binary_copy,figure_candidate_ledger_12_row_current
FIG-S12-RESIDUAL-OWNER-WATERFALL,work_products/2026-07/2026-07-22/2026-07-22_s12_thermal_residual_candidate_disposition_and_thesis_panels/figures/svg/s12_residual_owner_waterfall.svg,work_products/2026-07/2026-07-22/2026-07-22_s12_thermal_residual_candidate_disposition_and_thesis_panels/figures/svg/s12_residual_owner_waterfall.svg,ledger_path_exists,true,true,1105,Ch7 thermal residual-owner results,s12_residual_owner_waterfall.svg,S12 is a rigorous no-freeze thermal residual-owner result,Do not claim S12 candidate freeze closure admission protected scoring final score or residual absorption into internal Nu,No candidate freeze or final score.,S12 residual owner figure from completed diagnostic package,false,true,path_only_now_no_binary_copy,figure_candidate_ledger_12_row_current
FIG-1D-SENSOR-PROJECTION-OPERATOR,work_products/2026-07/2026-07-22/2026-07-22_1d_sensor_projection_operator_tp_tw_wall_bulk/figures/svg/1d_sensor_projection_operator_map.svg,work_products/2026-07/2026-07-22/2026-07-22_1d_sensor_projection_operator_tp_tw_wall_bulk/figures/svg/1d_sensor_projection_operator_map.svg,ledger_path_exists,true,true,2412,Ch5 runtime input and sensor projection model,1d_sensor_projection_operator_map.svg,Shows the projection boundary between bulk wall core and sensor QoIs,Do not imply measured TP or TW temperatures are runtime inputs,,Use the same symbol mapping for TP TW wall and bulk across later panels,false,true,path_only_now_no_binary_copy,figure_candidate_ledger_12_row_current
FIG-D2-TP-TW-PROJECTION-RMSE,work_products/2026-07/2026-07-22/2026-07-22_mf_d2_tp_tw_qoi_projection_gate/figures/svg/d2_tp_tw_projection_transfer_rmse.svg,work_products/2026-07/2026-07-22/2026-07-22_mf_d2_tp_tw_qoi_projection_gate/figures/svg/d2_tp_tw_projection_transfer_rmse.svg,ledger_path_exists,true,true,1504,Ch7 TP-first thermal-development evidence,d2_tp_tw_projection_transfer_rmse.svg,TP and TW projection transfer have separate residual behavior and need same-QOI UQ,Do not claim this as a frozen correction or protected score,,Use consistent TP/TW color pairing with scoreboard panels,false,true,path_only_now_no_binary_copy,figure_candidate_ledger_12_row_current
FIG-MF07-TP-RESIDUAL-VS-RESET,work_products/2026-07/2026-07-22/2026-07-22_mf07_entrance_development_and_reset_source_basis/figures/svg/mf07_tp_residual_vs_reset.svg,work_products/2026-07/2026-07-22/2026-07-22_mf07_entrance_development_and_reset_source_basis/figures/svg/mf07_tp_residual_vs_reset.svg,ledger_path_exists,true,true,2108,Ch7 thermal-development and reset-source basis,mf07_tp_residual_vs_reset.svg,Thermal development and reset-source basis are promising diagnostic directions for TP residuals,Do not claim source/property release or final TP correction,,Keep residual sign convention explicit and consistent with signed-error panels,false,true,path_only_now_no_binary_copy,figure_candidate_ledger_12_row_current
FIG-SIGNED-ERROR-SHAPE-BY-SENSOR,work_products/2026-07/2026-07-22/2026-07-22_thesis_scoreboard_signed_error_shape_and_model_form_dispatch/figures/svg/signed_error_shape_by_sensor.svg,work_products/2026-07/2026-07-22/2026-07-22_thesis_scoreboard_signed_error_shape_and_model_form_dispatch/figures/svg/signed_error_shape_by_sensor.svg,ledger_path_exists,true,true,22244,Ch7 signed error shape and model-form dispatch,signed_error_shape_by_sensor.svg,Sensor-wise signed errors support model-form diagnosis before candidate admission,Do not present diagnostic signed error as protected validation performance,,Use one shared signed-error color range across all copied signed-error panels,false,true,path_only_now_no_binary_copy,figure_candidate_ledger_12_row_current
FIG-BIAS-VS-SHAPE-RESIDUAL,work_products/2026-07/2026-07-22/2026-07-22_thesis_scoreboard_signed_error_shape_and_model_form_dispatch/figures/svg/bias_vs_shape_residual.svg,work_products/2026-07/2026-07-22/2026-07-22_thesis_scoreboard_signed_error_shape_and_model_form_dispatch/figures/svg/bias_vs_shape_residual.svg,ledger_path_exists,true,true,4481,Ch7 bias versus shape residual interpretation,bias_vs_shape_residual.svg,Separates global bias from shape residual evidence for candidate dispatch,Do not freeze an empirical correction from this diagnostic panel,,Use same axis labels and units as signed-error panel family,false,true,path_only_now_no_binary_copy,figure_candidate_ledger_12_row_current
FIG-MODEL-FORM-LADDER-NO-ADMISSION,work_products/2026-07/2026-07-22/2026-07-22_thesis_figtable_model_form_and_blocked_scorecard_panels/figures/svg/model_form_ladder_no_admission.svg,work_products/2026-07/2026-07-22/2026-07-22_thesis_figtable_model_form_and_blocked_scorecard_panels/figures/progress/svg/model_form_ladder_no_admission.svg,ledger_path_stale_single_basename_match,true,true,55097,Ch5 or Ch8 model-form ladder,model_form_ladder_no_admission.svg,Organizes setup-only diagnostic blocked and future-freeze stages,Do not infer any rung is admitted frozen scored or protected-runtime legal,No rung is a frozen candidate.,Model-form ladder is no-admission panel,false,true,path_only_now_no_binary_copy,figure_candidate_ledger_12_row_current
FIG-BLOCKED-SCORECARD-WATERFALL,work_products/2026-07/2026-07-22/2026-07-22_thesis_figtable_model_form_and_blocked_scorecard_panels/figures/svg/blocked_scorecard_waterfall.svg,work_products/2026-07/2026-07-22/2026-07-22_thesis_figtable_model_form_and_blocked_scorecard_panels/figures/progress/svg/blocked_scorecard_waterfall.svg,ledger_path_stale_single_basename_match,true,true,45497,Ch8 blocked predictive assessment,blocked_scorecard_waterfall.svg,Shows why no final predictive score is currently released,Do not publish final predictive accuracy or frozen-candidate claims from this panel,Do not infer predictive accuracy.,Blocked scorecard reports zero final score values,false,true,path_only_now_no_binary_copy,figure_candidate_ledger_12_row_current
FIG-M3-TP-TW-ELEVATION-SALT2,work_products/2026-07/2026-07-22/2026-07-22_thesis_figtable_model_form_and_blocked_scorecard_panels/figures/svg/m3_tp_tw_temperature_vs_elevation_salt_2.svg,work_products/2026-07/2026-07-22/2026-07-22_thesis_figtable_model_form_and_blocked_scorecard_panels/figures/tp_tw_vs_elevation/svg/m3_tp_tw_temperature_vs_elevation_salt_2.svg,ledger_path_stale_single_basename_match,true,true,67243,Ch7 diagnostic temperature profile,m3_tp_tw_temperature_vs_elevation_salt_2.svg,Shows scoreboard-derived target and legacy M3 TP/TW profile with missing or excluded sensors visible,Do not report M3 as frozen final prediction validation score closure admission or complete curve,Diagnostic profile only.,TP/TW panel uses target temperatures and available M3 predictions,false,true,path_only_now_no_binary_copy,figure_candidate_ledger_12_row_current
