figure_id,ledger_source_path,verified_source_path,path_resolution,verified_source_exists,ledger_exists_flag,size_bytes,target_basename
FIG-S13-PREDICTIVE-PATH-STATUS,work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_limited_sampled_field_evidence_synthesis/figures/svg/s13_predictive_path_status.svg,work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_limited_sampled_field_evidence_synthesis/figures/svg/s13_predictive_path_status.svg,ledger_path_exists,true,true,4853,s13_predictive_path_status.svg
FIG-S12-RESIDUAL-OWNER-WATERFALL,work_products/2026-07/2026-07-22/2026-07-22_s12_thermal_residual_candidate_disposition_and_thesis_panels/figures/svg/s12_residual_owner_waterfall.svg,work_products/2026-07/2026-07-22/2026-07-22_s12_thermal_residual_candidate_disposition_and_thesis_panels/figures/svg/s12_residual_owner_waterfall.svg,ledger_path_exists,true,true,1105,s12_residual_owner_waterfall.svg
FIG-1D-SENSOR-PROJECTION-OPERATOR,work_products/2026-07/2026-07-22/2026-07-22_1d_sensor_projection_operator_tp_tw_wall_bulk/figures/svg/1d_sensor_projection_operator_map.svg,work_products/2026-07/2026-07-22/2026-07-22_1d_sensor_projection_operator_tp_tw_wall_bulk/figures/svg/1d_sensor_projection_operator_map.svg,ledger_path_exists,true,true,2412,1d_sensor_projection_operator_map.svg
FIG-D2-TP-TW-PROJECTION-RMSE,work_products/2026-07/2026-07-22/2026-07-22_mf_d2_tp_tw_qoi_projection_gate/figures/svg/d2_tp_tw_projection_transfer_rmse.svg,work_products/2026-07/2026-07-22/2026-07-22_mf_d2_tp_tw_qoi_projection_gate/figures/svg/d2_tp_tw_projection_transfer_rmse.svg,ledger_path_exists,true,true,1504,d2_tp_tw_projection_transfer_rmse.svg
FIG-MF07-TP-RESIDUAL-VS-RESET,work_products/2026-07/2026-07-22/2026-07-22_mf07_entrance_development_and_reset_source_basis/figures/svg/mf07_tp_residual_vs_reset.svg,work_products/2026-07/2026-07-22/2026-07-22_mf07_entrance_development_and_reset_source_basis/figures/svg/mf07_tp_residual_vs_reset.svg,ledger_path_exists,true,true,2108,mf07_tp_residual_vs_reset.svg
FIG-SIGNED-ERROR-SHAPE-BY-SENSOR,work_products/2026-07/2026-07-22/2026-07-22_thesis_scoreboard_signed_error_shape_and_model_form_dispatch/figures/svg/signed_error_shape_by_sensor.svg,work_products/2026-07/2026-07-22/2026-07-22_thesis_scoreboard_signed_error_shape_and_model_form_dispatch/figures/svg/signed_error_shape_by_sensor.svg,ledger_path_exists,true,true,22244,signed_error_shape_by_sensor.svg
FIG-BIAS-VS-SHAPE-RESIDUAL,work_products/2026-07/2026-07-22/2026-07-22_thesis_scoreboard_signed_error_shape_and_model_form_dispatch/figures/svg/bias_vs_shape_residual.svg,work_products/2026-07/2026-07-22/2026-07-22_thesis_scoreboard_signed_error_shape_and_model_form_dispatch/figures/svg/bias_vs_shape_residual.svg,ledger_path_exists,true,true,4481,bias_vs_shape_residual.svg
FIG-MODEL-FORM-LADDER-NO-ADMISSION,work_products/2026-07/2026-07-22/2026-07-22_thesis_figtable_model_form_and_blocked_scorecard_panels/figures/svg/model_form_ladder_no_admission.svg,work_products/2026-07/2026-07-22/2026-07-22_thesis_figtable_model_form_and_blocked_scorecard_panels/figures/progress/svg/model_form_ladder_no_admission.svg,ledger_path_stale_single_basename_match,true,true,55097,model_form_ladder_no_admission.svg
FIG-BLOCKED-SCORECARD-WATERFALL,work_products/2026-07/2026-07-22/2026-07-22_thesis_figtable_model_form_and_blocked_scorecard_panels/figures/svg/blocked_scorecard_waterfall.svg,work_products/2026-07/2026-07-22/2026-07-22_thesis_figtable_model_form_and_blocked_scorecard_panels/figures/progress/svg/blocked_scorecard_waterfall.svg,ledger_path_stale_single_basename_match,true,true,45497,blocked_scorecard_waterfall.svg
FIG-M3-TP-TW-ELEVATION-SALT2,work_products/2026-07/2026-07-22/2026-07-22_thesis_figtable_model_form_and_blocked_scorecard_panels/figures/svg/m3_tp_tw_temperature_vs_elevation_salt_2.svg,work_products/2026-07/2026-07-22/2026-07-22_thesis_figtable_model_form_and_blocked_scorecard_panels/figures/tp_tw_vs_elevation/svg/m3_tp_tw_temperature_vs_elevation_salt_2.svg,ledger_path_stale_single_basename_match,true,true,67243,m3_tp_tw_temperature_vs_elevation_salt_2.svg
FIG-M3-TP-TW-ELEVATION-SALT3,work_products/2026-07/2026-07-22/2026-07-22_thesis_figtable_model_form_and_blocked_scorecard_panels/figures/svg/m3_tp_tw_temperature_vs_elevation_salt_3.svg,work_products/2026-07/2026-07-22/2026-07-22_thesis_figtable_model_form_and_blocked_scorecard_panels/figures/tp_tw_vs_elevation/svg/m3_tp_tw_temperature_vs_elevation_salt_3.svg,ledger_path_stale_single_basename_match,true,true,67242,m3_tp_tw_temperature_vs_elevation_salt_3.svg
FIG-M3-TP-TW-ELEVATION-SALT4,work_products/2026-07/2026-07-22/2026-07-22_thesis_figtable_model_form_and_blocked_scorecard_panels/figures/svg/m3_tp_tw_temperature_vs_elevation_salt_4.svg,work_products/2026-07/2026-07-22/2026-07-22_thesis_figtable_model_form_and_blocked_scorecard_panels/figures/tp_tw_vs_elevation/svg/m3_tp_tw_temperature_vs_elevation_salt_4.svg,ledger_path_stale_single_basename_match,true,true,67203,m3_tp_tw_temperature_vs_elevation_salt_4.svg
