ledger,legacy_figure_id,current_figure_id,source_path,classification,copy_now,resolution
visible_selected_9_row,FIG-UPCOMER-UY-COMPOSITE,,work_products/2026-07/2026-07-21/2026-07-21_velocity_magnitude_pictures/figures/composites/y_velocity_side_z_trimmed_composite_labeled.png,legacy_only_not_in_authoritative_final_manifest,false,do_not_copy_from_legacy_row_without_separate_reselection
visible_selected_9_row,FIG-UPCOMER-MAG-COMPOSITE,,work_products/2026-07/2026-07-21/2026-07-21_velocity_magnitude_pictures/figures/composites/velocity_magnitude_side_z_trimmed_composite_labeled.png,legacy_only_not_in_authoritative_final_manifest,false,do_not_copy_from_legacy_row_without_separate_reselection
visible_selected_9_row,FIG-S12-WATERFALL,FIG-S12-RESIDUAL-OWNER-WATERFALL,work_products/2026-07/2026-07-22/2026-07-22_s12_thermal_residual_candidate_disposition_and_thesis_panels/figures/svg/s12_residual_owner_waterfall.svg,legacy_id_superseded_by_current_id,false,use_current_authoritative_row
visible_selected_9_row,FIG-S13-PATH-STATUS,FIG-S13-PREDICTIVE-PATH-STATUS,work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_limited_sampled_field_evidence_synthesis/figures/svg/s13_predictive_path_status.svg,legacy_id_superseded_by_current_id,false,use_current_authoritative_row
visible_selected_9_row,FIG-MODEL-FORM-LADDER,FIG-MODEL-FORM-LADDER-NO-ADMISSION,work_products/2026-07/2026-07-22/2026-07-22_thesis_figtable_model_form_and_blocked_scorecard_panels/figures/svg/model_form_ladder_no_admission.svg,legacy_id_superseded_by_current_id,false,use_current_authoritative_row
visible_selected_9_row,FIG-BLOCKED-SCORECARD,FIG-BLOCKED-SCORECARD-WATERFALL,work_products/2026-07/2026-07-22/2026-07-22_thesis_figtable_model_form_and_blocked_scorecard_panels/figures/svg/blocked_scorecard_waterfall.svg,legacy_id_superseded_by_current_id,false,use_current_authoritative_row
visible_selected_9_row,FIG-M3-SALT2-ELEVATION,FIG-M3-TP-TW-ELEVATION-SALT2,work_products/2026-07/2026-07-22/2026-07-22_thesis_figtable_model_form_and_blocked_scorecard_panels/figures/svg/m3_tp_tw_temperature_vs_elevation_salt_2.svg,legacy_id_superseded_by_current_id,false,use_current_authoritative_row
visible_selected_9_row,FIG-M3-SALT3-ELEVATION,FIG-M3-TP-TW-ELEVATION-SALT3,work_products/2026-07/2026-07-22/2026-07-22_thesis_figtable_model_form_and_blocked_scorecard_panels/figures/svg/m3_tp_tw_temperature_vs_elevation_salt_3.svg,legacy_id_superseded_by_current_id,false,use_current_authoritative_row
visible_selected_9_row,FIG-M3-SALT4-ELEVATION,FIG-M3-TP-TW-ELEVATION-SALT4,work_products/2026-07/2026-07-22/2026-07-22_thesis_figtable_model_form_and_blocked_scorecard_panels/figures/svg/m3_tp_tw_temperature_vs_elevation_salt_4.svg,legacy_id_superseded_by_current_id,false,use_current_authoritative_row
authoritative_current_12_row,,FIG-1D-SENSOR-PROJECTION-OPERATOR,work_products/2026-07/2026-07-22/2026-07-22_1d_sensor_projection_operator_tp_tw_wall_bulk/figures/svg/1d_sensor_projection_operator_map.svg,current_only_not_visible_in_legacy_selected_ledger,false,include_in_authoritative_count_and_transfer_todo
authoritative_current_12_row,,FIG-BIAS-VS-SHAPE-RESIDUAL,work_products/2026-07/2026-07-22/2026-07-22_thesis_scoreboard_signed_error_shape_and_model_form_dispatch/figures/svg/bias_vs_shape_residual.svg,current_only_not_visible_in_legacy_selected_ledger,false,include_in_authoritative_count_and_transfer_todo
authoritative_current_12_row,,FIG-D2-TP-TW-PROJECTION-RMSE,work_products/2026-07/2026-07-22/2026-07-22_mf_d2_tp_tw_qoi_projection_gate/figures/svg/d2_tp_tw_projection_transfer_rmse.svg,current_only_not_visible_in_legacy_selected_ledger,false,include_in_authoritative_count_and_transfer_todo
authoritative_current_12_row,,FIG-MF07-TP-RESIDUAL-VS-RESET,work_products/2026-07/2026-07-22/2026-07-22_mf07_entrance_development_and_reset_source_basis/figures/svg/mf07_tp_residual_vs_reset.svg,current_only_not_visible_in_legacy_selected_ledger,false,include_in_authoritative_count_and_transfer_todo
authoritative_current_12_row,,FIG-SIGNED-ERROR-SHAPE-BY-SENSOR,work_products/2026-07/2026-07-22/2026-07-22_thesis_scoreboard_signed_error_shape_and_model_form_dispatch/figures/svg/signed_error_shape_by_sensor.svg,current_only_not_visible_in_legacy_selected_ledger,false,include_in_authoritative_count_and_transfer_todo
