case_id,evidence_type,control_volume,control_volume_group,control_volume_class,span,sampled_interface_count,sampled_qoi_rows,residual_qoi_rows,max_backflow_fraction,recirculation_flag,radiation_present_rows,radiation_output_terms,bracket_statuses,residual_statuses,residual_assignment,mean_abs_residual_W,max_abs_residual_fraction,temperature_selection_rules,dominant_flow_directions,interface_roles,admission_verdict,admission_reason,fit_eligible,validation_eligible,source_paths
salt_2,openfoam_sampled_interface_planes,cooler_reducer_interior,cooler_reducer,cooler_reducer,upper_leg,2,18,0,0.869117,yes,0,absent_no_qr_output,bracketed_openfoam_physical_interface_plane,,,,,signed_mixing_cup_and_dominant_forward_kept_separate;raw_T_field,negative_normal;positive_normal,cv_inlet_bracket;cv_outlet_bracket,validation_only_recirc_contaminated,recirculation/backflow contaminates at least one interface,no,yes,2026-07-09_thermal_openfoam_interface_sampling/combined_openfoam_interface_samples.csv
salt_2,physical_interface_enthalpy_residual,cooler,intended_cooler_removal,cooler_reducer,cooling_branch,0,0,9,0.258402,no,0,absent_no_qr_output,bracketed_upper_leg_but_partial_cooler_sink,computed_from_physical_interfaces_partial_cooler_bracket,segment_wall_flux_minus_physical_interface_enthalpy_change,87.540377,1.430907,forward_bulk_when_recirc_gt_0p5_else_mixing_cup,,,validation_only_partial_bracket,residual exists but bracketing is partial,no,yes,2026-07-08_patchwise_heat_ledger_enthalpy_interfaces/patchwise_heat_ledger_enthalpy_interfaces.csv
salt_2,openfoam_sampled_interface_planes,heater_interior,heater,heater,lower_leg,2,18,0,0.163208,no,0,absent_no_qr_output,bracketed_openfoam_physical_interface_plane,,,,,signed_mixing_cup_and_dominant_forward_kept_separate;raw_T_field,negative_normal;positive_normal,cv_inlet_bracket;cv_outlet_bracket,validation_only_sampled_interface_no_residual,"OpenFOAM planes sampled, but no enthalpy residual row is assigned to this control-volume class",no,yes,2026-07-09_thermal_openfoam_interface_sampling/combined_openfoam_interface_samples.csv
salt_2,physical_interface_enthalpy_residual,heater,intended_heater_input,heater,lower_leg,0,0,9,0.286604,no,0,absent_no_qr_output,bracketed_full_span_interfaces,computed_from_physical_segment_interfaces,segment_wall_flux_minus_physical_interface_enthalpy_change,51.509609,0.178629,forward_bulk_when_recirc_gt_0p5_else_mixing_cup,,,validation_only_defensible_cv_reviewed,bracketed validation evidence; still not promoted to fit without reviewed control-volume method,no,yes,2026-07-08_patchwise_heat_ledger_enthalpy_interfaces/patchwise_heat_ledger_enthalpy_interfaces.csv
salt_2,physical_interface_enthalpy_residual,test_section,intended_test_section_input_actual_net_sink_possible,intended_test_section_input_actual_net_sink_possible,upcomer,0,0,9,0.980419,yes,0,absent_no_qr_output,bracketed_composite_high_recirculation_diagnostic,computed_diagnostic_only_high_recirculation_interfaces,diagnostic_only_upcomer_recirculation_cell,162.437423,1.188476,forward_bulk_when_recirc_gt_0p5_else_mixing_cup,,,validation_only_recirc_contaminated,recirculation/backflow contaminates at least one interface,no,yes,2026-07-08_patchwise_heat_ledger_enthalpy_interfaces/patchwise_heat_ledger_enthalpy_interfaces.csv
salt_2,openfoam_sampled_interface_planes,lower_left_junction,junction,junction,left_lower_leg,1,9,0,0.489625,no,0,absent_no_qr_output,bracketed_openfoam_physical_interface_plane,,,,,signed_mixing_cup_and_dominant_forward_kept_separate;raw_T_field,negative_normal,left_lower_leg_face,validation_only_sampled_interface_no_residual,"OpenFOAM planes sampled, but no enthalpy residual row is assigned to this control-volume class",no,yes,2026-07-09_thermal_openfoam_interface_sampling/combined_openfoam_interface_samples.csv
salt_2,openfoam_sampled_interface_planes,lower_left_junction,junction,junction,lower_leg,1,9,0,0.482482,no,0,absent_no_qr_output,bracketed_openfoam_physical_interface_plane,,,,,signed_mixing_cup_and_dominant_forward_kept_separate;raw_T_field,negative_normal,lower_leg_face,validation_only_sampled_interface_no_residual,"OpenFOAM planes sampled, but no enthalpy residual row is assigned to this control-volume class",no,yes,2026-07-09_thermal_openfoam_interface_sampling/combined_openfoam_interface_samples.csv
salt_2,openfoam_sampled_interface_planes,lower_right_junction,junction,junction,lower_leg,1,8,0,0.0,no,0,absent_no_qr_output,bracketed_openfoam_physical_interface_plane,,,,,signed_mixing_cup_and_dominant_forward_kept_separate;raw_T_field,positive_normal,lower_leg_face,validation_only_sampled_interface_no_residual,"OpenFOAM planes sampled, but no enthalpy residual row is assigned to this control-volume class",no,yes,2026-07-09_thermal_openfoam_interface_sampling/combined_openfoam_interface_samples.csv
salt_2,openfoam_sampled_interface_planes,lower_right_junction,junction,junction,right_leg,1,8,0,0.0,no,0,absent_no_qr_output,bracketed_openfoam_physical_interface_plane,,,,,signed_mixing_cup_and_dominant_forward_kept_separate;raw_T_field,positive_normal,right_leg_face,validation_only_sampled_interface_no_residual,"OpenFOAM planes sampled, but no enthalpy residual row is assigned to this control-volume class",no,yes,2026-07-09_thermal_openfoam_interface_sampling/combined_openfoam_interface_samples.csv
salt_2,openfoam_sampled_interface_planes,test_section_lower_junction,junction,junction,left_lower_leg,1,9,0,0.489986,no,0,absent_no_qr_output,bracketed_openfoam_physical_interface_plane,,,,,signed_mixing_cup_and_dominant_forward_kept_separate;raw_T_field,negative_normal,left_lower_leg_face,validation_only_sampled_interface_no_residual,"OpenFOAM planes sampled, but no enthalpy residual row is assigned to this control-volume class",no,yes,2026-07-09_thermal_openfoam_interface_sampling/combined_openfoam_interface_samples.csv
