case_id,mesh_level,branch,endpoint_pair,pair_status,delta_p_rgh_pa,delta_dynamic_head_proxy_pa,delta_total_pressure_proxy_pa,max_RAF_count_proxy,max_RMF_count_proxy,ordinary_flow_gate,admission_use
salt_2,coarse,right_leg,right_leg__s03->right_leg__s01,harvested_raw_xy_count_proxy,5.70517311871,-0.002603174937,5.70256994377,0,0,diagnostic_pass,diagnostic_only_not_F6_fit
salt_2,coarse,test_section_span,test_section_span__s03->test_section_span__s01,harvested_raw_xy_count_proxy,0.6207549785,0.006553322475,0.627308300975,0.269565217391,0.0556512810689,diagnostic_fail_or_blocked,diagnostic_only_not_F6_fit
salt_3,coarse,right_leg,right_leg__s03->right_leg__s01,harvested_raw_xy_count_proxy,7.84778896609,0.000672544326,7.84846151042,0,0,diagnostic_pass,diagnostic_only_not_F6_fit
salt_3,coarse,test_section_span,test_section_span__s03->test_section_span__s01,harvested_raw_xy_count_proxy,0.3754761327,0.014922995037,0.390399127737,0.265217391304,0.058133813831,diagnostic_fail_or_blocked,diagnostic_only_not_F6_fit
salt_4,coarse,right_leg,right_leg__s03->right_leg__s01,harvested_raw_xy_count_proxy,9.7737449175,0.003854933774,9.77759985127,0,0,diagnostic_pass,diagnostic_only_not_F6_fit
salt_4,coarse,test_section_span,test_section_span__s03->test_section_span__s01,harvested_raw_xy_count_proxy,0.26296533078,0.029698369687,0.292663700467,0.265217391304,0.065957189286,diagnostic_fail_or_blocked,diagnostic_only_not_F6_fit
salt_2,medium,right_leg,right_leg__s03->right_leg__s01,harvested_raw_xy_count_proxy,5.37090248815,-0.002535328746,5.3683671594,0,0,diagnostic_pass,diagnostic_only_not_F6_fit
salt_2,medium,test_section_span,test_section_span__s03->test_section_span__s01,harvested_raw_xy_count_proxy,0.7179778033,0.004869768197,0.722847571497,0.2734375,0.0561723382926,diagnostic_fail_or_blocked,diagnostic_only_not_F6_fit
salt_2,fine,right_leg,right_leg__s03->right_leg__s01,harvested_raw_xy_count_proxy,5.29840830225,-0.002739346012,5.29566895624,0,0,diagnostic_pass,diagnostic_only_not_F6_fit
salt_2,fine,test_section_span,test_section_span__s03->test_section_span__s01,harvested_raw_xy_count_proxy,0.7145268772,0.004730154581,0.719257031781,0.273550724638,0.0574986659374,diagnostic_fail_or_blocked,diagnostic_only_not_F6_fit
