case_id,mesh_level,branch,retained_time_s,earlier_time_s,later_time_s,available_time_count,same_qoi_family_member_times,time_family_status,required_before_admission,time_uq_status_after_repair,admission_use
salt_2,coarse,right_leg,7915,,,0,7915,missing_neighbor_time_member,same-label same-formula same-sign endpoint sampling at retained/earlier/later times,missing_no_same_qoi_neighbor_windows,forbidden_until_same_qoi_time_UQ_complete
salt_2,coarse,test_section_span,7915,,,0,7915,missing_neighbor_time_member,same-label same-formula same-sign endpoint sampling at retained/earlier/later times,missing_no_same_qoi_neighbor_windows,forbidden_until_same_qoi_time_UQ_complete
salt_3,coarse,right_leg,7618,,,0,7618,missing_neighbor_time_member,same-label same-formula same-sign endpoint sampling at retained/earlier/later times,missing_no_same_qoi_neighbor_windows,forbidden_until_same_qoi_time_UQ_complete
salt_3,coarse,test_section_span,7618,,,0,7618,missing_neighbor_time_member,same-label same-formula same-sign endpoint sampling at retained/earlier/later times,missing_no_same_qoi_neighbor_windows,forbidden_until_same_qoi_time_UQ_complete
salt_4,coarse,right_leg,10000,,,0,10000,missing_neighbor_time_member,same-label same-formula same-sign endpoint sampling at retained/earlier/later times,missing_no_same_qoi_neighbor_windows,forbidden_until_same_qoi_time_UQ_complete
salt_4,coarse,test_section_span,10000,,,0,10000,missing_neighbor_time_member,same-label same-formula same-sign endpoint sampling at retained/earlier/later times,missing_no_same_qoi_neighbor_windows,forbidden_until_same_qoi_time_UQ_complete
salt_2,medium,right_leg,518,517,,8,517;518,missing_neighbor_time_member,same-label same-formula same-sign endpoint sampling at retained/earlier/later times,one_sided_time_sensitivity_diagnostic_only,forbidden_until_same_qoi_time_UQ_complete
salt_2,medium,test_section_span,518,517,,8,517;518,missing_neighbor_time_member,same-label same-formula same-sign endpoint sampling at retained/earlier/later times,one_sided_time_sensitivity_diagnostic_only,forbidden_until_same_qoi_time_UQ_complete
salt_2,fine,right_leg,399,398,,12,398;399,missing_neighbor_time_member,same-label same-formula same-sign endpoint sampling at retained/earlier/later times,one_sided_time_sensitivity_diagnostic_only,forbidden_until_same_qoi_time_UQ_complete
salt_2,fine,test_section_span,399,398,,12,398;399,missing_neighbor_time_member,same-label same-formula same-sign endpoint sampling at retained/earlier/later times,one_sided_time_sensitivity_diagnostic_only,forbidden_until_same_qoi_time_UQ_complete
