case_id,mesh_level,source_id,profile_source_id,branch,endpoint_pair,endpoint_role,station_label,sample_time_s,metric_status,area_weight_status,ordinary_flow_gate,admission_use,source_path,face_count_total,positive_face_count_proxy,reverse_face_count_proxy,positive_mass_flux_proxy,reverse_mass_flux_proxy,total_abs_mass_flux_proxy,RAF_count_proxy,RMF_count_proxy,SVF_count_proxy,mean_p_rgh_pa,mean_rho_kg_m3,mean_u_streamwise_m_s,dynamic_head_proxy_pa
salt_2,coarse,viscosity_screening_salt_test_2_jin_coarse_mesh,viscosity_screening_salt_test_2_jin_coarse_mesh,right_leg,right_leg__s03->right_leg__s01,upstream,right_leg__s03,7915,harvested_raw_xy_count_proxy,count_proxy_not_true_face_area,diagnostic_pass,diagnostic_only_until_true_face_area_weighting,tmp/2026-06-30_claude_action_items/recon_salt2_of13/postProcessing/secmeanSurfaces/7915/plane_right_leg__s03.xy,576,576,0,15521.1917581,0,15521.1917581,0,0,0.000880373434126,6.3912275564,1960.11296845,0.0137474895437,0.185224274529
salt_2,coarse,viscosity_screening_salt_test_2_jin_coarse_mesh,viscosity_screening_salt_test_2_jin_coarse_mesh,right_leg,right_leg__s03->right_leg__s01,downstream,right_leg__s01,7915,harvested_raw_xy_count_proxy,count_proxy_not_true_face_area,diagnostic_pass,diagnostic_only_until_true_face_area_weighting,tmp/2026-06-30_claude_action_items/recon_salt2_of13/postProcessing/secmeanSurfaces/7915/plane_right_leg__s01.xy,576,576,0,15630.6331167,0,15630.6331167,0,0,0.00101953155519,0.686054437693,1960.77226925,0.0138414296697,0.187827449466
salt_2,coarse,viscosity_screening_salt_test_2_jin_coarse_mesh,viscosity_screening_salt_test_2_jin_coarse_mesh,test_section_span,test_section_span__s03->test_section_span__s01,upstream,test_section_span__s03,7915,harvested_raw_xy_count_proxy,count_proxy_not_true_face_area,diagnostic_fail,diagnostic_only_until_true_face_area_weighting,tmp/2026-06-30_claude_action_items/recon_salt2_of13/postProcessing/secmeanSurfaces/7915/plane_test_section_span__s03.xy,460,338,122,14117.9466237,-795.24139385,14913.1880175,0.265217391304,0.0533247078301,0.00179371921147,-13.2559282626,1954.21982685,0.0148418354775,0.215237850232
salt_2,coarse,viscosity_screening_salt_test_2_jin_coarse_mesh,viscosity_screening_salt_test_2_jin_coarse_mesh,test_section_span,test_section_span__s03->test_section_span__s01,downstream,test_section_span__s01,7915,harvested_raw_xy_count_proxy,count_proxy_not_true_face_area,diagnostic_fail,diagnostic_only_until_true_face_area_weighting,tmp/2026-06-30_claude_action_items/recon_salt2_of13/postProcessing/secmeanSurfaces/7915/plane_test_section_span__s01.xy,460,336,124,13940.4529546,-821.522865499,14761.9758201,0.269565217391,0.0556512810689,0.000956709410089,-13.8766832411,1954.3891098,0.0146135121933,0.208684527757
salt_3,coarse,viscosity_screening_salt_test_3_jin_coarse_mesh,viscosity_screening_salt_test_3_jin_coarse_mesh,right_leg,right_leg__s03->right_leg__s01,upstream,right_leg__s03,7618,harvested_raw_xy_count_proxy,count_proxy_not_true_face_area,diagnostic_pass,diagnostic_only_until_true_face_area_weighting,tmp/2026-06-30_claude_action_items/recon_salt3_of13/postProcessing/secmeanSurfaces/7618/plane_right_leg__s03.xy,576,576,0,18306.473349,0,18306.473349,0,0,0.000711801597066,10.3498865755,1950.72434245,0.0162930062102,0.258921642799
salt_3,coarse,viscosity_screening_salt_test_3_jin_coarse_mesh,viscosity_screening_salt_test_3_jin_coarse_mesh,right_leg,right_leg__s03->right_leg__s01,downstream,right_leg__s01,7618,harvested_raw_xy_count_proxy,count_proxy_not_true_face_area,diagnostic_pass,diagnostic_only_until_true_face_area_weighting,tmp/2026-06-30_claude_action_items/recon_salt3_of13/postProcessing/secmeanSurfaces/7618/plane_right_leg__s01.xy,576,576,0,18283.2168582,0,18283.2168582,0,0,0.000996703021198,2.50209760941,1951.20080799,0.0162698452175,0.258249098473
salt_3,coarse,viscosity_screening_salt_test_3_jin_coarse_mesh,viscosity_screening_salt_test_3_jin_coarse_mesh,test_section_span,test_section_span__s03->test_section_span__s01,upstream,test_section_span__s03,7618,harvested_raw_xy_count_proxy,count_proxy_not_true_face_area,diagnostic_fail,diagnostic_only_until_true_face_area_weighting,tmp/2026-06-30_claude_action_items/recon_salt3_of13/postProcessing/secmeanSurfaces/7618/plane_test_section_span__s03.xy,460,340,120,16147.954011,-996.683144606,17144.6371556,0.260869565217,0.058133813831,0.00263803444554,-11.1501706657,1944.57657948,0.0169626060565,0.279756513717
salt_3,coarse,viscosity_screening_salt_test_3_jin_coarse_mesh,viscosity_screening_salt_test_3_jin_coarse_mesh,test_section_span,test_section_span__s03->test_section_span__s01,downstream,test_section_span__s01,7618,harvested_raw_xy_count_proxy,count_proxy_not_true_face_area,diagnostic_fail,diagnostic_only_until_true_face_area_weighting,tmp/2026-06-30_claude_action_items/recon_salt3_of13/postProcessing/secmeanSurfaces/7618/plane_test_section_span__s01.xy,460,338,122,15604.4669488,-860.975439753,16465.4423886,0.265217391304,0.0522898455707,0.00209270822917,-11.5256467984,1944.73651398,0.0165033111926,0.26483351868
salt_4,coarse,viscosity_screening_salt_test_4_jin_coarse_mesh,viscosity_screening_salt_test_4_jin_coarse_mesh,right_leg,right_leg__s03->right_leg__s01,upstream,right_leg__s03,10000,harvested_raw_xy_count_proxy,count_proxy_not_true_face_area,diagnostic_pass,diagnostic_only_until_true_face_area_weighting,tmp/2026-06-30_claude_action_items/recon_salt4_of13/postProcessing/secmeanSurfaces/10000/plane_right_leg__s03.xy,576,576,0,21395.8159907,0,21395.8159907,0,0,0.00224568765672,12.9114743195,1939.65021698,0.0191541835876,0.355812101764
salt_4,coarse,viscosity_screening_salt_test_4_jin_coarse_mesh,viscosity_screening_salt_test_4_jin_coarse_mesh,right_leg,right_leg__s03->right_leg__s01,downstream,right_leg__s01,10000,harvested_raw_xy_count_proxy,count_proxy_not_true_face_area,diagnostic_pass,diagnostic_only_until_true_face_area_weighting,tmp/2026-06-30_claude_action_items/recon_salt4_of13/postProcessing/secmeanSurfaces/10000/plane_right_leg__s01.xy,576,576,0,21280.320259,0,21280.320259,0,0,0.00721295183047,3.137729402,1939.97909833,0.0190485262042,0.35195716799
