source_id,case_id,name,loss_class,span_or_feature,pressure_basis,velocity_basis,plane_or_tap_span,included_fittings,delta_p_basis_pa,straight_loss_correction_pa,K_local,K_apparent,f_D_delta_p,fit_use_status,coefficient_naming_status,source_status,provenance_author_title,source_path,quality_flags
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,branch_apparent:lower_leg,branch_apparent,lower_leg,debuoyed_total_pressure_proxy_from_pressure_term_ledger,q_ref_pa_from_pressure_ledger,lower_leg__s01->lower_leg__s03,bend_minor_loss_upper_bound,7.594737594921601,7.594737594921601,8.211480628569191,8.211480628569191,2.5088765096488217,fit_target,reject_universal_name,pressure_ledger_reduction,"Lin et al., Measurement Methods and Techniques for Pressure Losses in Pipe Fittings; Muzychka and Yovanovich, Pressure Drop in Laminar Developing Flow in Noncircular Ducts: A Scaling and Modeling Approach",work_products/2026-07/2026-07-08/2026-07-08_pressure_term_ledger/pressure_term_ledger.csv,coarse_no_gci
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,branch_apparent:right_leg,branch_apparent,right_leg,debuoyed_total_pressure_proxy_from_pressure_term_ledger,q_ref_pa_from_pressure_ledger,right_leg__s01->right_leg__s03,bend_minor_loss_upper_bound,7.188434048086719,7.188434048086719,16.503825877025502,16.503825877025502,2.2959982845973337,fit_target,candidate_pending_other_gates,pressure_ledger_reduction,"Lin et al., Measurement Methods and Techniques for Pressure Losses in Pipe Fittings; Muzychka and Yovanovich, Pressure Drop in Laminar Developing Flow in Noncircular Ducts: A Scaling and Modeling Approach",work_products/2026-07/2026-07-08/2026-07-08_pressure_term_ledger/pressure_term_ledger.csv,coarse_no_gci
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,branch_apparent:left_lower_leg,branch_apparent,left_lower_leg,debuoyed_total_pressure_proxy_from_pressure_term_ledger,q_ref_pa_from_pressure_ledger,left_lower_leg__s01->left_lower_leg__s03,straight_span_only,1.5864238159062247,1.5864238159062247,NaN,NaN,1.3958197504468033,not_fit_recirculation,reject_universal_name,pressure_ledger_reduction,"Lin et al., Measurement Methods and Techniques for Pressure Losses in Pipe Fittings; Muzychka and Yovanovich, Pressure Drop in Laminar Developing Flow in Noncircular Ducts: A Scaling and Modeling Approach",work_products/2026-07/2026-07-08/2026-07-08_pressure_term_ledger/pressure_term_ledger.csv,recirculation_invalid_single_f;coarse_no_gci
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,straight_section:test_section_span,straight_section,test_section_span,debuoyed_total_pressure_proxy_from_pressure_term_ledger,q_ref_pa_from_pressure_ledger,test_section_span__s01->test_section_span__s03,straight_span_only,1.3666260023189991,1.3666260023189991,NaN,NaN,1.3607517911236493,fit_target,candidate_pending_other_gates,pressure_ledger_reduction,"Lin et al., Measurement Methods and Techniques for Pressure Losses in Pipe Fittings; Muzychka and Yovanovich, Pressure Drop in Laminar Developing Flow in Noncircular Ducts: A Scaling and Modeling Approach",work_products/2026-07/2026-07-08/2026-07-08_pressure_term_ledger/pressure_term_ledger.csv,coarse_no_gci
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,branch_apparent:left_upper_leg,branch_apparent,left_upper_leg,debuoyed_total_pressure_proxy_from_pressure_term_ledger,q_ref_pa_from_pressure_ledger,left_upper_leg__s01->left_upper_leg__s03,bend_minor_loss_upper_bound,1.1778655416679582,1.1778655416679582,6.245177796682506,6.245177796682506,0.9956915468453434,not_fit_recirculation,reject_universal_name,pressure_ledger_reduction,"Lin et al., Measurement Methods and Techniques for Pressure Losses in Pipe Fittings; Muzychka and Yovanovich, Pressure Drop in Laminar Developing Flow in Noncircular Ducts: A Scaling and Modeling Approach",work_products/2026-07/2026-07-08/2026-07-08_pressure_term_ledger/pressure_term_ledger.csv,recirculation_invalid_single_f;coarse_no_gci
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,branch_apparent:upper_leg,branch_apparent,upper_leg,debuoyed_total_pressure_proxy_from_pressure_term_ledger,q_ref_pa_from_pressure_ledger,upper_leg__s01->upper_leg__s03,bend_minor_loss_upper_bound,6.708462261252379,6.708462261252379,15.923062359144723,15.923062359144723,2.279494102769644,fit_target,reject_universal_name,pressure_ledger_reduction,"Lin et al., Measurement Methods and Techniques for Pressure Losses in Pipe Fittings; Muzychka and Yovanovich, Pressure Drop in Laminar Developing Flow in Noncircular Ducts: A Scaling and Modeling Approach",work_products/2026-07/2026-07-08/2026-07-08_pressure_term_ledger/pressure_term_ledger.csv,coarse_no_gci
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,branch_apparent:lower_leg,branch_apparent,lower_leg,debuoyed_total_pressure_proxy_from_pressure_term_ledger,q_ref_pa_from_pressure_ledger,lower_leg__s01->lower_leg__s03,bend_minor_loss_upper_bound,7.507438844419539,7.507438844419539,8.304110933357741,8.304110933357741,1.9265793266963513,fit_target,reject_universal_name,pressure_ledger_reduction,"Lin et al., Measurement Methods and Techniques for Pressure Losses in Pipe Fittings; Muzychka and Yovanovich, Pressure Drop in Laminar Developing Flow in Noncircular Ducts: A Scaling and Modeling Approach",work_products/2026-07/2026-07-08/2026-07-08_pressure_term_ledger/pressure_term_ledger.csv,coarse_no_gci
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,branch_apparent:right_leg,branch_apparent,right_leg,debuoyed_total_pressure_proxy_from_pressure_term_ledger,q_ref_pa_from_pressure_ledger,right_leg__s01->right_leg__s03,bend_minor_loss_upper_bound,8.919716557445069,8.919716557445069,13.810210784371353,13.810210784371353,2.055323056510037,fit_target,candidate_pending_other_gates,pressure_ledger_reduction,"Lin et al., Measurement Methods and Techniques for Pressure Losses in Pipe Fittings; Muzychka and Yovanovich, Pressure Drop in Laminar Developing Flow in Noncircular Ducts: A Scaling and Modeling Approach",work_products/2026-07/2026-07-08/2026-07-08_pressure_term_ledger/pressure_term_ledger.csv,coarse_no_gci
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,branch_apparent:left_lower_leg,branch_apparent,left_lower_leg,debuoyed_total_pressure_proxy_from_pressure_term_ledger,q_ref_pa_from_pressure_ledger,left_lower_leg__s01->left_lower_leg__s03,straight_span_only,1.7911798267548618,1.7911798267548618,NaN,NaN,1.1820123411360015,not_fit_recirculation,reject_universal_name,pressure_ledger_reduction,"Lin et al., Measurement Methods and Techniques for Pressure Losses in Pipe Fittings; Muzychka and Yovanovich, Pressure Drop in Laminar Developing Flow in Noncircular Ducts: A Scaling and Modeling Approach",work_products/2026-07/2026-07-08/2026-07-08_pressure_term_ledger/pressure_term_ledger.csv,recirculation_invalid_single_f;coarse_no_gci
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,straight_section:test_section_span,straight_section,test_section_span,debuoyed_total_pressure_proxy_from_pressure_term_ledger,q_ref_pa_from_pressure_ledger,test_section_span__s01->test_section_span__s03,straight_span_only,1.0801572872689937,1.0801572872689937,NaN,NaN,0.8385703565504075,fit_target,candidate_pending_other_gates,pressure_ledger_reduction,"Lin et al., Measurement Methods and Techniques for Pressure Losses in Pipe Fittings; Muzychka and Yovanovich, Pressure Drop in Laminar Developing Flow in Noncircular Ducts: A Scaling and Modeling Approach",work_products/2026-07/2026-07-08/2026-07-08_pressure_term_ledger/pressure_term_ledger.csv,coarse_no_gci
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,branch_apparent:left_upper_leg,branch_apparent,left_upper_leg,debuoyed_total_pressure_proxy_from_pressure_term_ledger,q_ref_pa_from_pressure_ledger,left_upper_leg__s01->left_upper_leg__s03,bend_minor_loss_upper_bound,0.9935879703673519,0.9935879703673519,6.224711684075602,6.224711684075602,0.6553047824189578,not_fit_recirculation,reject_universal_name,pressure_ledger_reduction,"Lin et al., Measurement Methods and Techniques for Pressure Losses in Pipe Fittings; Muzychka and Yovanovich, Pressure Drop in Laminar Developing Flow in Noncircular Ducts: A Scaling and Modeling Approach",work_products/2026-07/2026-07-08/2026-07-08_pressure_term_ledger/pressure_term_ledger.csv,recirculation_invalid_single_f;coarse_no_gci
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,branch_apparent:upper_leg,branch_apparent,upper_leg,debuoyed_total_pressure_proxy_from_pressure_term_ledger,q_ref_pa_from_pressure_ledger,upper_leg__s01->upper_leg__s03,bend_minor_loss_upper_bound,6.716638951731573,6.716638951731573,14.333759374743044,14.333759374743044,1.7533622958673052,fit_target,reject_universal_name,pressure_ledger_reduction,"Lin et al., Measurement Methods and Techniques for Pressure Losses in Pipe Fittings; Muzychka and Yovanovich, Pressure Drop in Laminar Developing Flow in Noncircular Ducts: A Scaling and Modeling Approach",work_products/2026-07/2026-07-08/2026-07-08_pressure_term_ledger/pressure_term_ledger.csv,coarse_no_gci
