row_key,row_family,current_label,permitted_use,blocked_use,source_property_reason,next_step,evidence_paths
salt2_lo10q,PM10,mixed_or_outside_envelope_label_required,recirculation_validation_only,fit_model_selection_and_runtime_input,"PM10 rows are complete enough for recirculation diagnostics but remain source-envelope blocked for fit",Keep diagnostic until future terminal/admission gate changes policy,"work_products/2026-07/2026-07-20/2026-07-20_pm10_validation_repair_ledger/summary.json;work_products/2026-07/2026-07-20/2026-07-20_final_scorecard_source_envelope_resolution/scorecard_source_property_resolution_policy.csv"
salt2_hi10q,PM10,mixed_or_outside_envelope_label_required,recirculation_validation_only,fit_model_selection_and_runtime_input,"PM10 rows are complete enough for recirculation diagnostics but remain source-envelope blocked for fit",Keep diagnostic until future terminal/admission gate changes policy,"work_products/2026-07/2026-07-20/2026-07-20_pm10_validation_repair_ledger/summary.json;work_products/2026-07/2026-07-20/2026-07-20_final_scorecard_source_envelope_resolution/scorecard_source_property_resolution_policy.csv"
salt4_lo10q,PM10,mixed_or_outside_envelope_label_required,recirculation_validation_only,fit_model_selection_and_runtime_input,"PM10 rows are complete enough for recirculation diagnostics but remain source-envelope blocked for fit",Keep diagnostic until future terminal/admission gate changes policy,"work_products/2026-07/2026-07-20/2026-07-20_pm10_validation_repair_ledger/summary.json;work_products/2026-07/2026-07-20/2026-07-20_final_scorecard_source_envelope_resolution/scorecard_source_property_resolution_policy.csv"
salt4_hi10q,PM10,mixed_or_outside_envelope_label_required,recirculation_validation_only,fit_model_selection_and_runtime_input,"PM10 rows are complete enough for recirculation diagnostics but remain source-envelope blocked for fit",Keep diagnostic until future terminal/admission gate changes policy,"work_products/2026-07/2026-07-20/2026-07-20_pm10_validation_repair_ledger/summary.json;work_products/2026-07/2026-07-20/2026-07-20_final_scorecard_source_envelope_resolution/scorecard_source_property_resolution_policy.csv"
salt2_lo5q,PM5,mixed_or_outside_envelope_label_required,holdout_score_only_no_fit,fit_and_model_selection,"PM5 is a blind holdout and source-envelope label is mixed/outside rather than strict pass",Keep holdout-only and do not train on PM5,"work_products/2026-07/2026-07-20/2026-07-20_final_scorecard_source_envelope_resolution/scorecard_source_property_resolution_policy.csv"
salt2_hi5q,PM5,mixed_or_outside_envelope_label_required,holdout_score_only_no_fit,fit_and_model_selection,"PM5 is a blind holdout and source-envelope label is mixed/outside rather than strict pass",Keep holdout-only and do not train on PM5,"work_products/2026-07/2026-07-20/2026-07-20_final_scorecard_source_envelope_resolution/scorecard_source_property_resolution_policy.csv"
salt4_lo5q,PM5,mixed_or_outside_envelope_label_required,diagnostic_support_no_fit,fit_and_model_selection,"Salt4 +/-5Q rows are diagnostic/support rows with mixed/outside envelope labels",Keep diagnostic support only,"work_products/2026-07/2026-07-20/2026-07-20_final_scorecard_source_envelope_resolution/scorecard_source_property_resolution_policy.csv"
salt4_hi5q,PM5,mixed_or_outside_envelope_label_required,diagnostic_support_no_fit,fit_and_model_selection,"Salt4 +/-5Q rows are diagnostic/support rows with mixed/outside envelope labels",Keep diagnostic support only,"work_products/2026-07/2026-07-20/2026-07-20_final_scorecard_source_envelope_resolution/scorecard_source_property_resolution_policy.csv"
val_salt2,external_validation,source_envelope_external_context_not_case_matched,external_score_only_no_fit,fit_model_selection_and_runtime_input,"External validation source/property context is not row-specific case-matched",Use only for frozen-candidate external score after eligibility gate,"work_products/2026-07/2026-07-20/2026-07-20_final_scorecard_source_envelope_resolution/scorecard_source_property_resolution_policy.csv"

