study_id,blocker_id,priority,why_blocked,next_required_artifact,acceptance_signal,do_not_do_guardrail,canonical_source_paths
downcomer_policy_low_recirculation_and_mesh_gci,closure-qoi-mesh-gci,P0,"Downcomer has one Nu candidate but 0 sign/heat-balance, 0 recirculation, and 0 mesh/GCI pass rows.",Downcomer thermal policy/admission memo plus same-QOI Nu or HTC/UA GCI evidence.,>=1 downcomer Nu-equivalent row passes all admission gates.,"Do not fit ordinary Nu from unresolved sign, recirculation, or non-publication GCI rows.",work_products/2026-07/2026-07-16/2026-07-16_branch_local_internal_nu_unblock/branch_local_thermal_admission.csv;work_products/2026-07/2026-07-16/2026-07-16_branch_local_internal_nu_unblock/internal_nu_fit_admissible_rows.csv;work_products/2026-07/2026-07-16/2026-07-16_branch_local_internal_nu_unblock/final_use_closure_qoi_gci.csv
heater_source_sign_heat_balance,closure-qoi-mesh-gci,P1,"Heater leg is a source region; source ownership, repaired sign label conflict, heat-balance, and mesh/GCI still block fit.",Heater source/enthalpy/sign admission table plus same-QOI mesh triplet.,">=1 heater Nu-equivalent row has source, sign, residual-owner, recirculation, and GCI gates passing.","Do not use Nu to absorb heater source, wall-storage, or sign-label residuals.",work_products/2026-07/2026-07-16/2026-07-16_branch_local_internal_nu_unblock/branch_local_thermal_admission.csv;work_products/2026-07/2026-07-16/2026-07-16_branch_local_internal_nu_unblock/targeted_extraction_admission_queue.csv
cooler_hx_boundary_residual_separation,closure-qoi-mesh-gci,P1,"Cooler/HX branch removal is a boundary/HX residual, not separable as internal convection on current evidence.",Cooler/HX shell-boundary residual separation package.,HX removal separated from internal convection without realized wallHeatFlux or imposed cooler duty.,Keep setup-only UA/effectiveness separate from internal Nu until residuals are separated.,work_products/2026-07/2026-07-16/2026-07-16_branch_local_internal_nu_unblock/branch_local_thermal_admission.csv;work_products/2026-07/2026-07-16/2026-07-16_branch_local_internal_nu_unblock/targeted_extraction_admission_queue.csv
upcomer_hybrid_onset_classification,upcomer-onset-data-sparsity,P1,Upcomer/test-section has observed recirculation points but no non-recirculating anchor and 0 single-stream fit rows.,"Onset classification as observed, bracketed, extrapolated, or rejected; or explicit hybrid recirculation model.",Onset decision made without single-stream coefficient promotion.,"Do not label recirculating upcomer/test-section rows as single-stream true Nu, f_D, or K fits.",work_products/2026-07/2026-07-16/2026-07-16_f6_upcomer_blocker_status_scorecard/README.md;operational_notes/maps/thermal-closures-and-internal-nu.md
same_qoi_final_use_mesh_gci,closure-qoi-mesh-gci,P2,AGENT-459 found 13 final-use non-upcomer GCI rows and 0 publication-ready rows.,Same-QOI mesh/GCI rerun or explicit exclusion decision after branch admission.,Every final-use row is either publication-ready or excluded before closeout.,Do not spend GCI effort on rows that branch-local admission will exclude.,work_products/2026-07/2026-07-16/2026-07-16_branch_local_internal_nu_unblock/final_use_closure_qoi_gci.csv
coupled_m3ts_test_section_score,predictive-wall-test-section-submodels,P0,TS1/TS2 are runtime-legal but fail held-out heat-loss gates and have no coupled M3+TS Salt3/Salt4 score.,"Frozen TS1/TS2 coupled M3+TS scorecard for mdot, Tmean, loop-delta, TP, and TW.",Validation/holdout improvement over M2/M3 baselines without runtime CFD leakage.,"Do not consume realized wallHeatFlux, CFD mdot, imposed cooler duty, or validation temperatures at runtime.",work_products/2026-07/2026-07-16/2026-07-16_coupled_m3ts_test_section_scorecard/README.md
f6_friction_re_correction,f6-friction-re-correction,P1,Current PM5 evidence is diagnostic-only under material recirculation; 0 F6 fit-admissible rows.,Non-recirculating pressure rows or explicit recirculation-modeled F6/onset closure with validation improvement.,Improves validation/holdout over F3_shah_apparent without hidden global multiplier.,Do not promote recirculating diagnostic rows into true f_D or K closure fits.,work_products/2026-07/2026-07-16/2026-07-16_f6_upcomer_blocker_status_scorecard/README.md
wall_thermal_circuit_model,predictive-wall-test-section-submodels,P2,Wall/test-section/passive-boundary heat loss lacks an admitted setup-only physical circuit model.,Segment wall thermal-circuit model with resistance/storage terms and setup-only runtime inputs.,Held-out TP/TW and heat-loss scoring improves without realized CFD thermal outputs.,Do not double-count radiation or use CFD wallHeatFlux as a runtime source.,operational_notes/maps/forward-predictive-model.md;work_products/2026-07/2026-07-16/2026-07-16_coupled_m3ts_test_section_scorecard/README.md
segment_pressure_models,f6-friction-re-correction,P2,Segment pressure terms need branch-local drive/loss/reset/development separation.,Segment pressure model scorecard after equation contract completion.,"Reports mdot impact by segment and separates buoyancy, distributed friction, reset/development, K, junction, and onset terms.",Do not use a hidden global pressure multiplier.,operational_notes/maps/forward-predictive-model.md
segment_thermal_models,predictive-wall-test-section-submodels,P2,"Thermal model forms differ by heater, cooler/HX, downcomer, upcomer/test-section, and junction/stub regions.",Segment thermal model scorecard with separate source/sink/boundary/storage residuals.,"Scores TP/TW, Tmean, loop-delta, and mdot coupling impacts on train/validation/holdout.",Do not tune internal Nu to absorb external boundary/source/storage residuals.,operational_notes/maps/forward-predictive-model.md;operational_notes/maps/thermal-closures-and-internal-nu.md
boundary_layer_development_scorecard,closure-qoi-mesh-gci,P3,Boundary-layer and entrance/reset development effects are not yet quantified by segment.,Boundary-layer development ablation scorecard.,"Reports mdot, TP, TW, Tmean, and loop-delta impacts by segment.",Do not hide segment-specific development physics in a global multiplier.,operational_notes/maps/forward-predictive-model.md;operational_notes/maps/literature-synthesis-and-gates.md
thesis_upcomer_recirculation_writeup,upcomer-onset-data-sparsity,P3,The thesis/paper needs a clear explanation that test-section rows are in the upcomer and recirculating.,Thesis-ready upcomer/test-section recirculation section with accepted labels and rejected fit labels.,Reader can see why upcomer data inform hybrid/onset physics but not ordinary single-stream coefficients.,Do not imply the test section is a separate non-upcomer fit lane.,operational_notes/maps/thermal-closures-and-internal-nu.md;work_products/2026-07/2026-07-16/2026-07-16_f6_upcomer_blocker_status_scorecard/README.md
