source_id,time_s,feature_name,feature_kind,start_patch,end_patch,start_p_pa,end_p_pa,delta_p_pa,start_p_rgh_pa,end_p_rgh_pa,delta_p_rgh_pa,abs_delta_p_rgh_pa,profile_dp_pa,wall_dp_pa,minor_residual_dp_pa,minor_k_reference,warning_flag,note
val_salt_test_2_coarse_mesh_laminar,7483.0,corner_lower_left,corner,ncc_pipeleg_left_07_lower_end,ncc_pipeleg_lower_01_fitting_start,-342.4587092,-3.918229935,338.540479265,-6.163906948,-5.635919566,0.5279873820000001,0.5279873820000001,nan,nan,nan,nan,0,delta columns use end minus start in the FEATURE_BUDGETS geometric patch order. profile_dp_pa and wall_dp_pa are deferred in this first extractor; minor_residual_dp_pa and minor_k_reference therefore remain NaN.
val_salt_test_2_coarse_mesh_laminar,7484.0,corner_lower_left,corner,ncc_pipeleg_left_07_lower_end,ncc_pipeleg_lower_01_fitting_start,-342.4427191,-3.902253686,338.540465414,-6.147920586,-5.619944018,0.5279765679999997,0.5279765679999997,nan,nan,nan,nan,0,delta columns use end minus start in the FEATURE_BUDGETS geometric patch order. profile_dp_pa and wall_dp_pa are deferred in this first extractor; minor_residual_dp_pa and minor_k_reference therefore remain NaN.
val_salt_test_2_coarse_mesh_laminar,7485.0,corner_lower_left,corner,ncc_pipeleg_left_07_lower_end,ncc_pipeleg_lower_01_fitting_start,-342.4279887,-3.887501392,338.540487308,-6.133177203,-5.605190267,0.5279869359999996,0.5279869359999996,nan,nan,nan,nan,0,delta columns use end minus start in the FEATURE_BUDGETS geometric patch order. profile_dp_pa and wall_dp_pa are deferred in this first extractor; minor_residual_dp_pa and minor_k_reference therefore remain NaN.
val_salt_test_2_coarse_mesh_laminar,7486.0,corner_lower_left,corner,ncc_pipeleg_left_07_lower_end,ncc_pipeleg_lower_01_fitting_start,-342.4144586,-3.873968281,338.540490319,-6.119633542,-5.591653596,0.5279799460000003,0.5279799460000003,nan,nan,nan,nan,0,delta columns use end minus start in the FEATURE_BUDGETS geometric patch order. profile_dp_pa and wall_dp_pa are deferred in this first extractor; minor_residual_dp_pa and minor_k_reference therefore remain NaN.
val_salt_test_2_coarse_mesh_laminar,7487.0,corner_lower_left,corner,ncc_pipeleg_left_07_lower_end,ncc_pipeleg_lower_01_fitting_start,-342.3975598,-3.857120961,338.540438839,-6.102727214,-5.57480318,0.5279240339999998,0.5279240339999998,nan,nan,nan,nan,0,delta columns use end minus start in the FEATURE_BUDGETS geometric patch order. profile_dp_pa and wall_dp_pa are deferred in this first extractor; minor_residual_dp_pa and minor_k_reference therefore remain NaN.
val_salt_test_2_coarse_mesh_laminar,7483.0,corner_lower_right,corner,ncc_pipeleg_lower_09_fitting_end,ncc_pipeleg_right_01_lower_start,4708.43805,4370.588785,-337.84926499999983,-7.704766449,-5.023811889,2.68095456,2.68095456,nan,nan,nan,nan,1,delta columns use end minus start in the FEATURE_BUDGETS geometric patch order. profile_dp_pa and wall_dp_pa are deferred in this first extractor; minor_residual_dp_pa and minor_k_reference therefore remain NaN. delta_p_pa and delta_p_rgh_pa have inconsistent nonzero signs.
val_salt_test_2_coarse_mesh_laminar,7484.0,corner_lower_right,corner,ncc_pipeleg_lower_09_fitting_end,ncc_pipeleg_right_01_lower_start,4708.453164,4370.603949,-337.8492149999993,-7.631744011,-4.996803006,2.634941005,2.634941005,nan,nan,nan,nan,1,delta columns use end minus start in the FEATURE_BUDGETS geometric patch order. profile_dp_pa and wall_dp_pa are deferred in this first extractor; minor_residual_dp_pa and minor_k_reference therefore remain NaN. delta_p_pa and delta_p_rgh_pa have inconsistent nonzero signs.
val_salt_test_2_coarse_mesh_laminar,7485.0,corner_lower_right,corner,ncc_pipeleg_lower_09_fitting_end,ncc_pipeleg_right_01_lower_start,4708.465899,4370.618458,-337.8474409999999,-7.608928672,-4.976895572,2.6320331,2.6320331,nan,nan,nan,nan,1,delta columns use end minus start in the FEATURE_BUDGETS geometric patch order. profile_dp_pa and wall_dp_pa are deferred in this first extractor; minor_residual_dp_pa and minor_k_reference therefore remain NaN. delta_p_pa and delta_p_rgh_pa have inconsistent nonzero signs.
val_salt_test_2_coarse_mesh_laminar,7486.0,corner_lower_right,corner,ncc_pipeleg_lower_09_fitting_end,ncc_pipeleg_right_01_lower_start,4708.479371,4370.633274,-337.84609700000055,-7.615859161,-4.960173908,2.6556852530000006,2.6556852530000006,nan,nan,nan,nan,1,delta columns use end minus start in the FEATURE_BUDGETS geometric patch order. profile_dp_pa and wall_dp_pa are deferred in this first extractor; minor_residual_dp_pa and minor_k_reference therefore remain NaN. delta_p_pa and delta_p_rgh_pa have inconsistent nonzero signs.
val_salt_test_2_coarse_mesh_laminar,7487.0,corner_lower_right,corner,ncc_pipeleg_lower_09_fitting_end,ncc_pipeleg_right_01_lower_start,4708.497531,4370.651661,-337.8458700000001,-7.597816536,-4.942698899,2.655117637,2.655117637,nan,nan,nan,nan,1,delta columns use end minus start in the FEATURE_BUDGETS geometric patch order. profile_dp_pa and wall_dp_pa are deferred in this first extractor; minor_residual_dp_pa and minor_k_reference therefore remain NaN. delta_p_pa and delta_p_rgh_pa have inconsistent nonzero signs.
val_salt_test_2_coarse_mesh_laminar,7483.0,corner_upper_right,corner,ncc_pipeleg_right_03_upper_end,ncc_pipeleg_upper_01_straight_start,-13162.24769,-13496.03793,-333.79024000000027,4.874187238,12.6384522,7.7642649619999995,7.7642649619999995,nan,nan,nan,nan,1,delta columns use end minus start in the FEATURE_BUDGETS geometric patch order. profile_dp_pa and wall_dp_pa are deferred in this first extractor; minor_residual_dp_pa and minor_k_reference therefore remain NaN. delta_p_pa and delta_p_rgh_pa have inconsistent nonzero signs.
