case_id,surface_lane,classification,face_count,area_m2,release_status,normal_vector_convention,consumer,blocking_reason
salt_2,trusted_wall_faces,trusted_right_leg_wall,38880,0.063435001093,seed_ready,positive outward from geometry seed toward adjacent non-seed cell for internal interface; wall normals use OpenFOAM owner-side boundary orientation,source-bounded CV wall seed,
salt_2,classified_ncc_caps,classified_ncc_cap,96,2.60465142293e-05,seed_ready,positive outward from geometry seed toward adjacent non-seed cell for internal interface; wall normals use OpenFOAM owner-side boundary orientation,future cap classification audit,
salt_2,internal_seed_core_interface,seed_core_interface,38880,0.0623473180949,seed_ready,positive outward from geometry seed toward adjacent non-seed cell for internal interface; wall normals use OpenFOAM owner-side boundary orientation,future exchange/interface candidate search,
salt_2,surface_vtk_extraction,downstream_surface,0,0,blocked,positive outward from geometry seed toward adjacent non-seed cell for internal interface; wall normals use OpenFOAM owner-side boundary orientation,sampler manifest,surface extraction requires later source-bounded CV release
salt_3,trusted_wall_faces,trusted_right_leg_wall,38880,0.063435001093,seed_ready,positive outward from geometry seed toward adjacent non-seed cell for internal interface; wall normals use OpenFOAM owner-side boundary orientation,source-bounded CV wall seed,
salt_3,classified_ncc_caps,classified_ncc_cap,96,2.60465142293e-05,seed_ready,positive outward from geometry seed toward adjacent non-seed cell for internal interface; wall normals use OpenFOAM owner-side boundary orientation,future cap classification audit,
salt_3,internal_seed_core_interface,seed_core_interface,38880,0.0623473180949,seed_ready,positive outward from geometry seed toward adjacent non-seed cell for internal interface; wall normals use OpenFOAM owner-side boundary orientation,future exchange/interface candidate search,
salt_3,surface_vtk_extraction,downstream_surface,0,0,blocked,positive outward from geometry seed toward adjacent non-seed cell for internal interface; wall normals use OpenFOAM owner-side boundary orientation,sampler manifest,surface extraction requires later source-bounded CV release
salt_4,trusted_wall_faces,trusted_right_leg_wall,38880,0.063435001093,seed_ready,positive outward from geometry seed toward adjacent non-seed cell for internal interface; wall normals use OpenFOAM owner-side boundary orientation,source-bounded CV wall seed,
salt_4,classified_ncc_caps,classified_ncc_cap,96,2.60465142293e-05,seed_ready,positive outward from geometry seed toward adjacent non-seed cell for internal interface; wall normals use OpenFOAM owner-side boundary orientation,future cap classification audit,
salt_4,internal_seed_core_interface,seed_core_interface,38880,0.0623473180949,seed_ready,positive outward from geometry seed toward adjacent non-seed cell for internal interface; wall normals use OpenFOAM owner-side boundary orientation,future exchange/interface candidate search,
salt_4,surface_vtk_extraction,downstream_surface,0,0,blocked,positive outward from geometry seed toward adjacent non-seed cell for internal interface; wall normals use OpenFOAM owner-side boundary orientation,sampler manifest,surface extraction requires later source-bounded CV release
