case_id,mesh_level,existing_evidence_family,related_s13_qoi_label,present_in_source_or_prior_package,reuse_status,production_row_allowed,reason_not_directly_admissible
salt_2,medium,wallHeatFlux,Q_wall_W,true,raw/support only,false,"Existing wallHeatFlux output can verify heat-flux field availability, but S13 still needs integration over the trusted wall mask with exact sign and area provenance."
salt_2,medium,mdot_pipeleg_*,mdot_exchange_positive_outward_proxy_kg_s,true,diagnostic only,false,Pipeleg mass-flow surfaces are not the trusted recirculation exchange interface and cannot be relabeled as the S13 outward exchange flux.
salt_2,medium,velocity_profiles,mdot_exchange_positive_outward_proxy_kg_s;tau_recirc_proxy_s,true,raw/support only,false,"Velocity profiles help confirm field availability and flow character, but they are not a closed exchange-interface surface integral or CV inventory."
salt_2,medium,temperature_probes;wall_temperature_probes,wall_core_bulk_temperature_contrast_K,true,diagnostic only,false,Probe means are not the same wall/core/bulk masks and weights used by the S13 temperature-contrast label.
salt_2,medium,July 9 endpoint GCI rows,mesh/GCI support,true,non-equivalent prior evidence,false,"Those rows use endpoint quantities such as wall gross/net duty, pipeleg mdot, and probe temperatures; they are useful precedent but not exact S13 labels."
salt_2,fine,wallHeatFlux,Q_wall_W,true,raw/support only,false,"Existing wallHeatFlux output can verify heat-flux field availability, but S13 still needs integration over the trusted wall mask with exact sign and area provenance."
salt_2,fine,mdot_pipeleg_*,mdot_exchange_positive_outward_proxy_kg_s,true,diagnostic only,false,Pipeleg mass-flow surfaces are not the trusted recirculation exchange interface and cannot be relabeled as the S13 outward exchange flux.
salt_2,fine,velocity_profiles,mdot_exchange_positive_outward_proxy_kg_s;tau_recirc_proxy_s,true,raw/support only,false,"Velocity profiles help confirm field availability and flow character, but they are not a closed exchange-interface surface integral or CV inventory."
salt_2,fine,temperature_probes;wall_temperature_probes,wall_core_bulk_temperature_contrast_K,true,diagnostic only,false,Probe means are not the same wall/core/bulk masks and weights used by the S13 temperature-contrast label.
salt_2,fine,July 9 endpoint GCI rows,mesh/GCI support,true,non-equivalent prior evidence,false,"Those rows use endpoint quantities such as wall gross/net duty, pipeleg mdot, and probe temperatures; they are useful precedent but not exact S13 labels."
salt_3,medium,wallHeatFlux,Q_wall_W,true,raw/support only,false,"Existing wallHeatFlux output can verify heat-flux field availability, but S13 still needs integration over the trusted wall mask with exact sign and area provenance."
salt_3,medium,mdot_pipeleg_*,mdot_exchange_positive_outward_proxy_kg_s,true,diagnostic only,false,Pipeleg mass-flow surfaces are not the trusted recirculation exchange interface and cannot be relabeled as the S13 outward exchange flux.
salt_3,medium,velocity_profiles,mdot_exchange_positive_outward_proxy_kg_s;tau_recirc_proxy_s,true,raw/support only,false,"Velocity profiles help confirm field availability and flow character, but they are not a closed exchange-interface surface integral or CV inventory."
salt_3,medium,temperature_probes;wall_temperature_probes,wall_core_bulk_temperature_contrast_K,true,diagnostic only,false,Probe means are not the same wall/core/bulk masks and weights used by the S13 temperature-contrast label.
salt_3,medium,July 9 endpoint GCI rows,mesh/GCI support,false,non-equivalent prior evidence,false,"Those rows use endpoint quantities such as wall gross/net duty, pipeleg mdot, and probe temperatures; they are useful precedent but not exact S13 labels."
salt_3,fine,wallHeatFlux,Q_wall_W,true,raw/support only,false,"Existing wallHeatFlux output can verify heat-flux field availability, but S13 still needs integration over the trusted wall mask with exact sign and area provenance."
salt_3,fine,mdot_pipeleg_*,mdot_exchange_positive_outward_proxy_kg_s,true,diagnostic only,false,Pipeleg mass-flow surfaces are not the trusted recirculation exchange interface and cannot be relabeled as the S13 outward exchange flux.
salt_3,fine,velocity_profiles,mdot_exchange_positive_outward_proxy_kg_s;tau_recirc_proxy_s,true,raw/support only,false,"Velocity profiles help confirm field availability and flow character, but they are not a closed exchange-interface surface integral or CV inventory."
salt_3,fine,temperature_probes;wall_temperature_probes,wall_core_bulk_temperature_contrast_K,true,diagnostic only,false,Probe means are not the same wall/core/bulk masks and weights used by the S13 temperature-contrast label.
salt_3,fine,July 9 endpoint GCI rows,mesh/GCI support,false,non-equivalent prior evidence,false,"Those rows use endpoint quantities such as wall gross/net duty, pipeleg mdot, and probe temperatures; they are useful precedent but not exact S13 labels."
salt_4,medium,wallHeatFlux,Q_wall_W,true,raw/support only,false,"Existing wallHeatFlux output can verify heat-flux field availability, but S13 still needs integration over the trusted wall mask with exact sign and area provenance."
salt_4,medium,mdot_pipeleg_*,mdot_exchange_positive_outward_proxy_kg_s,true,diagnostic only,false,Pipeleg mass-flow surfaces are not the trusted recirculation exchange interface and cannot be relabeled as the S13 outward exchange flux.
salt_4,medium,velocity_profiles,mdot_exchange_positive_outward_proxy_kg_s;tau_recirc_proxy_s,true,raw/support only,false,"Velocity profiles help confirm field availability and flow character, but they are not a closed exchange-interface surface integral or CV inventory."
