case_id,split,model_id,scalar_type,eta_heater,test_section_external_loss_W,test_section_fluid_fraction,heater_setup_power_W,test_section_setup_power_W,baseline_heater_only_Tmean_error_K,sensitivity_K_per_W,model_delta_Q_vs_heater_only_W,predicted_Tmean_error_K,abs_predicted_Tmean_error_K,score_role,admission_status,runtime_input_audit
salt_2,train,H0_heater_only_unfitted,none,1,0,0,265.7,37,2.32187151784,0.848688192,0,2.32187151784,2.32187151784,score_only,diagnostic_score_target_final_forward_v1_blocked,no_cfd_mdot_no_wallHeatFlux_no_validation_temperature_runtime_input
salt_2,train,H1_eta_heater_fit_salt2,eta_heater,0.989703290269,0,0,265.7,37,2.32187151784,0.848688192,-2.73583577553,-1.00684793836e-10,1.00684793836e-10,fit_row,diagnostic_score_target_final_forward_v1_blocked,no_cfd_mdot_no_wallHeatFlux_no_validation_temperature_runtime_input
salt_2,train,H2_test_section_external_loss_fit_salt2,test_section_external_loss_W,1,2.7358357756,0,265.7,37,2.32187151784,0.848688192,-2.7358357756,-1.62881708121e-10,1.62881708121e-10,fit_row,diagnostic_score_target_final_forward_v1_blocked,no_cfd_mdot_no_wallHeatFlux_no_validation_temperature_runtime_input
salt_2,train,H3_test_section_37W_rejected,test_section_fluid_fraction,1,0,1,265.7,37,2.32187151784,0.848688192,37,33.7233346222,33.7233346222,score_only,diagnostic_score_target_final_forward_v1_blocked,no_cfd_mdot_no_wallHeatFlux_no_validation_temperature_runtime_input
salt_3,validation,H0_heater_only_unfitted,none,1,0,0,297.5,37,4.54939778652,0.805689838514,0,4.54939778652,4.54939778652,score_only,diagnostic_score_target_final_forward_v1_blocked,no_cfd_mdot_no_wallHeatFlux_no_validation_temperature_runtime_input
salt_3,validation,H1_eta_heater_fit_salt2,eta_heater,0.989703290269,0,0,297.5,37,4.54939778652,0.805689838514,-3.06327114497,2.0813513524,2.0813513524,score_only,diagnostic_score_target_final_forward_v1_blocked,no_cfd_mdot_no_wallHeatFlux_no_validation_temperature_runtime_input
salt_3,validation,H2_test_section_external_loss_fit_salt2,test_section_external_loss_W,1,2.7358357756,0,297.5,37,4.54939778652,0.805689838514,-2.7358357756,2.34516270228,2.34516270228,score_only,diagnostic_score_target_final_forward_v1_blocked,no_cfd_mdot_no_wallHeatFlux_no_validation_temperature_runtime_input
salt_3,validation,H3_test_section_37W_rejected,test_section_fluid_fraction,1,0,1,297.5,37,4.54939778652,0.805689838514,37,34.3599218122,34.3599218122,score_only,diagnostic_score_target_final_forward_v1_blocked,no_cfd_mdot_no_wallHeatFlux_no_validation_temperature_runtime_input
salt_4,holdout,H0_heater_only_unfitted,none,1,0,0,337.6,37,6.95562897347,0.758972150162,0,6.95562897347,6.95562897347,score_only,diagnostic_score_target_final_forward_v1_blocked,no_cfd_mdot_no_wallHeatFlux_no_validation_temperature_runtime_input
salt_4,holdout,H1_eta_heater_fit_salt2,eta_heater,0.989703290269,0,0,337.6,37,6.95562897347,0.758972150162,-3.47616920519,4.31731335748,4.31731335748,score_only,diagnostic_score_target_final_forward_v1_blocked,no_cfd_mdot_no_wallHeatFlux_no_validation_temperature_runtime_input
salt_4,holdout,H2_test_section_external_loss_fit_salt2,test_section_external_loss_W,1,2.7358357756,0,337.6,37,6.95562897347,0.758972150162,-2.7358357756,4.87920581237,4.87920581237,score_only,diagnostic_score_target_final_forward_v1_blocked,no_cfd_mdot_no_wallHeatFlux_no_validation_temperature_runtime_input
salt_4,holdout,H3_test_section_37W_rejected,test_section_fluid_fraction,1,0,1,337.6,37,6.95562897347,0.758972150162,37,35.037598529,35.037598529,score_only,diagnostic_score_target_final_forward_v1_blocked,no_cfd_mdot_no_wallHeatFlux_no_validation_temperature_runtime_input
