source_id,case_label,family,span_name,time_sample_count,bin_row_count,s_min_m,s_max_m,dynamic_pressure_mean_pa,dynamic_pressure_min_pa,dynamic_pressure_max_pa
val_salt_test_2_coarse_mesh_laminar,Salt 2 val,salt,left_lower_leg,5,170,0.0,0.323501,0.3638898168168761,0.18210693466260286,1.4335815995962529
val_salt_test_2_coarse_mesh_laminar,Salt 2 val,salt,left_upper_leg,5,195,0.0,0.37473599999999996,0.36030816197576543,0.18776289493207235,1.482748991555883
val_salt_test_2_coarse_mesh_laminar,Salt 2 val,salt,lower_leg,5,460,0.0,0.9004136306150922,0.33699597124530617,0.25801560088627656,0.4723985411358248
val_salt_test_2_coarse_mesh_laminar,Salt 2 val,salt,right_leg,5,465,0.0,0.9144000000000001,0.33576269622156696,0.29898721482741697,0.4789568532175543
val_salt_test_2_coarse_mesh_laminar,Salt 2 val,salt,test_section_span,5,135,0.0,0.25127800000000006,0.4904378667397103,0.28850610428815066,1.4606976921507508
val_salt_test_2_coarse_mesh_laminar,Salt 2 val,salt,upper_leg,5,470,0.0,0.9238969228247695,0.3295853159046302,0.2561939684139589,0.826985180596867
val_water_test_1_coarse_mesh_laminar,Water 1,water,left_lower_leg,5,170,0.0,0.323501,0.07862063348111724,0.03931509728476371,0.31001124790446855
val_water_test_1_coarse_mesh_laminar,Water 1,water,left_upper_leg,5,195,0.0,0.37473599999999996,0.07767900669188357,0.04044794796499522,0.3199585983258554
val_water_test_1_coarse_mesh_laminar,Water 1,water,lower_leg,5,460,0.0,0.9004136306150922,0.07271010347994776,0.055625743254792984,0.10201910387166618
val_water_test_1_coarse_mesh_laminar,Water 1,water,right_leg,5,465,0.0,0.9144000000000001,0.07257227280056275,0.06457189662949453,0.1036130526063096
val_water_test_1_coarse_mesh_laminar,Water 1,water,test_section_span,5,135,0.0,0.25127800000000006,0.10578954335152338,0.06218821738887609,0.31535621196371716
val_water_test_1_coarse_mesh_laminar,Water 1,water,upper_leg,5,470,0.0,0.9238969228247695,0.07104715551718879,0.05518382342150332,0.178437879700367
val_water_test_2_coarse_mesh_laminar,Water 2,water,left_lower_leg,5,170,0.0,0.323501,0.11708065054199039,0.05843248412033899,0.46200614727095807
val_water_test_2_coarse_mesh_laminar,Water 2,water,left_upper_leg,5,195,0.0,0.37473599999999996,0.11568190596084721,0.06012229396978507,0.47681968616663256
val_water_test_2_coarse_mesh_laminar,Water 2,water,lower_leg,5,460,0.0,0.9004136306150922,0.10826621630284344,0.08266724576486385,0.1520183657507455
val_water_test_2_coarse_mesh_laminar,Water 2,water,right_leg,5,465,0.0,0.9144000000000001,0.10807265334146011,0.09597085773017335,0.15441807909994115
