row_id,case_key,segment,classification,missing_field_count,missing_fields,blocks_fit_admission
mainline_onset:salt_2_jin,salt_2_jin,upcomer,recirculation_diagnostic,4,wall_bulk_deltaT_status;wallHeatFlux_status;same_window_consistency_status;mesh_time_uncertainty_status,yes
mainline_onset:salt_3_jin,salt_3_jin,upcomer,recirculation_diagnostic,4,wall_bulk_deltaT_status;wallHeatFlux_status;same_window_consistency_status;mesh_time_uncertainty_status,yes
mainline_onset:salt_4_jin,salt_4_jin,upcomer,recirculation_diagnostic,4,wall_bulk_deltaT_status;wallHeatFlux_status;same_window_consistency_status;mesh_time_uncertainty_status,yes
f6_inventory:salt2_lo5q:left_lower_leg,salt2_lo5q,left_lower_leg,recirculation_diagnostic,4,wall_bulk_deltaT_status;wallHeatFlux_status;same_window_consistency_status;mesh_time_uncertainty_status,yes
f6_inventory:salt2_lo5q:test_section_span,salt2_lo5q,test_section_span,recirculation_diagnostic,4,wall_bulk_deltaT_status;wallHeatFlux_status;same_window_consistency_status;mesh_time_uncertainty_status,yes
f6_inventory:salt2_lo5q:left_upper_leg,salt2_lo5q,left_upper_leg,recirculation_diagnostic,4,wall_bulk_deltaT_status;wallHeatFlux_status;same_window_consistency_status;mesh_time_uncertainty_status,yes
f6_inventory:salt2_hi5q:left_lower_leg,salt2_hi5q,left_lower_leg,recirculation_diagnostic,4,wall_bulk_deltaT_status;wallHeatFlux_status;same_window_consistency_status;mesh_time_uncertainty_status,yes
f6_inventory:salt2_hi5q:test_section_span,salt2_hi5q,test_section_span,recirculation_diagnostic,4,wall_bulk_deltaT_status;wallHeatFlux_status;same_window_consistency_status;mesh_time_uncertainty_status,yes
f6_inventory:salt2_hi5q:left_upper_leg,salt2_hi5q,left_upper_leg,recirculation_diagnostic,4,wall_bulk_deltaT_status;wallHeatFlux_status;same_window_consistency_status;mesh_time_uncertainty_status,yes
f6_inventory:salt4_lo5q:left_lower_leg,salt4_lo5q,left_lower_leg,recirculation_diagnostic,4,wall_bulk_deltaT_status;wallHeatFlux_status;same_window_consistency_status;mesh_time_uncertainty_status,yes
f6_inventory:salt4_lo5q:test_section_span,salt4_lo5q,test_section_span,recirculation_diagnostic,4,wall_bulk_deltaT_status;wallHeatFlux_status;same_window_consistency_status;mesh_time_uncertainty_status,yes
f6_inventory:salt4_lo5q:left_upper_leg,salt4_lo5q,left_upper_leg,recirculation_diagnostic,4,wall_bulk_deltaT_status;wallHeatFlux_status;same_window_consistency_status;mesh_time_uncertainty_status,yes
f6_inventory:salt4_hi5q:left_lower_leg,salt4_hi5q,left_lower_leg,recirculation_diagnostic,4,wall_bulk_deltaT_status;wallHeatFlux_status;same_window_consistency_status;mesh_time_uncertainty_status,yes
f6_inventory:salt4_hi5q:test_section_span,salt4_hi5q,test_section_span,recirculation_diagnostic,4,wall_bulk_deltaT_status;wallHeatFlux_status;same_window_consistency_status;mesh_time_uncertainty_status,yes
f6_inventory:salt4_hi5q:left_upper_leg,salt4_hi5q,left_upper_leg,recirculation_diagnostic,4,wall_bulk_deltaT_status;wallHeatFlux_status;same_window_consistency_status;mesh_time_uncertainty_status,yes
pm5_readiness:salt2_lo5q:left_lower_leg,salt2_lo5q,left_lower_leg,recirculation_diagnostic,1,mesh_time_uncertainty_status,yes
pm5_readiness:salt2_lo5q:test_section_span,salt2_lo5q,test_section_span,recirculation_diagnostic,1,mesh_time_uncertainty_status,yes
pm5_readiness:salt2_lo5q:left_upper_leg,salt2_lo5q,left_upper_leg,recirculation_diagnostic,1,mesh_time_uncertainty_status,yes
pm5_readiness:salt2_hi5q:left_lower_leg,salt2_hi5q,left_lower_leg,recirculation_diagnostic,1,mesh_time_uncertainty_status,yes
pm5_readiness:salt2_hi5q:test_section_span,salt2_hi5q,test_section_span,recirculation_diagnostic,1,mesh_time_uncertainty_status,yes
pm5_readiness:salt2_hi5q:left_upper_leg,salt2_hi5q,left_upper_leg,recirculation_diagnostic,1,mesh_time_uncertainty_status,yes
pm5_readiness:val_salt2:left_lower_leg;test_section_span;left_upper_leg,val_salt2,left_lower_leg;test_section_span;left_upper_leg,not_admissible_missing_same_window_fields,4,pressure_evidence_status;wall_bulk_deltaT_status;wallHeatFlux_status;mesh_time_uncertainty_status,yes
