row_id,case_key,segment,source_family,split_or_use_class,Re,Ri_median,backflow_fraction,reverse_area_fraction,reverse_mass_fraction,pressure_evidence_status,wall_bulk_deltaT_status,wallHeatFlux_status,same_window_consistency_status,mesh_time_uncertainty_status,classification,allowed_use,forbidden_use,ordinary_Nu_fit_allowed,ordinary_f_D_fit_allowed,component_K_fit_allowed,reason,source_path
mainline_onset:salt_2_jin,salt_2_jin,upcomer,mainline_onset,mainline_onset_diagnostic,71.12521667906103,2.6337849550000003,0.2777777777777778,,,present,missing,missing,partial,missing,recirculation_diagnostic,hybrid_onset_diagnostic_and_validity_boundary,ordinary_Nu; ordinary_f_D; component_K,no,no,no,material reverse-flow/Ri evidence invalidates ordinary pipe-friction label,work_products/2026-07/2026-07-14/2026-07-14_upcomer_onset_blocker_resolution/upcomer_onset_evidence_status.csv
mainline_onset:salt_3_jin,salt_3_jin,upcomer,mainline_onset,mainline_onset_diagnostic,96.7702467137881,2.39573092,0.21875,,,present,missing,missing,partial,missing,recirculation_diagnostic,hybrid_onset_diagnostic_and_validity_boundary,ordinary_Nu; ordinary_f_D; component_K,no,no,no,material reverse-flow/Ri evidence invalidates ordinary pipe-friction label,work_products/2026-07/2026-07-14/2026-07-14_upcomer_onset_blocker_resolution/upcomer_onset_evidence_status.csv
mainline_onset:salt_4_jin,salt_4_jin,upcomer,mainline_onset,mainline_onset_diagnostic,134.88326391686644,1.4979865399999999,0.171875,,,present,missing,missing,partial,missing,recirculation_diagnostic,hybrid_onset_diagnostic_and_validity_boundary,ordinary_Nu; ordinary_f_D; component_K,no,no,no,material reverse-flow/Ri evidence invalidates ordinary pipe-friction label,work_products/2026-07/2026-07-14/2026-07-14_upcomer_onset_blocker_resolution/upcomer_onset_evidence_status.csv
f6_inventory:salt2_lo5q:left_lower_leg,salt2_lo5q,left_lower_leg,pm5_f6_inventory,holdout,83.1101106,70.00886497,,0.6177451405,0.5000044571,present,missing,partial,partial,missing,recirculation_diagnostic,hybrid_onset_diagnostic_and_validity_boundary,ordinary_Nu; ordinary_f_D; component_K,no,no,no,Reverse-flow area or mass fraction is material; true single-stream f_D/F6 fitting is invalid.,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
f6_inventory:salt2_lo5q:test_section_span,salt2_lo5q,test_section_span,pm5_f6_inventory,holdout,87.454516,45.11688157,,0.3692928784,0.5000060995,present,missing,partial,partial,missing,recirculation_diagnostic,hybrid_onset_diagnostic_and_validity_boundary,ordinary_Nu; ordinary_f_D; component_K,no,no,no,Reverse-flow area or mass fraction is material; true single-stream f_D/F6 fitting is invalid.,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
f6_inventory:salt2_lo5q:left_upper_leg,salt2_lo5q,left_upper_leg,pm5_f6_inventory,holdout,85.86111594,23.79729264,,0.7901396438,0.5000621677,present,missing,partial,partial,missing,recirculation_diagnostic,hybrid_onset_diagnostic_and_validity_boundary,ordinary_Nu; ordinary_f_D; component_K,no,no,no,Reverse-flow area or mass fraction is material; true single-stream f_D/F6 fitting is invalid.,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
f6_inventory:salt2_hi5q:left_lower_leg,salt2_hi5q,left_lower_leg,pm5_f6_inventory,holdout,94.87281344,54.20195191,,0.6096763649,0.4999936722,present,missing,partial,partial,missing,recirculation_diagnostic,hybrid_onset_diagnostic_and_validity_boundary,ordinary_Nu; ordinary_f_D; component_K,no,no,no,Reverse-flow area or mass fraction is material; true single-stream f_D/F6 fitting is invalid.,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
f6_inventory:salt2_hi5q:test_section_span,salt2_hi5q,test_section_span,pm5_f6_inventory,holdout,100.0030491,78.04208245,,0.3748113482,0.4999916556,present,missing,partial,partial,missing,recirculation_diagnostic,hybrid_onset_diagnostic_and_validity_boundary,ordinary_Nu; ordinary_f_D; component_K,no,no,no,Reverse-flow area or mass fraction is material; true single-stream f_D/F6 fitting is invalid.,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
f6_inventory:salt2_hi5q:left_upper_leg,salt2_hi5q,left_upper_leg,pm5_f6_inventory,holdout,98.26301912,108.7458056,,0.785845516,0.5000672828,present,missing,partial,partial,missing,recirculation_diagnostic,hybrid_onset_diagnostic_and_validity_boundary,ordinary_Nu; ordinary_f_D; component_K,no,no,no,Reverse-flow area or mass fraction is material; true single-stream f_D/F6 fitting is invalid.,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
f6_inventory:salt4_lo5q:left_lower_leg,salt4_lo5q,left_lower_leg,pm5_f6_inventory,training,148.9247963,16.86404752,,0.5466041262,0.5000026995,present,missing,partial,partial,missing,recirculation_diagnostic,hybrid_onset_diagnostic_and_validity_boundary,ordinary_Nu; ordinary_f_D; component_K,no,no,no,Reverse-flow area or mass fraction is material; true single-stream f_D/F6 fitting is invalid.,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
