task_id,row_index,role,owner,board_status,status_file,status_file_exists,duplicate_active_id,has_active_like_status,scope_contains_scheduler,scope_contains_external_fluid,goal_summary,cleanup_recommendation
AGENT-401,1,Coordinator / Forward-pred / Tester / Writer,codex,COMPLETE 2026-07-15T08:02:14-05:00,.agent/status/2026-07-15_AGENT-401.md,true,false,false,true,true,"Implemented active-row cleanup/readiness audit from the July 15 plan: detected missing-status/stale Active rows, identified scopes that block cooler/HX/sensor/hydraulic work, classified safe next work without overlapping active claims, and ",Move completed row out of Active during next board cleanup.
AGENT-394,2,Coordinator / Forward-pred / BC-modeling / Implementer / Tester / Writer,codex,ACTIVE 2026-07-15T07:53:00-0500,.agent/status/2026-07-15_AGENT-394.md,false,false,true,true,true,"Implement next-step execution package from July 14 overnight outputs: integrate AGENT-391 decision evidence, snapshot AGENT-392/live scheduler state, produce setup-only cooler/HX and test-section action tables, capture remaining forward-v1 ",Create or locate missing task status file; active row cannot be trusted without closeout/status.
AGENT-393,3,Forward-pred / Hydraulics / Implementer / Tester / Writer,codex,COMPLETE 2026-07-15T07:59:35-05:00,.agent/status/2026-07-15_AGENT-393.md,true,false,false,true,true,"Implemented the July 15 unblock package: scheduler/accounting snapshot, PM5 matched pressure/upcomer relaunch decision, hydraulic gate refresh, forward-v1 post-overnight gate delta, and sensor-map policy. Result: final forward-v1 remains bl",Move completed row out of Active during next board cleanup.
AGENT-402,4,Coordinator / cfd-pp / Forward-pred / Writer / Tester,codex,COMPLETE 2026-07-15T07:52:40-05:00,.agent/status/2026-07-15_AGENT-402.md,true,false,false,true,true,"Implemented the July 15 Salt/forward-v1 unblock package: scheduler snapshot, PM5 missing-field recovery audit, split-aware Salt thermal training/holdout input table, stale inventory refresh actions, setup-only HX/boundary action state, and ",Move completed row out of Active during next board cleanup.
AGENT-392,5,Thermal parity / Forward-pred / Scheduler / Writer,codex,COMPLETE 2026-07-15T07:55:00-05:00,.agent/status/2026-07-14_AGENT-392.md,true,false,false,true,true,"Complement-launched non-overlapping AGENT-370/374 lightweight thermal lanes on compute node `c318-008`; all 8 stages exited `0` by `2026-07-15T07:53:14-05:00`, failed stages `0`. STATUS: COMPLETE 2026-07-15T07:55:00-05:00.",Move completed row out of Active during next board cleanup.
AGENT-391,6,Forward-pred / BC-modeling / Scheduler / Implementer / Writer,codex,COMPLETE 2026-07-14T18:10:17-0500,.agent/status/2026-07-14_AGENT-391.md,true,false,false,true,true,"Launched and completed the mdot/temperature compute-node study queue: AGENT-360 refresh, setup-only cooler closure bakeoff, test-section boundary-form bakeoff, reference-state diagnostic, and pressure-root QA diagnostics. Exit code `0`; no ",Move completed row out of Active during next board cleanup.
AGENT-375,7,Thesis / Presentation / Writer,codex,COMPLETE 2026-07-14T19:15:00-05:00,.agent/status/2026-07-14_AGENT-375.md,true,false,false,true,true,"Added a July 15 TODO to revamp the PowerPoint after any new result changes admission, blocker, scorecard, figure, or claim status. STATUS: COMPLETE 2026-07-14T19:15:00-05:00.",Move completed row out of Active during next board cleanup.
AGENT-374,8,Coordinator / Forward-pred / Writer,codex,COMPLETE 2026-07-14T19:18:00-05:00,.agent/status/2026-07-14_AGENT-374.md,true,false,false,true,true,"Produced a comprehensive tomorrow handoff documenting forward-v1 progress/context, current blockers, scheduler/node snapshot, exact open-first files, and compute-node/overnight study recommendations. Captured current node `c318-008`, runnin",Move completed row out of Active during next board cleanup.
AGENT-373,9,Hydraulics / Scheduler / Coordinator / Writer,codex,COMPLETE/SUBMITTED 2026-07-14T17:57:00-05:00,.agent/status/2026-07-14_AGENT-373.md,true,false,true,true,true,Submitted the requested overnight hydraulics chain after both active node job `3295120` and existing corrected-Q harvester `3295438`: `3295989` -> `3295990` -> `3295991`. Cancelled older less-restrictive jobs `3295985`-`3295987`. No native ,Leave active; avoid overlapping scope.
AGENT-372,10,Coordinator / Forward-pred / Writer,codex,COMPLETE 2026-07-14T17:55:52-0500,.agent/status/2026-07-14_AGENT-372.md,true,false,false,true,true,"Document AGENT-360 mdot/temperature audit progress and context for tomorrow, including open-first files, assumptions, blockers, exact next-step sequence, and overnight compute-node study suggestions without launching jobs or mutating solver",Move completed row out of Active during next board cleanup.
AGENT-371,11,Forward-pred / Scientific-closure / Writer / Tester,codex,COMPLETE 2026-07-14T18:55:00-05:00,.agent/status/2026-07-14_AGENT-371.md,true,false,false,true,true,"Audited the 7 AGENT-366 forward-v1 blocked items for documentation sufficiency and produced a blocker documentation matrix, reading guide, evidence chain, source manifest, and full closeout. Result: 7/7 blockers have primary docs, supportin",Move completed row out of Active during next board cleanup.
AGENT-390,12,BC-modeling / Forward-pred / Implementer / Tester / Writer,codex,COMPLETE 2026-07-14T17:50:23-05:00,.agent/status/2026-07-14_AGENT-390.md,true,false,false,true,true,Implemented the repo-local split-aware heater/source-contract screen and paper-methods slice: heater-only admitted as the next unfitted source contract; Salt2-only `eta_heater=0.989703` improves held-out Tmean MAE to `3.199 K` but final for,Move completed row out of Active during next board cleanup.
AGENT-369,13,Coordinator / cfd-pp / Writer,codex,COMPLETE 2026-07-14T18:59:00-05:00,.agent/status/2026-07-14_AGENT-369.md,true,false,false,true,true,"Make today's Salt training/testing evidence changes discoverable for future agents: document newly usable training/holdout cases, exact evidence paths, remaining pressure/upcomer pending gate, Salt1 hi10q conflict resolution, and next actio",Move completed row out of Active during next board cleanup.
AGENT-370,14,Thermal parity / Forward-pred / Coordinator / Writer,codex,COMPLETE 2026-07-14T17:49:00-05:00,.agent/status/2026-07-15_AGENT-370.md,false,false,false,true,true,"Documented thermal/external-BC parity progress and context for tomorrow, including open-first files, current claims/guardrails, scheduler snapshot, and an overnight study queue with compute-node versus Slurm recommendations. No jobs launche",Move completed row out of Active during next board cleanup.
AGENT-368,15,Coordinator / Hydraulics / Writer,codex,COMPLETE 2026-07-14T18:36:00-05:00,.agent/status/2026-07-14_AGENT-368.md,true,false,false,true,true,"Documented current hydraulics/forward context for tomorrow, blockers, pickup order, scheduler snapshot, and overnight study recommendations. Recommendation: do not duplicate active/pending jobs; harvest existing corrected-Q and matched pres",Move completed row out of Active during next board cleanup.
AGENT-367,16,Thesis / Presentation / Implementer / Writer,codex,COMPLETE 2026-07-14T18:50:00-05:00,.agent/status/2026-07-14_AGENT-367.md,true,false,false,true,true,"Identified how to create the better figures, generated presentation-ready figure assets, and attached them to a PowerPoint deck while preserving diagnostic/predictive/admission claim boundaries. STATUS: COMPLETE 2026-07-14T18:50:00-05:00.",Move completed row out of Active during next board cleanup.
AGENT-366,17,Forward-pred / Scientific-closure / Implementer / Tester / Writer,codex,COMPLETE 2026-07-14T18:45:00-05:00,.agent/status/2026-07-14_AGENT-366.md,true,false,false,true,true,"Refreshed the forward-v1 final-gate state after completed Fluid reset/development API, mdot/temperature audit, Salt1 BC conflict resolution, and +/-5Q/hydraulic delta. Built scorecard-ready input contracts, blocker burndown, residual-attrib",Move completed row out of Active during next board cleanup.
AGENT-364,18,Thesis / Presentation / Writer,codex,COMPLETE 2026-07-14T18:18:00-05:00,.agent/status/2026-07-14_AGENT-364.md,true,false,false,true,true,"Created a tomorrow-facing PowerPoint outline with slide titles, bullets, figure recommendations, and speaker notes that separates admitted, diagnostic, predictive, calibrated, blocked, and pending evidence without stale blockers. STATUS: CO",Move completed row out of Active during next board cleanup.
AGENT-365,19,Thermal parity / Forward-pred / Implementer / Tester / Writer,codex,COMPLETE 2026-07-14T17:41:05-05:00,.agent/status/2026-07-14_AGENT-365.md,true,false,false,true,true,"Built the thesis-ready external-BC/source-contract and thermal-profile heat-release parity study for Salt2-4: 207 patch contract rows, 24 segment-equivalent rows, 15 leg heat-loss rows, 15 wall/profile-drive rows, 5 admission decisions, and",Move completed row out of Active during next board cleanup.
