time_s,TW1,TW10,TW11,TW2,TW3,TW4,TW5,TW6,TW7,TW8,TW9
0.0,451.5,451.5,451.5,451.5,451.5,451.5,451.5,451.5,451.5,451.5,451.5
1.0,451.45212775000005,450.7597215,451.16113774999997,451.44972325000003,451.49075,452.27322025,452.27096775,452.27160525,451.44862324999997,451.4539874999999,451.1600965
2.0,451.34391174999996,449.58409725,450.58713375,451.341536,451.43663349999997,453.3791015,453.3815195,453.38199199999997,451.34037025000003,451.34576975000004,450.58617025
3.0,451.249054,448.4156005,450.01610275,451.246695,451.389206,454.47040475,454.4852135,454.48551475,451.24548875000005,451.25091275,450.015127
4.0,451.164153,447.3066245,449.47031,451.1617715,451.34675899999996,455.50534575,455.53607875,455.53639775000005,451.16056625,451.16601249999997,449.469377
5.0,451.08671775,446.28523049999995,448.95486775,451.084329,451.30804475,456.46548275000004,456.5013315,456.5018785,451.08311225,451.08857875,448.95395299999996
6.0,451.01504924999995,445.38297575,448.47319650000003,451.012631,451.27221475000005,457.32383425,457.333356,457.3338965,451.01142575,451.01691125,448.47216249999997
7.0,450.94797475,444.61255224999996,448.03053650000004,450.94552825,451.23868475,458.03536775000003,458.01725650000003,458.01737225,450.9443325,450.949839,448.02931375
8.0,450.88465325,443.95330774999996,447.63264975000004,450.882167,451.20702800000004,458.61665175,458.58880375,458.58831499999997,450.8809905,450.88651899999996,447.631415
9.0,450.82446825,443.377627,447.2792275,450.82191525,451.1769385,459.12395000000004,459.09004474999995,459.08976025000004,450.82078225,450.82633525,447.27846025
10.0,450.76696024999995,442.85654724999995,446.96506250000004,450.76434975,451.14818525,459.594159,459.54957375000004,459.54994375,450.76324875,450.76882825,446.966479
11.0,450.71175925,442.37005375,446.68433025,450.70910749999996,451.120587,460.04408049999995,459.9828615,459.98365375000003,450.70801875,450.7136285,446.69174499999997
12.0,450.6585745,441.90850225,446.428263,450.65582725,451.0939915,460.47867025000005,460.39822399999997,460.39917449999996,450.65480049999996,450.66044350000004,446.44580525000003
13.0,450.6071732500001,441.4675135,446.1893675,450.60436025,451.0682845,460.896518,460.79789474999995,460.7988095,450.60336175000003,450.6090415,446.20543899999996
14.0,450.55736525,441.04571075,445.96329675,450.554475,451.04337075,461.2976315,461.18284174999997,461.18384349999997,450.55351275000004,450.55923175,445.92301975
15.0,450.50898624999996,440.63960799999995,445.7499775,450.50609175,451.019161,461.6820715,461.55533725,461.5564475,450.5050905,450.51084925,445.43087275
16.0,450.461905,440.244736,445.5527905,450.45906499999995,450.9955915,462.04442974999995,461.91856225000004,461.9198775,450.4579635,450.46376175,444.84354975
17.0,450.416002,439.85842525000004,445.37510449999996,450.4132265,450.9725985,462.3734435,462.27537550000005,462.27673275,450.41201249999995,450.41784925,444.25543475000006
