gate_id,applies_to,gate_type,current_status,evidence_path,pass_condition,fail_action
G1_agent_id_collision,AGENT-556_plus_followups,coordination,pass,.agent/BOARD.md,"AGENT-555 is already occupied; coordinator uses AGENT-556 and follow-ups use AGENT-557 through AGENT-561","do not reuse AGENT-555"
G2_external_fluid_completion,AGENT-557;AGENT-558,dependency,pass,../cfd-modeling-tools/.agent/BOARD.md,"impl-2026-07-20-fluid-umx1-tswfc2-smoke-followup is completed","if not completed, do not run Ethan-side Fluid score solves"
G3_tswfc2_execution_smoke,AGENT-557,scientific_precheck,pass,work_products/2026-07/2026-07-20/2026-07-20_tswfc2_smoke_scenario/summary.json,"Salt 2 four-node TSWFC2 smoke has accepted roots and nonzero ledgers","if failed, fix smoke only; no scorecard"
G4_runtime_input_legality,AGENT-557;AGENT-558,admission_guardrail,pending,next task runtime_input_audit.csv,"no CFD mdot, realized wallHeatFlux, imposed CFD cooler duty, realized test-section heat, or validation temperatures at runtime","stop and document runtime_leakage_no_admission"
G5_source_property_strict,AGENT-557;AGENT-561,admission_guardrail,pending,tools/agent/source_property_gate.py,"source_property_gate.py --strict passes for scorecard-like admission rows","stop and document source_property_gate_blocked"
G6_nominal_root_acceptance,AGENT-557,solver_guardrail,pending,next task root_status_by_case.csv,"all eligible train/nominal roots are accepted; missing adapter rows are explicit release gates","stop before grid expansion"
G7_coupled_thermal_shape,AGENT-557,admission_guardrail,pending,next task coupled_delta_vs_m3.csv,"candidate does not regress mdot, TP, TW, all-probe, or TW5/TW6 versus M3 and best prior wall/source candidate","not_admitted_no_grid_expansion"
G8_umx1_no_mdot_only_path,AGENT-558,admission_guardrail,pending,next task umx1_next_decision.json,"UMX1 decision considers TP/TW/all-probe gates and conservation, not only mdot","do not authorize UMX1 grid"
G9_no_compute_from_design_rows,AGENT-559;AGENT-560,scheduler_guardrail,pending,next task launch_or_no_launch_decision.json,"design/staging rows emit contracts only unless a separate compute row claims scheduler authority","record no_launch_from_this_row"
G10_blocker_register_evidence,AGENT-561,coordination,pending,next task blocker_status_review.csv,"blocker yml changes only when durable evidence satisfies blocker criteria","write no_update decision if evidence is insufficient"
