row_id,case_id,leg_id,span_or_section,leg_class,recirculation_scope,aggregate_RAF,aggregate_RMF,aggregate_SVF,ordinary_f6_excluded,ordinary_f6_exclusion_reason,allowed_pressure_use,source_paths
named_pressure:001,salt_2,lower_leg,lower_leg,blocked_missing_endpoint,not_evaluated_low_reverse_gate_required,,,,yes,raw_endpoint_pair_missing_or_not_attached_to_slot;same_qoi_mesh_time_uq_missing;not_ordinary_f6_slot,diagnostic_or_future_gate_only,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/source_overlap_flags.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_property_sensitivity/property_sensitivity_summary.csv;work_products/2026-07/2026-07-17/2026-07-17_f6_nonrecirculating_pressure_anchor_plan/named_pressure_anchor_slots.csv
named_pressure:002,salt_2,right_leg,right_leg,ordinary_straight_candidate,not_evaluated_low_reverse_gate_required,,,,yes,raw_endpoint_pair_missing_or_not_attached_to_slot;same_qoi_mesh_time_uq_missing,diagnostic_or_future_gate_only,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/source_overlap_flags.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_property_sensitivity/property_sensitivity_summary.csv;work_products/2026-07/2026-07-17/2026-07-17_f6_nonrecirculating_pressure_anchor_plan/named_pressure_anchor_slots.csv
named_pressure:003,salt_2,left_lower_leg,left_lower_leg,recirculating_non_upcomer_diagnostic,material_reverse_flow_excluded_from_ordinary_f6,,,,yes,raw_endpoint_pair_missing_or_not_attached_to_slot;same_qoi_mesh_time_uq_missing;material_reverse_flow;not_ordinary_f6_slot,diagnostic_or_future_gate_only,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/source_overlap_flags.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_property_sensitivity/property_sensitivity_summary.csv;work_products/2026-07/2026-07-17/2026-07-17_f6_nonrecirculating_pressure_anchor_plan/named_pressure_anchor_slots.csv
named_pressure:004,salt_2,test_section_span,test_section_span,ordinary_straight_candidate,not_evaluated_low_reverse_gate_required,,,,yes,raw_endpoint_pair_missing_or_not_attached_to_slot;same_qoi_mesh_time_uq_missing,diagnostic_or_future_gate_only,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/source_overlap_flags.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_property_sensitivity/property_sensitivity_summary.csv;work_products/2026-07/2026-07-17/2026-07-17_f6_nonrecirculating_pressure_anchor_plan/named_pressure_anchor_slots.csv
named_pressure:005,salt_2,left_upper_leg,left_upper_leg,recirculating_non_upcomer_diagnostic,material_reverse_flow_excluded_from_ordinary_f6,,,,yes,raw_endpoint_pair_missing_or_not_attached_to_slot;same_qoi_mesh_time_uq_missing;material_reverse_flow;not_ordinary_f6_slot,diagnostic_or_future_gate_only,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/source_overlap_flags.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_property_sensitivity/property_sensitivity_summary.csv;work_products/2026-07/2026-07-17/2026-07-17_f6_nonrecirculating_pressure_anchor_plan/named_pressure_anchor_slots.csv
named_pressure:006,salt_2,upper_leg,upper_leg,blocked_missing_endpoint,not_evaluated_low_reverse_gate_required,,,,yes,raw_endpoint_pair_missing_or_not_attached_to_slot;same_qoi_mesh_time_uq_missing;not_ordinary_f6_slot,diagnostic_or_future_gate_only,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/source_overlap_flags.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_property_sensitivity/property_sensitivity_summary.csv;work_products/2026-07/2026-07-17/2026-07-17_f6_nonrecirculating_pressure_anchor_plan/named_pressure_anchor_slots.csv
named_pressure:007,salt_3,lower_leg,lower_leg,blocked_missing_endpoint,not_evaluated_low_reverse_gate_required,,,,yes,raw_endpoint_pair_missing_or_not_attached_to_slot;same_qoi_mesh_time_uq_missing;not_ordinary_f6_slot,diagnostic_or_future_gate_only,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/source_overlap_flags.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_property_sensitivity/property_sensitivity_summary.csv;work_products/2026-07/2026-07-17/2026-07-17_f6_nonrecirculating_pressure_anchor_plan/named_pressure_anchor_slots.csv
named_pressure:008,salt_3,right_leg,right_leg,ordinary_straight_candidate,not_evaluated_low_reverse_gate_required,,,,yes,raw_endpoint_pair_missing_or_not_attached_to_slot;same_qoi_mesh_time_uq_missing,diagnostic_or_future_gate_only,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/source_overlap_flags.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_property_sensitivity/property_sensitivity_summary.csv;work_products/2026-07/2026-07-17/2026-07-17_f6_nonrecirculating_pressure_anchor_plan/named_pressure_anchor_slots.csv
named_pressure:009,salt_3,left_lower_leg,left_lower_leg,recirculating_non_upcomer_diagnostic,material_reverse_flow_excluded_from_ordinary_f6,,,,yes,raw_endpoint_pair_missing_or_not_attached_to_slot;same_qoi_mesh_time_uq_missing;material_reverse_flow;not_ordinary_f6_slot,diagnostic_or_future_gate_only,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/source_overlap_flags.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_property_sensitivity/property_sensitivity_summary.csv;work_products/2026-07/2026-07-17/2026-07-17_f6_nonrecirculating_pressure_anchor_plan/named_pressure_anchor_slots.csv
named_pressure:010,salt_3,test_section_span,test_section_span,ordinary_straight_candidate,not_evaluated_low_reverse_gate_required,,,,yes,raw_endpoint_pair_missing_or_not_attached_to_slot;same_qoi_mesh_time_uq_missing,diagnostic_or_future_gate_only,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/source_overlap_flags.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_property_sensitivity/property_sensitivity_summary.csv;work_products/2026-07/2026-07-17/2026-07-17_f6_nonrecirculating_pressure_anchor_plan/named_pressure_anchor_slots.csv
named_pressure:011,salt_3,left_upper_leg,left_upper_leg,recirculating_non_upcomer_diagnostic,material_reverse_flow_excluded_from_ordinary_f6,,,,yes,raw_endpoint_pair_missing_or_not_attached_to_slot;same_qoi_mesh_time_uq_missing;material_reverse_flow;not_ordinary_f6_slot,diagnostic_or_future_gate_only,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/source_overlap_flags.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_property_sensitivity/property_sensitivity_summary.csv;work_products/2026-07/2026-07-17/2026-07-17_f6_nonrecirculating_pressure_anchor_plan/named_pressure_anchor_slots.csv
