case_id,source_id,best_model_variant,leg,leg_label,model_source_W,model_hx_loss_W,model_ambient_loss_W,model_total_loss_W,model_net_to_fluid_W,cfd_imposed_source_W,cfd_imposed_loss_W,cfd_imposed_net_to_fluid_W,cfd_realized_source_W,cfd_realized_loss_W,cfd_realized_net_to_fluid_W,model_minus_cfd_realized_loss_W,model_minus_cfd_imposed_loss_W,model_minus_cfd_realized_net_W,loss_discrepancy_fraction_of_heater,heat_loss_bias,net_bias,priority,recommended_model_change,runtime_status,source_paths
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,F1_heater_only,lower_leg,heated lower leg,265.7,0.0,31.402091614,31.402091614,234.297908386,265.7,0.0,265.7,243.51909758,6.668141359,236.850956221,24.733950255,31.402091614,-2.553047835,0.093089764,model_over_loses_heat,model_over_loses_heat,medium,Separate heater realization from lower-leg passive loss. Current net heat can look close because heater over-input and ambient over-loss cancel; model heater efficiency/source contract and wall loss separately.,best_current_predictive_style_imposed_cooler_not_final_predictive_hx,work_products/2026-07/2026-07-13/2026-07-13_predictive_forward_v0_solve_case_confirmation/solve_case_full/forward_v0_segment_states.csv;work_products/2026-07/2026-07-13/2026-07-13_predictive_forward_v0_solve_case_confirmation/solve_case_full/forward_v0_results.csv;work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/section_heat_balance.csv
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,F1_heater_only,upcomer,upcomer and test-section leg,0.0,0.0,43.448189704,43.448189704,-43.448189704,37.0,0.0,37.0,0.0,25.760341231,-25.760341231,17.687848473,43.448189704,-17.687848473,0.066570751,model_over_loses_heat,model_over_loses_heat,medium,"Keep heater-only/test-section source policy as default, then reduce or remap upcomer external loss using wall-adjacent/external-boundary dictionaries rather than bulk-temperature ambient loss.",best_current_predictive_style_imposed_cooler_not_final_predictive_hx,work_products/2026-07/2026-07-13/2026-07-13_predictive_forward_v0_solve_case_confirmation/solve_case_full/forward_v0_segment_states.csv;work_products/2026-07/2026-07-13/2026-07-13_predictive_forward_v0_solve_case_confirmation/solve_case_full/forward_v0_results.csv;work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/section_heat_balance.csv
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,F1_heater_only,cooling_branch,upper cooling branch,0.0,136.351,20.956993341,157.307993341,-157.307993341,0.0,136.350739906,-136.350739906,0.0,148.718686808,-148.718686808,8.589306533,20.957253435,-8.589306533,0.032327085,model_over_loses_heat,model_over_loses_heat,medium,"Separate active HX/cooler duty from passive upper-leg wall loss. Replace imposed cooler duty with a setup-only UA/effectiveness model, and keep passive cooling-branch wall loss in the external-boundary lane.",best_current_predictive_style_imposed_cooler_not_final_predictive_hx,work_products/2026-07/2026-07-13/2026-07-13_predictive_forward_v0_solve_case_confirmation/solve_case_full/forward_v0_segment_states.csv;work_products/2026-07/2026-07-13/2026-07-13_predictive_forward_v0_solve_case_confirmation/solve_case_full/forward_v0_results.csv;work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/section_heat_balance.csv
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,F1_heater_only,downcomer,right downcomer,0.0,0.0,30.108256812,30.108256812,-30.108256812,0.0,0.0,0.0,0.0,23.117313813,-23.117313813,6.990942999,30.108256812,-6.990942999,0.026311415,model_over_loses_heat,model_over_loses_heat,low,Implement first-class external boundary h/Ta/Tsur/emissivity/layer handling with wall/shell drive; current bulk-driven ambient loss over-removes heat in the downcomer.,best_current_predictive_style_imposed_cooler_not_final_predictive_hx,work_products/2026-07/2026-07-13/2026-07-13_predictive_forward_v0_solve_case_confirmation/solve_case_full/forward_v0_segment_states.csv;work_products/2026-07/2026-07-13/2026-07-13_predictive_forward_v0_solve_case_confirmation/solve_case_full/forward_v0_results.csv;work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/section_heat_balance.csv
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,F1_heater_only,junction,junctions and horizontal connectors,0.0,0.0,3.434097578,3.434097578,-3.434097578,0.0,0.0,0.0,0.0,39.128349537,-39.128349537,-35.694251959,3.434097578,35.694251959,-0.134340429,model_under_loses_heat,model_under_loses_heat,high,Add junction/stub/horizontal-connector heat-loss coverage. Current 1D ambient model under-removes junction heat relative to CFD realized wallHeatFlux by the largest W margin.,best_current_predictive_style_imposed_cooler_not_final_predictive_hx,work_products/2026-07/2026-07-13/2026-07-13_predictive_forward_v0_solve_case_confirmation/solve_case_full/forward_v0_segment_states.csv;work_products/2026-07/2026-07-13/2026-07-13_predictive_forward_v0_solve_case_confirmation/solve_case_full/forward_v0_results.csv;work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/section_heat_balance.csv
salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,F1_heater_only,lower_leg,heated lower leg,297.5,0.0,35.714963377,35.714963377,261.785036623,297.5,0.0,297.5,273.15537485,7.327263296,265.828111554,28.387700081,35.714963377,-4.043074931,0.095420841,model_over_loses_heat,model_over_loses_heat,medium,Separate heater realization from lower-leg passive loss. Current net heat can look close because heater over-input and ambient over-loss cancel; model heater efficiency/source contract and wall loss separately.,best_current_predictive_style_imposed_cooler_not_final_predictive_hx,work_products/2026-07/2026-07-13/2026-07-13_predictive_forward_v0_solve_case_confirmation/solve_case_full/forward_v0_segment_states.csv;work_products/2026-07/2026-07-13/2026-07-13_predictive_forward_v0_solve_case_confirmation/solve_case_full/forward_v0_results.csv;work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/section_heat_balance.csv
salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,F1_heater_only,upcomer,upcomer and test-section leg,0.0,0.0,48.907717642,48.907717642,-48.907717642,37.0,0.0,37.0,0.0,32.618906683,-32.618906683,16.288810959,48.907717642,-16.288810959,0.054752306,model_over_loses_heat,model_over_loses_heat,medium,"Keep heater-only/test-section source policy as default, then reduce or remap upcomer external loss using wall-adjacent/external-boundary dictionaries rather than bulk-temperature ambient loss.",best_current_predictive_style_imposed_cooler_not_final_predictive_hx,work_products/2026-07/2026-07-13/2026-07-13_predictive_forward_v0_solve_case_confirmation/solve_case_full/forward_v0_segment_states.csv;work_products/2026-07/2026-07-13/2026-07-13_predictive_forward_v0_solve_case_confirmation/solve_case_full/forward_v0_results.csv;work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/section_heat_balance.csv
salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,F1_heater_only,cooling_branch,upper cooling branch,0.0,150.77,23.841772433,174.611772433,-174.611772433,0.0,150.769638673,-150.769638673,0.0,164.340347847,-164.340347847,10.271424586,23.84213376,-10.271424586,0.034525797,model_over_loses_heat,model_over_loses_heat,medium,"Separate active HX/cooler duty from passive upper-leg wall loss. Replace imposed cooler duty with a setup-only UA/effectiveness model, and keep passive cooling-branch wall loss in the external-boundary lane.",best_current_predictive_style_imposed_cooler_not_final_predictive_hx,work_products/2026-07/2026-07-13/2026-07-13_predictive_forward_v0_solve_case_confirmation/solve_case_full/forward_v0_segment_states.csv;work_products/2026-07/2026-07-13/2026-07-13_predictive_forward_v0_solve_case_confirmation/solve_case_full/forward_v0_results.csv;work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/section_heat_balance.csv
salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,F1_heater_only,downcomer,right downcomer,0.0,0.0,34.360241797,34.360241797,-34.360241797,0.0,0.0,0.0,0.0,25.347860491,-25.347860491,9.012381306,34.360241797,-9.012381306,0.030293719,model_over_loses_heat,model_over_loses_heat,medium,Implement first-class external boundary h/Ta/Tsur/emissivity/layer handling with wall/shell drive; current bulk-driven ambient loss over-removes heat in the downcomer.,best_current_predictive_style_imposed_cooler_not_final_predictive_hx,work_products/2026-07/2026-07-13/2026-07-13_predictive_forward_v0_solve_case_confirmation/solve_case_full/forward_v0_segment_states.csv;work_products/2026-07/2026-07-13/2026-07-13_predictive_forward_v0_solve_case_confirmation/solve_case_full/forward_v0_results.csv;work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/section_heat_balance.csv
salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,F1_heater_only,junction,junctions and horizontal connectors,0.0,0.0,3.905958837,3.905958837,-3.905958837,0.0,0.0,0.0,0.0,43.234690515,-43.234690515,-39.328731678,3.905958837,39.328731678,-0.132197417,model_under_loses_heat,model_under_loses_heat,high,Add junction/stub/horizontal-connector heat-loss coverage. Current 1D ambient model under-removes junction heat relative to CFD realized wallHeatFlux by the largest W margin.,best_current_predictive_style_imposed_cooler_not_final_predictive_hx,work_products/2026-07/2026-07-13/2026-07-13_predictive_forward_v0_solve_case_confirmation/solve_case_full/forward_v0_segment_states.csv;work_products/2026-07/2026-07-13/2026-07-13_predictive_forward_v0_solve_case_confirmation/solve_case_full/forward_v0_results.csv;work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/section_heat_balance.csv
