source_path,exists,use
work_products/2026-07/2026-07-22/2026-07-22_thesis_study_recirculation_fraction_onset_evidence_packet/recirculation_onset_metric_table.csv,true,read_only_evidence_for_dry_switch_contract
work_products/2026-07/2026-07-22/2026-07-22_thesis_study_recirculation_fraction_onset_evidence_packet/evidence_availability_gate.csv,true,read_only_evidence_for_dry_switch_contract
work_products/2026-07/2026-07-22/2026-07-22_thesis_study_recirculation_fraction_onset_evidence_packet/summary.json,true,read_only_evidence_for_dry_switch_contract
work_products/2026-07/2026-07-22/2026-07-22_mf09_recirculating_upcomer_thermal_model_alternatives/ordinary_upcomer_disable_gate.csv,true,read_only_evidence_for_dry_switch_contract
work_products/2026-07/2026-07-22/2026-07-22_mf09_recirculating_upcomer_thermal_model_alternatives/summary.json,true,read_only_evidence_for_dry_switch_contract
work_products/2026-07/2026-07-22/2026-07-22_1d_regime_map_nondimensional_closure_eligibility/closure_eligibility_decisions.csv,true,read_only_evidence_for_dry_switch_contract
work_products/2026-07/2026-07-22/2026-07-22_1d_model_hierarchy_ablation_ladder_packet/model_hierarchy_ladder.csv,true,read_only_evidence_for_dry_switch_contract
work_products/2026-07/2026-07-22/2026-07-22_pressure_low_recirc_nonrecirc_anchor_inventory/summary.json,true,read_only_evidence_for_dry_switch_contract
work_products/2026-07/2026-07-22/2026-07-22_thesis_study_s12_thermal_source_property_freeze_gate/source_property_atlas.csv,true,read_only_evidence_for_dry_switch_contract
work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_medium_fine_exact_label_sampler/RUNNING.md,true,read_only_evidence_for_dry_switch_contract
work_products/2026-07/2026-07-21/2026-07-21_litrev_throughflow_recirc_exchange_cell/switching_model_selection_contract.csv,true,read_only_evidence_for_dry_switch_contract
work_products/2026-07/2026-07-21/2026-07-21_litrev_throughflow_recirc_exchange_cell/model_interface_contract.csv,true,read_only_evidence_for_dry_switch_contract
