case_id,scenario_id,radiation_rows,active_radiating_area_m2,sum_q_radiation_W,energy_lane,external_convection_lane_status,storage_or_residual_absorption,admission_status
salt_2,surface_equals_surroundings,5,0.205362370,0.000000000,external_radiation,separate_lane_not_combined_in_this_package,forbidden,sensitivity_only_no_fit_no_admission
salt_2,surface_minus_10K,5,0.205362370,-11.270037237,external_radiation,separate_lane_not_combined_in_this_package,forbidden,sensitivity_only_no_fit_no_admission
salt_2,surface_plus_10K,5,0.205362370,12.458573553,external_radiation,separate_lane_not_combined_in_this_package,forbidden,sensitivity_only_no_fit_no_admission
salt_2,surface_plus_25K,5,0.205362370,33.552334499,external_radiation,separate_lane_not_combined_in_this_package,forbidden,sensitivity_only_no_fit_no_admission
salt_2,surface_plus_50K,5,0.205362370,75.833315992,external_radiation,separate_lane_not_combined_in_this_package,forbidden,sensitivity_only_no_fit_no_admission
salt_3,surface_equals_surroundings,5,0.205362372,0.000000000,external_radiation,separate_lane_not_combined_in_this_package,forbidden,sensitivity_only_no_fit_no_admission
salt_3,surface_minus_10K,5,0.205362372,-11.339120427,external_radiation,separate_lane_not_combined_in_this_package,forbidden,sensitivity_only_no_fit_no_admission
salt_3,surface_plus_10K,5,0.205362372,12.532427664,external_radiation,separate_lane_not_combined_in_this_package,forbidden,sensitivity_only_no_fit_no_admission
salt_3,surface_plus_25K,5,0.205362372,33.746263721,external_radiation,separate_lane_not_combined_in_this_package,forbidden,sensitivity_only_no_fit_no_admission
salt_3,surface_plus_50K,5,0.205362372,76.253481770,external_radiation,separate_lane_not_combined_in_this_package,forbidden,sensitivity_only_no_fit_no_admission
salt_4,surface_equals_surroundings,5,0.205362372,0.000000000,external_radiation,separate_lane_not_combined_in_this_package,forbidden,sensitivity_only_no_fit_no_admission
salt_4,surface_minus_10K,5,0.205362372,-11.359900268,external_radiation,separate_lane_not_combined_in_this_package,forbidden,sensitivity_only_no_fit_no_admission
salt_4,surface_plus_10K,5,0.205362372,12.554640642,external_radiation,separate_lane_not_combined_in_this_package,forbidden,sensitivity_only_no_fit_no_admission
salt_4,surface_plus_25K,5,0.205362372,33.804587837,external_radiation,separate_lane_not_combined_in_this_package,forbidden,sensitivity_only_no_fit_no_admission
salt_4,surface_plus_50K,5,0.205362372,76.379833828,external_radiation,separate_lane_not_combined_in_this_package,forbidden,sensitivity_only_no_fit_no_admission
