output_field,field_group,dtype,units,source_fields,method_contract,status_in_current_sampler,same_window_required,missing_behavior,admission_use_now,predictive_runtime_input,residual_policy
reverse_area_fraction,local_reverse_flow,float,dimensionless,U;face_area;plane_normal,fraction of sampled upcomer plane area with velocity opposite same-window net throughflow direction,implemented_for_plane_metrics,true,emit_missing_status_and_block_fit_score_admission,diagnostic_only,false,do_not_hide_heat_residual_in_internal_Nu
reverse_mass_fraction,local_reverse_flow,float,dimensionless,U;rho;face_area;plane_normal,reverse directed mass flux divided by absolute same-plane mass flux,partially_implemented_as_recirculation_intensity_proxy,true,emit_missing_status_and_block_fit_score_admission,diagnostic_only,false,do_not_hide_heat_residual_in_internal_Nu
secondary_flow_intensity,local_reverse_flow,float,dimensionless,U;plane_normal,transverse velocity magnitude normalized by local velocity magnitude on the same sampled plane,available_in_existing_proxy_artifacts_not_current_script_output_name,true,emit_missing_status_and_block_fit_score_admission,diagnostic_only,false,do_not_hide_heat_residual_in_internal_Nu
V_recirc_m3,recirculation_volume,float,m3,U;cell_volume;cell_center;upcomer_region_mask,sum volumes in the connected upcomer reverse-flow cell mask for the same case/time window,not_implemented,true,emit_missing_status_and_block_fit_score_admission,diagnostic_only,false,do_not_hide_heat_residual_in_internal_Nu
mdot_exchange_kg_s,exchange_rate,float,kg/s,U;rho;interface_area;interface_normal;recirculation_mask,conservative flux across the main-throughflow/recirculation-cell interface with sign convention recorded,not_implemented,true,emit_missing_status_and_block_fit_score_admission,diagnostic_only,false,do_not_hide_heat_residual_in_internal_Nu
tau_recirc_s,exchange_rate,float,s,V_recirc_m3;rho_recirc_kg_m3;mdot_exchange_kg_s,rho_recirc times V_recirc divided by positive exchange mass rate,not_implemented,true,emit_missing_status_and_block_fit_score_admission,diagnostic_only,false,do_not_hide_heat_residual_in_internal_Nu
T_main_K,thermal_state,float,K,T;rho;Cp;main_throughflow_mask,enthalpy-weighted main-throughflow temperature in the same window as exchange rate,not_implemented,true,emit_missing_status_and_block_fit_score_admission,diagnostic_only,false,do_not_hide_heat_residual_in_internal_Nu
T_recirc_K,thermal_state,float,K,T;rho;Cp;recirculation_mask,enthalpy-weighted recirculation-cell temperature in the same window as exchange rate,not_implemented,true,emit_missing_status_and_block_fit_score_admission,diagnostic_only,false,do_not_hide_heat_residual_in_internal_Nu
wall_core_delta_T_K,thermal_state,float,K,T;wall_distance_or_wall_patch_mask;core_mask,same-window wall-adjacent minus core representative temperature difference with masks recorded,not_implemented,true,emit_missing_status_and_block_fit_score_admission,diagnostic_only,false,do_not_hide_heat_residual_in_internal_Nu
pressure_residual_Pa,pressure_basis,float,Pa,p;p_rgh;rho;g;station_geometry;Delta_p_straight_Pa;Delta_p_dev_Pa,same-window upcomer pressure residual after hydrostatic and straight-development subtraction,not_implemented,true,emit_missing_status_and_block_fit_score_admission,diagnostic_only,false,do_not_hide_heat_residual_in_internal_Nu
pressure_basis_status,pressure_basis,string,status,p;p_rgh;sign_convention;station_geometry,"records static/p_rgh availability, pressure sign basis, and whether subtraction terms are complete",not_implemented,true,emit_missing_status_and_block_fit_score_admission,diagnostic_only,false,do_not_hide_heat_residual_in_internal_Nu
Q_wall_W,wall_source_terms,float,W,wall_boundary_heat_rate_or_diagnostic_heat_ledger,diagnostic wall heat contribution kept separate from internal Nu and runtime prediction inputs,not_implemented,true,emit_missing_status_and_block_fit_score_admission,diagnostic_only,false,do_not_hide_heat_residual_in_internal_Nu
Q_source_W,wall_source_terms,float,W,source_term_ledger,same-window source contribution for thermal residual accounting,not_implemented,true,emit_missing_status_and_block_fit_score_admission,diagnostic_only,false,do_not_hide_heat_residual_in_internal_Nu
Q_sink_W,wall_source_terms,float,W,sink_term_ledger,same-window sink contribution for thermal residual accounting,not_implemented,true,emit_missing_status_and_block_fit_score_admission,diagnostic_only,false,do_not_hide_heat_residual_in_internal_Nu
energy_residual_W,wall_source_terms,float,W,enthalpy_flow_terms;Q_wall_W;Q_source_W;Q_sink_W,"diagnostic energy residual retained as a residual lane, not folded into internal Nu",not_implemented,true,emit_missing_status_and_block_fit_score_admission,diagnostic_only,false,do_not_hide_heat_residual_in_internal_Nu
same_qoi_uq_status,same_qoi_uq,string,status,mesh_uq_table;time_uq_table;output_field;case_id;time_window_s,records whether same-label same-formula same-window uncertainty exists for the emitted QOI,not_implemented_hook_only,true,emit_missing_status_and_block_fit_score_admission,diagnostic_only,false,do_not_hide_heat_residual_in_internal_Nu
runtime_use_policy,runtime_and_admission_guard,string,policy,split_policy;source_use_category,marks extracted CFD values diagnostic/training evidence only and forbids predictive runtime leakage,not_implemented,true,emit_missing_status_and_block_fit_score_admission,diagnostic_only,false,do_not_hide_heat_residual_in_internal_Nu
