case_id,mesh_level,branch,retained_time_s,same_qoi_family_member_times,time_uq_status,admission_use
salt_2,coarse,right_leg,7915,7915,missing_no_same_qoi_neighbor_windows,forbidden_until_endpoint_faces_sampled_at_family_times
salt_2,coarse,test_section_span,7915,7915,missing_no_same_qoi_neighbor_windows,forbidden_until_endpoint_faces_sampled_at_family_times
salt_3,coarse,right_leg,7618,7618,missing_no_same_qoi_neighbor_windows,forbidden_until_endpoint_faces_sampled_at_family_times
salt_3,coarse,test_section_span,7618,7618,missing_no_same_qoi_neighbor_windows,forbidden_until_endpoint_faces_sampled_at_family_times
salt_4,coarse,right_leg,10000,10000,missing_no_same_qoi_neighbor_windows,forbidden_until_endpoint_faces_sampled_at_family_times
salt_4,coarse,test_section_span,10000,10000,missing_no_same_qoi_neighbor_windows,forbidden_until_endpoint_faces_sampled_at_family_times
salt_2,medium,right_leg,518,517;518,missing_no_same_qoi_neighbor_windows,forbidden_until_endpoint_faces_sampled_at_family_times
salt_2,medium,test_section_span,518,517;518,missing_no_same_qoi_neighbor_windows,forbidden_until_endpoint_faces_sampled_at_family_times
salt_2,fine,right_leg,399,398;399,missing_no_same_qoi_neighbor_windows,forbidden_until_endpoint_faces_sampled_at_family_times
salt_2,fine,test_section_span,399,398;399,missing_no_same_qoi_neighbor_windows,forbidden_until_endpoint_faces_sampled_at_family_times
