source_id,case_id,span,property_mode,T_basis_K,rho_kg_m3,mu_pa_s,cp_jkgk,k_w_mk,Re,Re_ratio_to_replication,Pr,Pr_ratio_to_replication,Gz,Gz_ratio_to_replication,buoyancy_head_proxy_pa,buoyancy_head_ratio_to_replication,pressure_residual_proxy_pa,pressure_residual_ratio_to_replication,heat_residual_W,heat_residual_ratio_to_replication,model_form_admission_flag,source_status,provenance_author_title,quality_flags
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,lower_leg,replication_reis_jadyn,444.553,1960.3186,0.012528535,2421.2364,0.54051254,46.99634,1,56.121814,1,161.28777,1,5.2184004,1,0,,-51.5096,1,property_mode_reported_no_closure_fit,replication_plus_measured_k_candidate,"Reis, Seo, and Hassan, Molten Salt Flow Visualization to Characterize Boundary Layer Behavior and Heat Transfer in a Natural Circulation Loop; Santini et al., Measurement of Thermal Conductivity of Molten Salts in the Range 100-500 C",first_order_property_reduction_no_full_1d_rerun;thermal_residual_from_existing_package
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,lower_leg,sohal_janz_full,444.553,1960.3186,0.012528535,2421.2364,0.5,46.99634,1,60.669088,1.0810251,174.35612,1.0810251,5.2184004,1,0,,-51.5096,1,property_mode_reported_no_closure_fit,source_supported_sensitivity_k_screening,"Sohal et al., Engineering Database of Liquid Salt Thermophysical and Thermochemical Properties; Janz et al., Molten Salts data compilations",first_order_property_reduction_no_full_1d_rerun;thermal_residual_from_existing_package
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,lower_leg,jin_viscosity_parida_cp_santini_k,444.553,1960.3186,0.0096280363,1423.5,0.54051254,61.154243,1.3012554,25.356506,0.45181195,94.82475,0.58792276,5.2184004,1,0,,-51.5096,1,property_sensitivity_material_closure_fit_blocked,updated_candidate_sensitivity,"Jin et al., Accurate Viscosity Measurement of Nitrates/Nitrites Salts for Concentrated Solar Power; Parida and Basu, On the Specific Heat Capacity of HITEC-Salt Nanocomposites for Concentrated Solar Power Applications; Santini et al., Measurement of Thermal Conductivity of Molten Salts in the Range 100-500 C",first_order_property_reduction_no_full_1d_rerun;thermal_residual_from_existing_package
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,lower_leg,jin_viscosity_cp_1560_k_060,444.553,1960.3186,0.0096280363,1560,0.6,61.154243,1.3012554,25.032894,0.44604571,93.614551,0.58041941,5.2184004,1,0,,-51.5096,1,property_sensitivity_material_closure_fit_blocked,historical_constant_cp_k_sensitivity,"Jin et al., Accurate Viscosity Measurement of Nitrates/Nitrites Salts for Concentrated Solar Power; Hoffman and Cohen, Fused Salt Heat Transfer Part III: Forced-Convection Heat Transfer in Circular Tubes Containing NaNO2-KNO3-NaNO3",first_order_property_reduction_no_full_1d_rerun;thermal_residual_from_existing_package
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,lower_leg,shen_celsius_comparison,444.553,1960.3186,0.0096280363,1523.2895,0.61798322,61.154243,1.3012554,23.732501,0.4228748,88.751519,0.55026813,5.2184004,1,0,,-51.5096,1,property_sensitivity_material_closure_fit_blocked,clean_celsius_basis_comparison,"Shen et al., Convective Heat Transfer of Molten Salt in Receiver Tube with Axially and Circumferentially Non-Uniform Heat Flux; Jin et al., Accurate Viscosity Measurement of Nitrates/Nitrites Salts for Concentrated Solar Power",first_order_property_reduction_no_full_1d_rerun;thermal_residual_from_existing_package
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,right_leg,replication_reis_jadyn,451.563,1955.0632,0.011339674,2390.7853,0.54180088,51.911303,1,50.038173,1,154.92502,1,1.4832609,1,0,,-109.988,1,property_mode_reported_no_closure_fit,replication_plus_measured_k_candidate,"Reis, Seo, and Hassan, Molten Salt Flow Visualization to Characterize Boundary Layer Behavior and Heat Transfer in a Natural Circulation Loop; Santini et al., Measurement of Thermal Conductivity of Molten Salts in the Range 100-500 C",first_order_property_reduction_no_full_1d_rerun;thermal_residual_from_existing_package
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,right_leg,sohal_janz_full,451.563,1955.0632,0.011339674,2390.7853,0.5,51.911303,1,54.221452,1.0836018,167.87702,1.0836018,1.4832609,1,0,,-109.988,1,property_mode_reported_no_closure_fit,source_supported_sensitivity_k_screening,"Sohal et al., Engineering Database of Liquid Salt Thermophysical and Thermochemical Properties; Janz et al., Molten Salts data compilations",first_order_property_reduction_no_full_1d_rerun;thermal_residual_from_existing_package
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,right_leg,jin_viscosity_parida_cp_santini_k,451.563,1955.0632,0.0087697975,1423.5,0.54180088,67.123245,1.2930372,23.041319,0.46047482,92.24407,0.59541106,1.4832609,1,0,,-109.988,1,property_sensitivity_material_closure_fit_blocked,updated_candidate_sensitivity,"Jin et al., Accurate Viscosity Measurement of Nitrates/Nitrites Salts for Concentrated Solar Power; Parida and Basu, On the Specific Heat Capacity of HITEC-Salt Nanocomposites for Concentrated Solar Power Applications; Santini et al., Measurement of Thermal Conductivity of Molten Salts in the Range 100-500 C",first_order_property_reduction_no_full_1d_rerun;thermal_residual_from_existing_package
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,right_leg,jin_viscosity_cp_1560_k_060,451.563,1955.0632,0.0087697975,1560,0.6,67.123245,1.2930372,22.801473,0.45568157,91.283869,0.58921321,1.4832609,1,0,,-109.988,1,property_sensitivity_material_closure_fit_blocked,historical_constant_cp_k_sensitivity,"Jin et al., Accurate Viscosity Measurement of Nitrates/Nitrites Salts for Concentrated Solar Power; Hoffman and Cohen, Fused Salt Heat Transfer Part III: Forced-Convection Heat Transfer in Circular Tubes Containing NaNO2-KNO3-NaNO3",first_order_property_reduction_no_full_1d_rerun;thermal_residual_from_existing_package
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,right_leg,shen_celsius_comparison,451.563,1955.0632,0.0087697975,1522.238,0.61475161,67.123245,1.2930372,21.715632,0.4339813,86.936788,0.56115396,1.4832609,1,0,,-109.988,1,property_sensitivity_material_closure_fit_blocked,clean_celsius_basis_comparison,"Shen et al., Convective Heat Transfer of Molten Salt in Receiver Tube with Axially and Circumferentially Non-Uniform Heat Flux; Jin et al., Accurate Viscosity Measurement of Nitrates/Nitrites Salts for Concentrated Solar Power",first_order_property_reduction_no_full_1d_rerun;thermal_residual_from_existing_package
