source_id,case_id,case_family,source_owner,source_root,runtime_root,postprocessing_root,postprocessing_exists,parsed_tidy_rows,profile_time_dirs_seen,profile_files_seen,profile_mode,terminal_rows_per_file,profile_time_dirs_parsed,missing_function_objects,native_solver_output_mutated,registry_or_admission_mutated
val_salt_test_2_coarse_mesh_laminar,salt_test_2,salt2,native_2d_cfd_external,/scratch/09748/andresfierro231/projects_scratch/val_salt_test_2_coarse_mesh_laminar,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/salt2/2026-06-01_continuation_candidate/case_stage/val_salt_test_2_coarse_mesh_laminar_continuation,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/salt2/2026-06-01_continuation_candidate/case_stage/val_salt_test_2_coarse_mesh_laminar_continuation/postProcessing,true,122300,8603,51618,latest,500,1,,false,false
viscosity_screening_salt_test_1_jin_coarse_mesh,salt_test_1_jin,salt1,ethan_modern_runs_staged,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_1_jin_coarse_mesh,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_1_jin_coarse_mesh,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_1_jin_coarse_mesh/postProcessing,true,42300,3231,19386,latest,500,1,,false,false
viscosity_screening_salt_test_1_kirst_coarse_mesh,salt_test_1_kirst,salt1,ethan_modern_runs_staged,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_1_kirst_coarse_mesh,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_1_kirst_coarse_mesh,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_1_kirst_coarse_mesh/postProcessing,true,42300,3281,19686,latest,500,1,,false,false
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_test_2_jin,salt2,ethan_modern_runs_staged,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_2_jin_coarse_mesh,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_2_jin_coarse_mesh,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_2_jin_coarse_mesh/postProcessing,true,42300,2433,14598,latest,500,1,,false,false
viscosity_screening_salt_test_2_kirst_coarse_mesh,salt_test_2_kirst,salt2,ethan_modern_runs_staged,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_2_kirst_coarse_mesh,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_2_kirst_coarse_mesh,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_2_kirst_coarse_mesh/postProcessing,true,42300,588,3528,latest,500,1,,false,false
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_test_3_jin,salt3,ethan_modern_runs_staged,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_3_jin_coarse_mesh,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_3_jin_coarse_mesh,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_3_jin_coarse_mesh/postProcessing,true,42300,2516,15096,latest,500,1,,false,false
viscosity_screening_salt_test_3_kirst_coarse_mesh,salt_test_3_kirst,salt3,ethan_modern_runs_staged,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_3_kirst_coarse_mesh,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_3_kirst_coarse_mesh,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_3_kirst_coarse_mesh/postProcessing,true,42300,3299,19794,latest,500,1,,false,false
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_test_4_jin,salt4,ethan_modern_runs_staged,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_4_jin_coarse_mesh,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_4_jin_coarse_mesh,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_4_jin_coarse_mesh/postProcessing,true,42300,2084,12504,latest,500,1,,false,false
viscosity_screening_salt_test_4_kirst_coarse_mesh,salt_test_4_kirst,salt4,ethan_modern_runs_staged,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_4_kirst_coarse_mesh,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_4_kirst_coarse_mesh,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_4_kirst_coarse_mesh/postProcessing,true,42300,2985,17910,latest,500,1,,false,false
salt1_jin_lo10q_corrected,salt_test_1_jin_corrected_q_lo10q,salt1,corrected_salt_q_sensitivity,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/postProcessing,true,82300,4261,25566,latest,500,1,,false,false
