comparison_id,basis,case_family,left_source_id,right_source_id,quantity,left_value,right_value,delta,delta_pct,unit,admissibility_role,model_form_use
nominal_jin_sequence:viscosity_screening_salt_test_1_jin_coarse_mesh->viscosity_screening_salt_test_2_jin_coarse_mesh:total_Q_postProc_W,nominal_jin_sequence,salt1,viscosity_screening_salt_test_1_jin_coarse_mesh,viscosity_screening_salt_test_2_jin_coarse_mesh,total_Q_postProc_W,-9.4561,0.362005,9.818105,103.828269583,W,diagnostic_only_forbidden_runtime_input,"thermal source/sink imbalance, passive-loss diagnosis, heat-flow UQ support"
nominal_jin_sequence:viscosity_screening_salt_test_1_jin_coarse_mesh->viscosity_screening_salt_test_2_jin_coarse_mesh:mdot_kg_s,nominal_jin_sequence,salt1,viscosity_screening_salt_test_1_jin_coarse_mesh,viscosity_screening_salt_test_2_jin_coarse_mesh,mdot_kg_s,0.0112647880625,0.01316160563,0.0018968175675,16.8384665293,kg/s,diagnostic_only_forbidden_runtime_input,"hydraulic stability, recirculation/profile-shape comparison, source-family error support"
nominal_jin_sequence:viscosity_screening_salt_test_1_jin_coarse_mesh->viscosity_screening_salt_test_2_jin_coarse_mesh:temperature_station_avg_K,nominal_jin_sequence,salt1,viscosity_screening_salt_test_1_jin_coarse_mesh,viscosity_screening_salt_test_2_jin_coarse_mesh,temperature_station_avg_K,429.151230667,447.902339333,18.751108666,4.36934752275,K,diagnostic_only_forbidden_runtime_input,"thermal drift, TP/TW residual shape, wall/core contrast diagnosis"
nominal_jin_sequence:viscosity_screening_salt_test_1_jin_coarse_mesh->viscosity_screening_salt_test_2_jin_coarse_mesh:magU_m_s,nominal_jin_sequence,salt1,viscosity_screening_salt_test_1_jin_coarse_mesh,viscosity_screening_salt_test_2_jin_coarse_mesh,magU_m_s,0.01683624265,0.02262535199,0.00578910934,34.3848058046,m/s,comparison_or_uq_support,"hydraulic stability, recirculation/profile-shape comparison, source-family error support"
nominal_jin_sequence:viscosity_screening_salt_test_1_jin_coarse_mesh->viscosity_screening_salt_test_2_jin_coarse_mesh:avg_yplus,nominal_jin_sequence,salt1,viscosity_screening_salt_test_1_jin_coarse_mesh,viscosity_screening_salt_test_2_jin_coarse_mesh,avg_yplus,0.491771038148,0.622607611264,0.130836573116,26.6051806567,,comparison_or_uq_support,mesh/wall-resolution adequacy support
nominal_jin_sequence:viscosity_screening_salt_test_2_jin_coarse_mesh->viscosity_screening_salt_test_3_jin_coarse_mesh:total_Q_postProc_W,nominal_jin_sequence,salt2,viscosity_screening_salt_test_2_jin_coarse_mesh,viscosity_screening_salt_test_3_jin_coarse_mesh,total_Q_postProc_W,0.362005,0.972496,0.610491,168.641593348,W,diagnostic_only_forbidden_runtime_input,"thermal source/sink imbalance, passive-loss diagnosis, heat-flow UQ support"
nominal_jin_sequence:viscosity_screening_salt_test_2_jin_coarse_mesh->viscosity_screening_salt_test_3_jin_coarse_mesh:mdot_kg_s,nominal_jin_sequence,salt2,viscosity_screening_salt_test_2_jin_coarse_mesh,viscosity_screening_salt_test_3_jin_coarse_mesh,mdot_kg_s,0.01316160563,0.0149255091125,0.0017639034825,13.4018867613,kg/s,diagnostic_only_forbidden_runtime_input,"hydraulic stability, recirculation/profile-shape comparison, source-family error support"
nominal_jin_sequence:viscosity_screening_salt_test_2_jin_coarse_mesh->viscosity_screening_salt_test_3_jin_coarse_mesh:temperature_station_avg_K,nominal_jin_sequence,salt2,viscosity_screening_salt_test_2_jin_coarse_mesh,viscosity_screening_salt_test_3_jin_coarse_mesh,temperature_station_avg_K,447.902339333,461.266480333,13.364141,2.98371761574,K,diagnostic_only_forbidden_runtime_input,"thermal drift, TP/TW residual shape, wall/core contrast diagnosis"
nominal_jin_sequence:viscosity_screening_salt_test_2_jin_coarse_mesh->viscosity_screening_salt_test_3_jin_coarse_mesh:magU_m_s,nominal_jin_sequence,salt2,viscosity_screening_salt_test_2_jin_coarse_mesh,viscosity_screening_salt_test_3_jin_coarse_mesh,magU_m_s,0.02262535199,0.02809688538,0.00547153339,24.1831967627,m/s,comparison_or_uq_support,"hydraulic stability, recirculation/profile-shape comparison, source-family error support"
nominal_jin_sequence:viscosity_screening_salt_test_2_jin_coarse_mesh->viscosity_screening_salt_test_3_jin_coarse_mesh:avg_yplus,nominal_jin_sequence,salt2,viscosity_screening_salt_test_2_jin_coarse_mesh,viscosity_screening_salt_test_3_jin_coarse_mesh,avg_yplus,0.622607611264,0.728932879021,0.106325267757,17.0774121346,,comparison_or_uq_support,mesh/wall-resolution adequacy support
nominal_jin_sequence:viscosity_screening_salt_test_3_jin_coarse_mesh->viscosity_screening_salt_test_4_jin_coarse_mesh:total_Q_postProc_W,nominal_jin_sequence,salt3,viscosity_screening_salt_test_3_jin_coarse_mesh,viscosity_screening_salt_test_4_jin_coarse_mesh,total_Q_postProc_W,0.972496,0.37241,-0.600086,-61.7057550879,W,diagnostic_only_forbidden_runtime_input,"thermal source/sink imbalance, passive-loss diagnosis, heat-flow UQ support"
nominal_jin_sequence:viscosity_screening_salt_test_3_jin_coarse_mesh->viscosity_screening_salt_test_4_jin_coarse_mesh:mdot_kg_s,nominal_jin_sequence,salt3,viscosity_screening_salt_test_3_jin_coarse_mesh,viscosity_screening_salt_test_4_jin_coarse_mesh,mdot_kg_s,0.0149255091125,0.016985141185,0.0020596320725,13.7994091657,kg/s,diagnostic_only_forbidden_runtime_input,"hydraulic stability, recirculation/profile-shape comparison, source-family error support"
nominal_jin_sequence:viscosity_screening_salt_test_3_jin_coarse_mesh->viscosity_screening_salt_test_4_jin_coarse_mesh:temperature_station_avg_K,nominal_jin_sequence,salt3,viscosity_screening_salt_test_3_jin_coarse_mesh,viscosity_screening_salt_test_4_jin_coarse_mesh,temperature_station_avg_K,461.266480333,477.379633333,16.113153,3.49324169152,K,diagnostic_only_forbidden_runtime_input,"thermal drift, TP/TW residual shape, wall/core contrast diagnosis"
nominal_jin_sequence:viscosity_screening_salt_test_3_jin_coarse_mesh->viscosity_screening_salt_test_4_jin_coarse_mesh:magU_m_s,nominal_jin_sequence,salt3,viscosity_screening_salt_test_3_jin_coarse_mesh,viscosity_screening_salt_test_4_jin_coarse_mesh,magU_m_s,0.02809688538,0.03336776152,0.00527087614,18.7596456643,m/s,comparison_or_uq_support,"hydraulic stability, recirculation/profile-shape comparison, source-family error support"
