case_id,source_id,validation_split_role,best_model_variant,leg,leg_label,model_total_loss_W,model_ambient_loss_W,model_hx_loss_W,cfd_realized_loss_W,cfd_imposed_loss_W,model_minus_cfd_realized_loss_W,loss_discrepancy_fraction_of_heater,heat_loss_bias,likely_root_cause,required_1d_model_change,evidence_class,runtime_status,source_paths
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,train,F1_heater_only,lower_leg,heated lower leg,31.402091614,31.402091614,0.0,6.668141359,0.0,24.733950255,0.093089764,model_over_loses_heat,heater_realization_and_lower_leg_wall_loss_are_coupled,Separate heater realization from lower-leg passive loss. Current net heat can look close because heater over-input and ambient over-loss cancel; model heater efficiency/source contract and wall loss separately.,diagnostic_model_form_heat_loss_placement,best_current_predictive_style_imposed_cooler_not_final_predictive_hx,work_products/2026-07/2026-07-14/2026-07-14_best_predictive_heat_loss_discrepancy/best_predictive_leg_heat_loss_discrepancy.csv;work_products/2026-07/2026-07-13/2026-07-13_predictive_external_bc_implementation_wave/cfd_external_boundary_dictionary.csv;work_products/2026-07/2026-07-13/2026-07-13_wall_layer_drive_mapping/external_bc_drive_table.csv
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,train,F1_heater_only,upcomer,upcomer and test-section leg,43.448189704,43.448189704,0.0,25.760341231,0.0,17.687848473,0.066570751,model_over_loses_heat,bulk_temperature_external_loss_drive_too_hot_for_stratified_wall_adjacent_flow,"Keep heater-only/test-section source policy as default, then reduce or remap upcomer external loss using wall-adjacent/external-boundary dictionaries rather than bulk-temperature ambient loss.",diagnostic_model_form_heat_loss_placement,best_current_predictive_style_imposed_cooler_not_final_predictive_hx,work_products/2026-07/2026-07-14/2026-07-14_best_predictive_heat_loss_discrepancy/best_predictive_leg_heat_loss_discrepancy.csv;work_products/2026-07/2026-07-13/2026-07-13_predictive_external_bc_implementation_wave/cfd_external_boundary_dictionary.csv;work_products/2026-07/2026-07-13/2026-07-13_wall_layer_drive_mapping/external_bc_drive_table.csv
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,train,F1_heater_only,cooling_branch,upper cooling branch,157.307993341,20.956993341,136.351,148.718686808,136.350739906,8.589306533,0.032327085,model_over_loses_heat,active_hx_sink_and_passive_upper_leg_loss_are_not_separated,"Separate active HX/cooler duty from passive upper-leg wall loss. Replace imposed cooler duty with a setup-only UA/effectiveness model, and keep passive cooling-branch wall loss in the external-boundary lane.",diagnostic_model_form_heat_loss_placement,best_current_predictive_style_imposed_cooler_not_final_predictive_hx,work_products/2026-07/2026-07-14/2026-07-14_best_predictive_heat_loss_discrepancy/best_predictive_leg_heat_loss_discrepancy.csv;work_products/2026-07/2026-07-13/2026-07-13_predictive_external_bc_implementation_wave/cfd_external_boundary_dictionary.csv;work_products/2026-07/2026-07-13/2026-07-13_wall_layer_drive_mapping/external_bc_drive_table.csv
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,train,F1_heater_only,downcomer,right downcomer,30.108256812,30.108256812,0.0,23.117313813,0.0,6.990942999,0.026311415,model_over_loses_heat,bulk_temperature_external_loss_drive_too_hot_for_stratified_wall_adjacent_flow,Implement first-class external boundary h/Ta/Tsur/emissivity/layer handling with wall/shell drive; current bulk-driven ambient loss over-removes heat in the downcomer.,diagnostic_model_form_heat_loss_placement,best_current_predictive_style_imposed_cooler_not_final_predictive_hx,work_products/2026-07/2026-07-14/2026-07-14_best_predictive_heat_loss_discrepancy/best_predictive_leg_heat_loss_discrepancy.csv;work_products/2026-07/2026-07-13/2026-07-13_predictive_external_bc_implementation_wave/cfd_external_boundary_dictionary.csv;work_products/2026-07/2026-07-13/2026-07-13_wall_layer_drive_mapping/external_bc_drive_table.csv
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,train,F1_heater_only,junction,junctions and horizontal connectors,3.434097578,3.434097578,0.0,39.128349537,0.0,-35.694251959,-0.134340429,model_under_loses_heat,missing_junction_stub_connector_external_loss_area,Add junction/stub/horizontal-connector heat-loss coverage. Current 1D ambient model under-removes junction heat relative to CFD realized wallHeatFlux by the largest W margin.,diagnostic_model_form_heat_loss_placement,best_current_predictive_style_imposed_cooler_not_final_predictive_hx,work_products/2026-07/2026-07-14/2026-07-14_best_predictive_heat_loss_discrepancy/best_predictive_leg_heat_loss_discrepancy.csv;work_products/2026-07/2026-07-13/2026-07-13_predictive_external_bc_implementation_wave/cfd_external_boundary_dictionary.csv;work_products/2026-07/2026-07-13/2026-07-13_wall_layer_drive_mapping/external_bc_drive_table.csv
salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,validation,F1_heater_only,lower_leg,heated lower leg,35.714963377,35.714963377,0.0,7.327263296,0.0,28.387700081,0.095420841,model_over_loses_heat,heater_realization_and_lower_leg_wall_loss_are_coupled,Separate heater realization from lower-leg passive loss. Current net heat can look close because heater over-input and ambient over-loss cancel; model heater efficiency/source contract and wall loss separately.,diagnostic_model_form_heat_loss_placement,best_current_predictive_style_imposed_cooler_not_final_predictive_hx,work_products/2026-07/2026-07-14/2026-07-14_best_predictive_heat_loss_discrepancy/best_predictive_leg_heat_loss_discrepancy.csv;work_products/2026-07/2026-07-13/2026-07-13_predictive_external_bc_implementation_wave/cfd_external_boundary_dictionary.csv;work_products/2026-07/2026-07-13/2026-07-13_wall_layer_drive_mapping/external_bc_drive_table.csv
salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,validation,F1_heater_only,upcomer,upcomer and test-section leg,48.907717642,48.907717642,0.0,32.618906683,0.0,16.288810959,0.054752306,model_over_loses_heat,bulk_temperature_external_loss_drive_too_hot_for_stratified_wall_adjacent_flow,"Keep heater-only/test-section source policy as default, then reduce or remap upcomer external loss using wall-adjacent/external-boundary dictionaries rather than bulk-temperature ambient loss.",diagnostic_model_form_heat_loss_placement,best_current_predictive_style_imposed_cooler_not_final_predictive_hx,work_products/2026-07/2026-07-14/2026-07-14_best_predictive_heat_loss_discrepancy/best_predictive_leg_heat_loss_discrepancy.csv;work_products/2026-07/2026-07-13/2026-07-13_predictive_external_bc_implementation_wave/cfd_external_boundary_dictionary.csv;work_products/2026-07/2026-07-13/2026-07-13_wall_layer_drive_mapping/external_bc_drive_table.csv
salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,validation,F1_heater_only,cooling_branch,upper cooling branch,174.611772433,23.841772433,150.77,164.340347847,150.769638673,10.271424586,0.034525797,model_over_loses_heat,active_hx_sink_and_passive_upper_leg_loss_are_not_separated,"Separate active HX/cooler duty from passive upper-leg wall loss. Replace imposed cooler duty with a setup-only UA/effectiveness model, and keep passive cooling-branch wall loss in the external-boundary lane.",diagnostic_model_form_heat_loss_placement,best_current_predictive_style_imposed_cooler_not_final_predictive_hx,work_products/2026-07/2026-07-14/2026-07-14_best_predictive_heat_loss_discrepancy/best_predictive_leg_heat_loss_discrepancy.csv;work_products/2026-07/2026-07-13/2026-07-13_predictive_external_bc_implementation_wave/cfd_external_boundary_dictionary.csv;work_products/2026-07/2026-07-13/2026-07-13_wall_layer_drive_mapping/external_bc_drive_table.csv
salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,validation,F1_heater_only,downcomer,right downcomer,34.360241797,34.360241797,0.0,25.347860491,0.0,9.012381306,0.030293719,model_over_loses_heat,bulk_temperature_external_loss_drive_too_hot_for_stratified_wall_adjacent_flow,Implement first-class external boundary h/Ta/Tsur/emissivity/layer handling with wall/shell drive; current bulk-driven ambient loss over-removes heat in the downcomer.,diagnostic_model_form_heat_loss_placement,best_current_predictive_style_imposed_cooler_not_final_predictive_hx,work_products/2026-07/2026-07-14/2026-07-14_best_predictive_heat_loss_discrepancy/best_predictive_leg_heat_loss_discrepancy.csv;work_products/2026-07/2026-07-13/2026-07-13_predictive_external_bc_implementation_wave/cfd_external_boundary_dictionary.csv;work_products/2026-07/2026-07-13/2026-07-13_wall_layer_drive_mapping/external_bc_drive_table.csv
salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,validation,F1_heater_only,junction,junctions and horizontal connectors,3.905958837,3.905958837,0.0,43.234690515,0.0,-39.328731678,-0.132197417,model_under_loses_heat,missing_junction_stub_connector_external_loss_area,Add junction/stub/horizontal-connector heat-loss coverage. Current 1D ambient model under-removes junction heat relative to CFD realized wallHeatFlux by the largest W margin.,diagnostic_model_form_heat_loss_placement,best_current_predictive_style_imposed_cooler_not_final_predictive_hx,work_products/2026-07/2026-07-14/2026-07-14_best_predictive_heat_loss_discrepancy/best_predictive_leg_heat_loss_discrepancy.csv;work_products/2026-07/2026-07-13/2026-07-13_predictive_external_bc_implementation_wave/cfd_external_boundary_dictionary.csv;work_products/2026-07/2026-07-13/2026-07-13_wall_layer_drive_mapping/external_bc_drive_table.csv
