case_id,source_id,segment,qoi,units,admission_class,fit_eligible,validation_use,blockers,coarse_value,medium_value,fine_value,wallHeatFlux_W,enthalpy_change_W,segment_duty_W,residual_W,residual_fraction,max_interface_recirc_ratio,wall_vs_enthalpy_direction,sign_convention,radiation_semantics,nu_guardrail,source_paths
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,lower_leg,wallHeatFlux,W,validation_only,no,yes_diagnostic_only,repaired_q_sign_label_conflict,236.851,,,236.851,288.360609,236.851,-51.509609,-0.178629,0.286604,same_direction,positive wallHeatFlux/segment duty heats fluid; positive enthalpy_change increases fluid bulk enthalpy.,"CFD rcExternalTemperature wallHeatFlux includes radiation when that BC is used; no separate exported qr term exists, so do not add or fit radiation as an internal-Nu residual.",Nu/HTC/UA are internal-transfer diagnostics only and cannot absorb heater/cooler/passive-loss/wall-storage/radiation residuals.,work_products/2026-07/2026-07-08/2026-07-08_patchwise_heat_ledger_enthalpy_interfaces/segment_enthalpy_residuals.csv;work_products/2026-07/2026-07-13/2026-07-13_thermal_sign_enthalpy_review/thermal_sign_enthalpy_review.csv
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,lower_leg,enthalpy_change,W,validation_only,no,yes_diagnostic_only,repaired_q_sign_label_conflict,288.360609,,,236.851,288.360609,236.851,-51.509609,-0.178629,0.286604,same_direction,positive wallHeatFlux/segment duty heats fluid; positive enthalpy_change increases fluid bulk enthalpy.,"CFD rcExternalTemperature wallHeatFlux includes radiation when that BC is used; no separate exported qr term exists, so do not add or fit radiation as an internal-Nu residual.",Nu/HTC/UA are internal-transfer diagnostics only and cannot absorb heater/cooler/passive-loss/wall-storage/radiation residuals.,work_products/2026-07/2026-07-08/2026-07-08_patchwise_heat_ledger_enthalpy_interfaces/segment_enthalpy_residuals.csv;work_products/2026-07/2026-07-13/2026-07-13_thermal_sign_enthalpy_review/thermal_sign_enthalpy_review.csv
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,lower_leg,segment_duty,W,validation_only,no,yes_diagnostic_only,repaired_q_sign_label_conflict,236.851,,,236.851,288.360609,236.851,-51.509609,-0.178629,0.286604,same_direction,positive wallHeatFlux/segment duty heats fluid; positive enthalpy_change increases fluid bulk enthalpy.,"CFD rcExternalTemperature wallHeatFlux includes radiation when that BC is used; no separate exported qr term exists, so do not add or fit radiation as an internal-Nu residual.",Nu/HTC/UA are internal-transfer diagnostics only and cannot absorb heater/cooler/passive-loss/wall-storage/radiation residuals.,work_products/2026-07/2026-07-08/2026-07-08_patchwise_heat_ledger_enthalpy_interfaces/segment_enthalpy_residuals.csv;work_products/2026-07/2026-07-13/2026-07-13_thermal_sign_enthalpy_review/thermal_sign_enthalpy_review.csv
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,lower_leg,HTC,W/m2/K,validation_only,no,yes_diagnostic_only,coarse_sign_review_required;medium_sign_review_required;fine_sign_review_required;repaired_q_sign_label_conflict;internal_Nu_residual_absorption_forbidden,470.551598459,457.342555912,460.760022775,236.851,288.360609,236.851,-51.509609,-0.178629,0.286604,same_direction,positive wallHeatFlux/segment duty heats fluid; positive enthalpy_change increases fluid bulk enthalpy.,"CFD rcExternalTemperature wallHeatFlux includes radiation when that BC is used; no separate exported qr term exists, so do not add or fit radiation as an internal-Nu residual.",Nu/HTC/UA are internal-transfer diagnostics only and cannot absorb heater/cooler/passive-loss/wall-storage/radiation residuals.,work_products/2026-07/2026-07-13/2026-07-13_salt2_coarse_thermal_repair_smoke/outputs/coarse/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv;work_products/2026-07/2026-07-13/2026-07-13_reconstructed_t_repair_trial/outputs/medium/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_fine_reconstructed_t_repair_plan_sbatch/repair_trial_output/outputs/fine/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv;work_products/2026-07/2026-07-08/2026-07-08_patchwise_heat_ledger_enthalpy_interfaces/segment_enthalpy_residuals.csv;work_products/2026-07/2026-07-13/2026-07-13_thermal_sign_enthalpy_review/thermal_sign_enthalpy_review.csv
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,lower_leg,Nu,dimensionless,blocked,no,no,missing_or_nonfinite_coarse_medium_or_fine_value;coarse_nu_direct_not_admitted;medium_nu_direct_not_admitted;fine_nu_direct_not_admitted;coarse_sign_review_required;medium_sign_review_required;fine_sign_review_required;repaired_q_sign_label_conflict;internal_Nu_residual_absorption_forbidden,,,,236.851,288.360609,236.851,-51.509609,-0.178629,0.286604,same_direction,positive wallHeatFlux/segment duty heats fluid; positive enthalpy_change increases fluid bulk enthalpy.,"CFD rcExternalTemperature wallHeatFlux includes radiation when that BC is used; no separate exported qr term exists, so do not add or fit radiation as an internal-Nu residual.",Nu/HTC/UA are internal-transfer diagnostics only and cannot absorb heater/cooler/passive-loss/wall-storage/radiation residuals.,work_products/2026-07/2026-07-13/2026-07-13_salt2_coarse_thermal_repair_smoke/outputs/coarse/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv;work_products/2026-07/2026-07-13/2026-07-13_reconstructed_t_repair_trial/outputs/medium/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_fine_reconstructed_t_repair_plan_sbatch/repair_trial_output/outputs/fine/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv;work_products/2026-07/2026-07-08/2026-07-08_patchwise_heat_ledger_enthalpy_interfaces/segment_enthalpy_residuals.csv;work_products/2026-07/2026-07-13/2026-07-13_thermal_sign_enthalpy_review/thermal_sign_enthalpy_review.csv
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,lower_leg,UA_prime,W/m/K,validation_only,no,yes_diagnostic_only,coarse_sign_review_required;medium_sign_review_required;fine_sign_review_required;repaired_q_sign_label_conflict;internal_Nu_residual_absorption_forbidden,41.1901988053,40.0499199715,40.3559085303,236.851,288.360609,236.851,-51.509609,-0.178629,0.286604,same_direction,positive wallHeatFlux/segment duty heats fluid; positive enthalpy_change increases fluid bulk enthalpy.,"CFD rcExternalTemperature wallHeatFlux includes radiation when that BC is used; no separate exported qr term exists, so do not add or fit radiation as an internal-Nu residual.",Nu/HTC/UA are internal-transfer diagnostics only and cannot absorb heater/cooler/passive-loss/wall-storage/radiation residuals.,work_products/2026-07/2026-07-13/2026-07-13_salt2_coarse_thermal_repair_smoke/outputs/coarse/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv;work_products/2026-07/2026-07-13/2026-07-13_reconstructed_t_repair_trial/outputs/medium/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_fine_reconstructed_t_repair_plan_sbatch/repair_trial_output/outputs/fine/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv;work_products/2026-07/2026-07-08/2026-07-08_patchwise_heat_ledger_enthalpy_interfaces/segment_enthalpy_residuals.csv;work_products/2026-07/2026-07-13/2026-07-13_thermal_sign_enthalpy_review/thermal_sign_enthalpy_review.csv
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,upcomer,wallHeatFlux,W,validation_only,no,yes_diagnostic_only,repaired_q_sign_label_conflict;wallHeatFlux_enthalpy_opposed_direction;large_wallHeatFlux_enthalpy_residual;high_recirculation_interface;high_recirculation_forward_bulk_used;high_recirculation_interface_temperature;recirculation_cell_diagnostic_only,-25.7603,,,-25.7603,136.677123,-25.7603,-162.437423,-1.188476,0.980419,opposed_direction,positive wallHeatFlux/segment duty heats fluid; positive enthalpy_change increases fluid bulk enthalpy.,"CFD rcExternalTemperature wallHeatFlux includes radiation when that BC is used; no separate exported qr term exists, so do not add or fit radiation as an internal-Nu residual.",Nu/HTC/UA are internal-transfer diagnostics only and cannot absorb heater/cooler/passive-loss/wall-storage/radiation residuals.,work_products/2026-07/2026-07-08/2026-07-08_patchwise_heat_ledger_enthalpy_interfaces/segment_enthalpy_residuals.csv;work_products/2026-07/2026-07-13/2026-07-13_thermal_sign_enthalpy_review/thermal_sign_enthalpy_review.csv
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,upcomer,enthalpy_change,W,validation_only,no,yes_diagnostic_only,repaired_q_sign_label_conflict;wallHeatFlux_enthalpy_opposed_direction;large_wallHeatFlux_enthalpy_residual;high_recirculation_interface;high_recirculation_forward_bulk_used;high_recirculation_interface_temperature;recirculation_cell_diagnostic_only,136.677123,,,-25.7603,136.677123,-25.7603,-162.437423,-1.188476,0.980419,opposed_direction,positive wallHeatFlux/segment duty heats fluid; positive enthalpy_change increases fluid bulk enthalpy.,"CFD rcExternalTemperature wallHeatFlux includes radiation when that BC is used; no separate exported qr term exists, so do not add or fit radiation as an internal-Nu residual.",Nu/HTC/UA are internal-transfer diagnostics only and cannot absorb heater/cooler/passive-loss/wall-storage/radiation residuals.,work_products/2026-07/2026-07-08/2026-07-08_patchwise_heat_ledger_enthalpy_interfaces/segment_enthalpy_residuals.csv;work_products/2026-07/2026-07-13/2026-07-13_thermal_sign_enthalpy_review/thermal_sign_enthalpy_review.csv
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,upcomer,segment_duty,W,validation_only,no,yes_diagnostic_only,repaired_q_sign_label_conflict;wallHeatFlux_enthalpy_opposed_direction;large_wallHeatFlux_enthalpy_residual;high_recirculation_interface;high_recirculation_forward_bulk_used;high_recirculation_interface_temperature;recirculation_cell_diagnostic_only,-25.7603,,,-25.7603,136.677123,-25.7603,-162.437423,-1.188476,0.980419,opposed_direction,positive wallHeatFlux/segment duty heats fluid; positive enthalpy_change increases fluid bulk enthalpy.,"CFD rcExternalTemperature wallHeatFlux includes radiation when that BC is used; no separate exported qr term exists, so do not add or fit radiation as an internal-Nu residual.",Nu/HTC/UA are internal-transfer diagnostics only and cannot absorb heater/cooler/passive-loss/wall-storage/radiation residuals.,work_products/2026-07/2026-07-08/2026-07-08_patchwise_heat_ledger_enthalpy_interfaces/segment_enthalpy_residuals.csv;work_products/2026-07/2026-07-13/2026-07-13_thermal_sign_enthalpy_review/thermal_sign_enthalpy_review.csv
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,upcomer,HTC,W/m2/K,validation_only,no,yes_diagnostic_only,coarse_sign_review_required;medium_sign_review_required;fine_sign_review_required;repaired_q_sign_label_conflict;wallHeatFlux_enthalpy_opposed_direction;large_wallHeatFlux_enthalpy_residual;high_recirculation_interface;high_recirculation_forward_bulk_used;high_recirculation_interface_temperature;recirculation_cell_diagnostic_only;internal_Nu_residual_absorption_forbidden,80.1872593844,77.9372395781,76.3976111781,-25.7603,136.677123,-25.7603,-162.437423,-1.188476,0.980419,opposed_direction,positive wallHeatFlux/segment duty heats fluid; positive enthalpy_change increases fluid bulk enthalpy.,"CFD rcExternalTemperature wallHeatFlux includes radiation when that BC is used; no separate exported qr term exists, so do not add or fit radiation as an internal-Nu residual.",Nu/HTC/UA are internal-transfer diagnostics only and cannot absorb heater/cooler/passive-loss/wall-storage/radiation residuals.,work_products/2026-07/2026-07-13/2026-07-13_salt2_coarse_thermal_repair_smoke/outputs/coarse/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv;work_products/2026-07/2026-07-13/2026-07-13_reconstructed_t_repair_trial/outputs/medium/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_fine_reconstructed_t_repair_plan_sbatch/repair_trial_output/outputs/fine/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv;work_products/2026-07/2026-07-08/2026-07-08_patchwise_heat_ledger_enthalpy_interfaces/segment_enthalpy_residuals.csv;work_products/2026-07/2026-07-13/2026-07-13_thermal_sign_enthalpy_review/thermal_sign_enthalpy_review.csv
