artifact,role,path,exists,notes
submitted_jobs.csv,read_only_input,jadyn_runs/modern_runs/2026-06-25_ethan_normal_relaunch_and_recirculation_boundary_wave/submitted_jobs.csv,True,input evidence; not mutated
submitted_jobs.csv,read_only_input,jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/submitted_jobs.csv,True,input evidence; not mutated
submitted_jobs.csv,read_only_input,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/submitted_jobs.csv,True,input evidence; not mutated
selected_submitted_jobs.csv,read_only_input,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/selected_submitted_jobs.csv,True,input evidence; not mutated
all_timeseries_case_rollup.csv,read_only_input,work_products/2026-07/2026-07-09/2026-07-09_cfd_steady_state_continuation_table/all_timeseries_case_rollup.csv,True,input evidence; not mutated
primary_cfd_continuation_decisions.csv,read_only_input,work_products/2026-07/2026-07-09/2026-07-09_cfd_steady_state_continuation_table/primary_cfd_continuation_decisions.csv,True,input evidence; not mutated
final_window_metrics.csv,read_only_input,work_products/2026-07/2026-07-13/2026-07-13_stopped_sbatch_steady_state_decisions/final_window_metrics.csv,True,input evidence; not mutated
all_corrected_q_status_table.csv,read_only_input,work_products/2026-07/2026-07-13/2026-07-13_corrected_q_latest_time_refresh/all_corrected_q_status_table.csv,True,input evidence; not mutated
corrected_q_terminal_gate_rows.csv,read_only_input,work_products/2026-07/2026-07-14/2026-07-14_corrected_q_terminal_admission_gate/corrected_q_terminal_gate_rows.csv,True,input evidence; not mutated
salt_cfd_candidate_inventory.csv,read_only_input,work_products/2026-07/2026-07-14/2026-07-14_salt_cfd_training_evidence_inventory/salt_cfd_candidate_inventory.csv,True,input evidence; not mutated
submitted_cfd_run_steady_state_table.csv,generated_output,work_products/2026-07/2026-07-14/2026-07-14_submitted_cfd_run_steady_state_table/submitted_cfd_run_steady_state_table.csv,True,generated by build_submitted_cfd_run_steady_state_table.py
submitted_cfd_run_summary.csv,generated_output,work_products/2026-07/2026-07-14/2026-07-14_submitted_cfd_run_steady_state_table/submitted_cfd_run_summary.csv,True,generated by build_submitted_cfd_run_steady_state_table.py
submitted_cfd_run_compact_lineage_table.csv,generated_output,work_products/2026-07/2026-07-14/2026-07-14_submitted_cfd_run_steady_state_table/submitted_cfd_run_compact_lineage_table.csv,True,generated by build_submitted_cfd_run_compact_lineage_table.py
compact_lineage_summary.json,generated_output,work_products/2026-07/2026-07-14/2026-07-14_submitted_cfd_run_steady_state_table/compact_lineage_summary.json,True,generated by build_submitted_cfd_run_compact_lineage_table.py
