run_key,fluid_family,variant,submitted_job_names,submitted_job_ids,steady_detection_run,last_time_or_window_start_s,last_time_or_window_end_s,mdot_verdict,heat_verdict,notes,steady_or_needs_continuation,steady_state_detection_status,recommended_action,admission_overlay,needs_continuation_reason,latest_scheduler_state_observed,run_root,submission_evidence_path,steady_evidence_path
salt1_jin_loq_balq,salt1,legacy_perturbation,ethan_s4hi_s1lo_nq9d_s1;ethan_s4hi_s1lo_nq9d_s2;ethan_s4hi_s1lo_nq9d_s3;ethan_s4hi_s1lo_nq9d_s4;ethan_s4hi_s1lo_nq9d_s5,3259075;3259076;3259077;3259078;3259079,no,,,,,,not run,no_last_window_detection_found,,,submitted job ledger exists but no last-window detector output was found,,,jadyn_runs/modern_runs/2026-06-25_ethan_normal_relaunch_and_recirculation_boundary_wave/submitted_jobs.csv
salt3_jin_hiq_balq,salt3,legacy_perturbation,ethan_s23hi_nq9d_s1;ethan_s23hi_nq9d_s2;ethan_s23hi_nq9d_s3;ethan_s23hi_nq9d_s4;ethan_s23hi_nq9d_s5,3259070;3259071;3259072;3259073;3259074,no,,,,,,not run,no_last_window_detection_found,,,submitted job ledger exists but no last-window detector output was found,,,jadyn_runs/modern_runs/2026-06-25_ethan_normal_relaunch_and_recirculation_boundary_wave/submitted_jobs.csv
salt4_jin_hiq_balq,salt4,legacy_perturbation,ethan_s4hi_s1lo_nq9d_s1;ethan_s4hi_s1lo_nq9d_s2;ethan_s4hi_s1lo_nq9d_s3;ethan_s4hi_s1lo_nq9d_s4;ethan_s4hi_s1lo_nq9d_s5,3259075;3259076;3259077;3259078;3259079,no,,,,,,not run,no_last_window_detection_found,,,submitted job ledger exists but no last-window detector output was found,,,jadyn_runs/modern_runs/2026-06-25_ethan_normal_relaunch_and_recirculation_boundary_wave/submitted_jobs.csv
salt2_jin_hi10q_corrected,salt2,hi10q,corr_saltq_g2;saltq_sel_cont,3275449;3293441;3293739;3293765;3293782;3293924,no_current_terminal_window,,10014.348066,,,terminal harvest/admission gate pending after live job exits,needs continuation,running_pending_terminal_last_window,continue_first_wave,not_admitted_too_short,current selected corrected-Q continuation is still running,,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/selected_submitted_jobs.csv;jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/submitted_jobs.csv,work_products/2026-07/2026-07-14/2026-07-14_corrected_q_terminal_admission_gate/corrected_q_terminal_gate_rows.csv
salt2_jin_lo10q_corrected,salt2,lo10q,corr_saltq_g1;saltq_sel_cont,3275448;3293441;3293739;3293765;3293782;3293924,no_current_terminal_window,,10644.337423,,,terminal harvest/admission gate pending after live job exits,needs continuation,running_pending_terminal_last_window,continue_first_wave,not_admitted_too_short,current selected corrected-Q continuation is still running,,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/selected_submitted_jobs.csv;jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/submitted_jobs.csv,work_products/2026-07/2026-07-14/2026-07-14_corrected_q_terminal_admission_gate/corrected_q_terminal_gate_rows.csv
salt4_jin_hi10q_corrected,salt4,hi10q,corr_saltq_g4;corr_saltq_g4_delayed;corr_saltq_salt4_all;saltq_sel_cont,3275451;3275558;3275560;3288636;3288638;3288651;3288661;3288666;3288671;3293441;3293739;3293765;3293782;3293924,no_current_terminal_window,,12885.023364,,,terminal harvest/admission gate pending after live job exits,needs continuation,running_pending_terminal_last_window,defer_second_wave,not_admitted_too_short,current selected corrected-Q continuation is still running,,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt4_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/selected_submitted_jobs.csv;jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/submitted_jobs.csv,work_products/2026-07/2026-07-14/2026-07-14_corrected_q_terminal_admission_gate/corrected_q_terminal_gate_rows.csv
salt4_jin_lo10q_corrected,salt4,lo10q,corr_saltq_g3;corr_saltq_salt4_all;saltq_sel_cont,3275450;3275560;3293441;3293739;3293765;3293782;3293924,no_current_terminal_window,,11951.598958,,,terminal harvest/admission gate pending after live job exits,needs continuation,running_pending_terminal_last_window,defer_second_wave,not_admitted_too_short,current selected corrected-Q continuation is still running,,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt4_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/selected_submitted_jobs.csv;jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/submitted_jobs.csv,work_products/2026-07/2026-07-14/2026-07-14_corrected_q_terminal_admission_gate/corrected_q_terminal_gate_rows.csv
salt1_jin_hi10q_corrected,salt1,hi10q,corr_saltq_g1;saltq_sel_cont,3275448;3288636;3288638;3288651;3288661;3288666;3288671,yes,4987,5587,steady,steady,Final 600 s monitor was flat; Salt1 corrected-Q still has Salt1-reference/admission-policy caveats.,steady,steady_runtime_stop_not_closure_fit_priority,investigate_before_resubmit,not_admitted_too_short,,,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/selected_submitted_jobs.csv;jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/submitted_jobs.csv,work_products/2026-07/2026-07-13/2026-07-13_stopped_sbatch_steady_state_decisions/final_window_metrics.csv
salt1_jin_lo10q_corrected,salt1,lo10q,corr_saltq_g1;saltq_sel_cont,3275448;3288636;3288638;3288651;3288661;3288666;3288671,yes,7416,8016,steady,steady,Final 600 s monitor was flat; Salt1 corrected-Q still has Salt1-reference/admission-policy caveats.,steady,steady_runtime_stop_not_closure_fit_priority,hold_policy_then_continue,not_admitted_too_short,,,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/selected_submitted_jobs.csv;jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/submitted_jobs.csv,work_products/2026-07/2026-07-13/2026-07-13_stopped_sbatch_steady_state_decisions/final_window_metrics.csv
salt1_jin_nominal_continuation_corrected,salt1,corrected_q,salt1_nom_cont,3282992,yes,7284,7884,steady,steady,Final 600 s monitor was flat; stop was operational. Any publication/closure use still needs explicit post-run admission context.,steady,steady_runtime_stop_not_yet_closure_admission,continue_running_to_exit_then_gate,pending_terminal_gate,,,jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/runs/salt1_jin_nominal_continuation_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/submitted_jobs.csv,work_products/2026-07/2026-07-13/2026-07-13_stopped_sbatch_steady_state_decisions/final_window_metrics.csv
salt4_jin,salt4,nominal_or_continuation,,,yes,9700,10000,steady,steady,Salt mainline nominal row; AGENT-244 last-window series all steady.,steady,all_representative_series_steady,no_continuation_needed_for_current_closure_use,current_mainline_nominal_evidence,,,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,,work_products/2026-07/2026-07-09/2026-07-09_cfd_steady_state_continuation_table/all_timeseries_case_rollup.csv
salt4_jin_hi5q_balq,salt4,legacy_perturbation,ethan_s4mid_nq9d_s1;ethan_s4mid_nq9d_s2;ethan_s4mid_nq9d_s3;ethan_s4mid_nq9d_s4;ethan_s4mid_nq9d_s5,3259090;3259091;3259092;3259093;3259094,yes,7501,7801,steady,steady,Historical/diagnostic row; use only if a future task reopens its evidence contract.,steady,all_representative_series_steady,do_not_prioritize_continuation,not_assessed,,,,jadyn_runs/modern_runs/2026-06-25_ethan_normal_relaunch_and_recirculation_boundary_wave/submitted_jobs.csv,work_products/2026-07/2026-07-09/2026-07-09_cfd_steady_state_continuation_table/all_timeseries_case_rollup.csv
salt4_jin_hiq_hiins,salt4,legacy_perturbation,,,yes,9102,9402,steady,steady,Historical/diagnostic row; use only if a future task reopens its evidence contract.,steady,all_representative_series_steady,do_not_prioritize_continuation,not_assessed,,,,,work_products/2026-07/2026-07-09/2026-07-09_cfd_steady_state_continuation_table/all_timeseries_case_rollup.csv
salt4_jin_lo5q_balq,salt4,legacy_perturbation,ethan_s4mid_nq9d_s1;ethan_s4mid_nq9d_s2;ethan_s4mid_nq9d_s3;ethan_s4mid_nq9d_s4;ethan_s4mid_nq9d_s5,3259090;3259091;3259092;3259093;3259094,yes,7634,7934,steady,steady,Historical/diagnostic row; use only if a future task reopens its evidence contract.,steady,all_representative_series_steady,do_not_prioritize_continuation,not_assessed,,,,jadyn_runs/modern_runs/2026-06-25_ethan_normal_relaunch_and_recirculation_boundary_wave/submitted_jobs.csv,work_products/2026-07/2026-07-09/2026-07-09_cfd_steady_state_continuation_table/all_timeseries_case_rollup.csv
water4,water4,water_continuation,ethan_w34_nq9d_s1;ethan_w34_nq9d_s2;ethan_w34_nq9d_s3;ethan_w34_nq9d_s4;ethan_w34_nq9d_s5,3259060;3259061;3259062;3259063;3259064,yes,6062,6362,quasi-steady (bounded drift/oscillation),steady,Water row is not the current Salt closure anchor; last-window mdot is quasi-steady for all Water rows and heat drifts for Water1-3.,steady,steady_with_quasi_series,continue_only_if_water_validation_is_needed,validation_context_not_current_salt_closure_fit,,,,jadyn_runs/modern_runs/2026-06-25_ethan_normal_relaunch_and_recirculation_boundary_wave/submitted_jobs.csv,work_products/2026-07/2026-07-09/2026-07-09_cfd_steady_state_continuation_table/all_timeseries_case_rollup.csv
salt1_jin,salt1,nominal_or_continuation,,,yes,3457,3756.33,steady,quasi-steady (bounded drift/oscillation),Older Salt1 nominal window is superseded by the live Salt1 corrected nominal continuation.,steady,steady_with_quasi_series,do_not_use_old_salt1_window,superseded_by_salt1_nominal_3282992,,,,,work_products/2026-07/2026-07-09/2026-07-09_cfd_steady_state_continuation_table/all_timeseries_case_rollup.csv
salt1_jin_basecont,salt1,nominal_or_continuation,ethan_s1cont_s1hi_nq9d_s1;ethan_s1cont_s1hi_nq9d_s2;ethan_s1cont_s1hi_nq9d_s3;ethan_s1cont_s1hi_nq9d_s4;ethan_s1cont_s1hi_nq9d_s5,3259065;3259066;3259067;3259068;3259069,yes,3756.33,4026.16,steady,quasi-steady (bounded drift/oscillation),Historical/diagnostic row; use only if a future task reopens its evidence contract.,steady,steady_with_quasi_series,do_not_prioritize_continuation,not_assessed,,,,jadyn_runs/modern_runs/2026-06-25_ethan_normal_relaunch_and_recirculation_boundary_wave/submitted_jobs.csv,work_products/2026-07/2026-07-09/2026-07-09_cfd_steady_state_continuation_table/all_timeseries_case_rollup.csv
salt1_jin_hiq_balq,salt1,legacy_perturbation,ethan_s1cont_s1hi_nq9d_s1;ethan_s1cont_s1hi_nq9d_s2;ethan_s1cont_s1hi_nq9d_s3;ethan_s1cont_s1hi_nq9d_s4;ethan_s1cont_s1hi_nq9d_s5,3259065;3259066;3259067;3259068;3259069,yes,3617.66,3892.49,steady,quasi-steady (bounded drift/oscillation),Historical/diagnostic row; use only if a future task reopens its evidence contract.,steady,steady_with_quasi_series,do_not_prioritize_continuation,not_assessed,,,,jadyn_runs/modern_runs/2026-06-25_ethan_normal_relaunch_and_recirculation_boundary_wave/submitted_jobs.csv,work_products/2026-07/2026-07-09/2026-07-09_cfd_steady_state_continuation_table/all_timeseries_case_rollup.csv
salt1_jin_optins,salt1,other,,,yes,3318,3617.66,steady,quasi-steady (bounded drift/oscillation),Historical/diagnostic row; use only if a future task reopens its evidence contract.,steady,steady_with_quasi_series,do_not_prioritize_continuation,not_assessed,,,,,work_products/2026-07/2026-07-09/2026-07-09_cfd_steady_state_continuation_table/all_timeseries_case_rollup.csv
