case_key,label,current_gate_verdict,current_row_class,plan_decision,wave,action_type,rationale,required_pre_submit_check,next_gate_requirement,fit_label_if_future_admitted
salt2_jin_lo10q_corrected,Salt2 -10Q,too_short,partial_requires_extended_continuation,continue_selected,1,extend_existing_corrected_row,"Clean partial row; widest low-Q perturbation around Salt2; highest immediate value for a first two-sided corrected-Q sensitivity check without bulk resubmitting all cases.","Verify root/restart thermal patch audit still passes; verify no fatal markers; set a per-row continuation target that can satisfy current advance gate or explicitly document any gate-policy change before launch.",Must rerun formal operating-point gate and return `requalified`; otherwise document-only.,sensitivity/correlation-support
salt2_jin_hi10q_corrected,Salt2 +10Q,too_short,partial_requires_extended_continuation,continue_selected,1,extend_existing_corrected_row,"Clean partial row; widest high-Q perturbation around Salt2; paired with Salt2 -10Q to unlock the smallest symmetric corrected-Q bracket for F5/Ri or F6 refit screening.","Verify root/restart thermal patch audit still passes; verify no fatal markers; set a per-row continuation target that can satisfy current advance gate or explicitly document any gate-policy change before launch.",Must rerun formal operating-point gate and return `requalified`; otherwise document-only.,sensitivity/correlation-support
salt4_jin_lo10q_corrected,Salt4 -10Q,too_short,partial_requires_extended_continuation,defer_until_wave1_passes,2,extend_existing_corrected_row,"Clean partial row and second Salt level; use only after Salt2 +/-10Q admits or demonstrates the continuation/gate settings are practical.","Same as wave 1; additionally check late-window amplitude remains below quasi-stationary band after continuation.",Must rerun formal operating-point gate and return `requalified`; otherwise document-only.,sensitivity/correlation-support
salt4_jin_hi10q_corrected,Salt4 +10Q,too_short,partial_requires_extended_continuation,defer_until_wave1_passes,2,extend_existing_corrected_row,"Clean partial row and second Salt level; paired with Salt4 -10Q if a second two-sided bracket is needed after wave 1.","Same as wave 1; additionally check late-window amplitude remains below quasi-stationary band after continuation.",Must rerun formal operating-point gate and return `requalified`; otherwise document-only.,sensitivity/correlation-support
salt2_jin_lo5q_corrected,Salt2 -5Q,too_short,partial_requires_extended_continuation,defer_for_linearity_only,3,extend_existing_corrected_row,"Clean partial midpoint, but lower leverage than Salt2 +/-10Q. Continue only if admitted +/-10Q rows show nonlinearity or a local-slope fit needs midpoint support.","Same as wave 1.",Must rerun formal operating-point gate and return `requalified`; otherwise document-only.,sensitivity/correlation-support
salt2_jin_hi5q_corrected,Salt2 +5Q,too_short,partial_requires_extended_continuation,defer_for_linearity_only,3,extend_existing_corrected_row,"Clean partial midpoint, but lower leverage than Salt2 +/-10Q. Continue only if admitted +/-10Q rows show nonlinearity or a local-slope fit needs midpoint support.","Same as wave 1.",Must rerun formal operating-point gate and return `requalified`; otherwise document-only.,sensitivity/correlation-support
salt4_jin_lo5q_corrected,Salt4 -5Q,too_short,partial_requires_extended_continuation,defer_for_linearity_only,3,extend_existing_corrected_row,"Clean partial midpoint, but lower leverage than Salt4 +/-10Q. Continue only after a Salt4 +/-10Q bracket is justified.","Same as wave 2.",Must rerun formal operating-point gate and return `requalified`; otherwise document-only.,sensitivity/correlation-support
salt4_jin_hi5q_corrected,Salt4 +5Q,too_short,partial_requires_extended_continuation,defer_for_linearity_only,3,extend_existing_corrected_row,"Clean partial midpoint, but lower leverage than Salt4 +/-10Q. Continue only after a Salt4 +/-10Q bracket is justified.","Same as wave 2.",Must rerun formal operating-point gate and return `requalified`; otherwise document-only.,sensitivity/correlation-support
salt3_jin_lo10q_corrected,Salt3 -10Q,too_short,partial_requires_extended_continuation,defer_as_asymmetric_support,4,extend_existing_corrected_row,"Clean low-Q partial row, but the matching Salt3 high-Q rows failed/cancelled. Do not continue until deciding whether asymmetric Salt3 evidence is scientifically useful or after rebuilding high-Q counterparts.","Verify whether Salt3 high-Q rebuild is planned; avoid using lone low-Q evidence as a balanced response surface.",Must rerun formal operating-point gate and return `requalified`; otherwise document-only.,sensitivity/correlation-support
salt3_jin_lo5q_corrected,Salt3 -5Q,too_short,partial_requires_extended_continuation,defer_as_asymmetric_support,4,extend_existing_corrected_row,"Clean low-Q partial row, but lower leverage and no matching high-Q counterpart. Defer behind Salt2/Salt4 brackets.","Verify whether Salt3 high-Q rebuild is planned; avoid using lone low-Q evidence as a balanced response surface.",Must rerun formal operating-point gate and return `requalified`; otherwise document-only.,sensitivity/correlation-support
