case_key,label,terminal_window_status,formal_gate_status,recommendation,resubmit_now,reason,minimum_next_action,future_fit_label
salt1_jin_hi10q_corrected,Salt1 +10Q,not_accepted_short_window,not_admitted_too_short,investigate_before_resubmit,no,"Only 254 s post-restart and 256 late-window samples; solver log has End and convergenceMonitor path. Salt1 reference policy is also unresolved.","Repair/verify diagnostic-only convergence monitor and Salt1 reference policy before rerun or rebuild; then formal gate.",sensitivity/correlation-support
salt1_jin_lo10q_corrected,Salt1 -10Q,terminal_window_stationary_but_under_advanced,not_admitted_too_short,hold_policy_then_continue,no,"Full 301-sample terminal window and correct mdot direction, but Salt1 nominal/reference policy remains weak and formal gate is too_short.","Resolve Salt1 reference/admission policy before spending allocation; then continue only if still useful.",sensitivity/correlation-support
salt2_jin_lo10q_corrected,Salt2 -10Q,terminal_window_stationary_but_under_advanced,not_admitted_too_short,continue_first_wave,yes,"Clean full terminal window, correct mdot direction, no special-scrutiny flag, highest-leverage low-Q Salt2 row.","Continue this selected row with a target long enough to satisfy the operating-point gate; rerun formal gate before any fit.",sensitivity/correlation-support
salt2_jin_hi10q_corrected,Salt2 +10Q,terminal_window_stationary_but_under_advanced,not_admitted_too_short,continue_first_wave,yes,"Clean full terminal window, correct mdot direction, no special-scrutiny flag, paired high-Q row for minimal two-sided Salt2 bracket.","Continue this selected row with a target long enough to satisfy the operating-point gate; rerun formal gate before any fit.",sensitivity/correlation-support
salt2_jin_lo5q_corrected,Salt2 -5Q,terminal_window_stationary_but_under_advanced,not_admitted_too_short,defer_midpoint,no,"Clean full terminal window but lower leverage than +/-10Q; useful only after first-wave bracket admits or shows nonlinearity.","Do not resubmit in wave 1; revisit only if midpoint support is needed.",sensitivity/correlation-support
salt2_jin_hi5q_corrected,Salt2 +5Q,terminal_window_stationary_but_under_advanced,not_admitted_too_short,defer_midpoint,no,"Clean full terminal window but lower leverage than +/-10Q; useful only after first-wave bracket admits or shows nonlinearity.","Do not resubmit in wave 1; revisit only if midpoint support is needed.",sensitivity/correlation-support
salt3_jin_lo10q_corrected,Salt3 -10Q,terminal_window_stationary_but_under_advanced,not_admitted_too_short,defer_asymmetric_support,no,"Clean low-Q window, but matching Salt3 high-Q rows lack usable windows; avoid asymmetric Salt3 fit support by default.","Defer until Salt3 high-Q side is repaired or an asymmetric-support plan is explicitly approved.",sensitivity/correlation-support
salt3_jin_lo5q_corrected,Salt3 -5Q,terminal_window_stationary_but_under_advanced,not_admitted_too_short,defer_asymmetric_support,no,"Clean low-Q window, lower leverage, and no matching high-Q counterpart.","Defer behind Salt2 wave and any Salt4 bracket; do not use alone for balanced response fitting.",sensitivity/correlation-support
salt3_jin_hi5q_corrected,Salt3 +5Q,not_accepted_short_window,not_admitted_too_short,investigate_before_resubmit,no,"Only about 21 s post-restart and 22 samples from cancelled/superseded high-Q attempt; not a usable terminal window.","Investigate cancelled high-Q attempt for BC/log/launcher issues; rerun or rebuild from corrected restart only after cause is documented.",sensitivity/correlation-support
salt3_jin_hi10q_corrected,Salt3 +10Q,not_accepted_short_window,not_admitted_too_short,investigate_before_resubmit,no,"Only about 20 s post-restart and 20 samples from cancelled/superseded high-Q attempt; not a usable terminal window.","Investigate cancelled high-Q attempt for BC/log/launcher issues; rerun or rebuild from corrected restart only after cause is documented.",sensitivity/correlation-support
salt4_jin_lo10q_corrected,Salt4 -10Q,terminal_window_stationary_but_under_advanced,not_admitted_too_short,defer_second_wave,no,"Clean full terminal window and correct direction; good second bracket but should wait until Salt2 first wave proves the continuation/gate settings.","Continue only after Salt2 +/-10Q admits or identifies the needed gate/continuation adjustment.",sensitivity/correlation-support
salt4_jin_hi10q_corrected,Salt4 +10Q,terminal_window_stationary_but_under_advanced,not_admitted_too_short,defer_second_wave,no,"Clean full terminal window and correct direction; good second bracket but should wait until Salt2 first wave proves the continuation/gate settings.","Continue only after Salt2 +/-10Q admits or identifies the needed gate/continuation adjustment.",sensitivity/correlation-support
salt4_jin_lo5q_corrected,Salt4 -5Q,terminal_window_stationary_but_under_advanced,not_admitted_too_short,defer_midpoint,no,"Clean full terminal window but lower leverage than Salt4 +/-10Q; midpoint support only.","Defer until a Salt4 +/-10Q bracket is justified and midpoint support is needed.",sensitivity/correlation-support
salt4_jin_hi5q_corrected,Salt4 +5Q,terminal_window_stationary_but_under_advanced,not_admitted_too_short,defer_midpoint,no,"Clean full terminal window but lower leverage than Salt4 +/-10Q; midpoint support only.","Defer until a Salt4 +/-10Q bracket is justified and midpoint support is needed.",sensitivity/correlation-support
