checked_at,job_id,job_name,state,exit_code,elapsed,start,end,node_list,monitor_decision,next_action
2026-07-22T11:03:40-0500,3307441,saltq_sel36_cont,RUNNING,0:0,1-02:05:31,2026-07-21T08:58:09,Unknown,c318-020,not_terminal,keep_monitoring_corrected_q_selected_family
2026-07-22T11:03:40-0500,3307441.batch,batch,RUNNING,0:0,1-02:05:31,2026-07-21T08:58:09,Unknown,c318-020,not_terminal,keep_monitoring
2026-07-22T11:03:40-0500,3307441.0,foamRun,RUNNING,0:0,1-02:05:06,2026-07-21T08:58:34,Unknown,c318-020,not_terminal,keep_monitoring
2026-07-22T11:03:40-0500,3307441.1,foamRun,RUNNING,0:0,1-02:05:06,2026-07-21T08:58:34,Unknown,c318-020,not_terminal,keep_monitoring
2026-07-22T11:03:40-0500,3307441.2,foamRun,RUNNING,0:0,1-02:05:06,2026-07-21T08:58:34,Unknown,c318-020,not_terminal,keep_monitoring
2026-07-22T11:03:40-0500,3307441.3,foamRun,RUNNING,0:0,1-02:05:06,2026-07-21T08:58:34,Unknown,c318-020,not_terminal,keep_monitoring
2026-07-22T11:03:40-0500,3308712,salt4_heat2_pack,RUNNING,0:0,16:58:28,2026-07-21T18:05:12,Unknown,c318-017,not_terminal,keep_monitoring_high_heat_retry
2026-07-22T11:03:40-0500,3308712.batch,batch,RUNNING,0:0,16:58:28,2026-07-21T18:05:12,Unknown,c318-017,not_terminal,keep_monitoring
2026-07-22T11:03:40-0500,3308712.0,foamRun,RUNNING,0:0,16:58:03,2026-07-21T18:05:37,Unknown,c318-017,not_terminal,keep_monitoring
2026-07-22T11:03:40-0500,3308712.1,foamRun,RUNNING,0:0,16:58:03,2026-07-21T18:05:37,Unknown,c318-017,not_terminal,keep_monitoring
2026-07-22T11:03:40-0500,3308712.2,foamRun,RUNNING,0:0,16:58:03,2026-07-21T18:05:37,Unknown,c318-017,not_terminal,keep_monitoring
2026-07-22T11:03:40-0500,3308712.3,foamRun,RUNNING,0:0,16:58:03,2026-07-21T18:05:37,Unknown,c318-017,not_terminal,keep_monitoring
2026-07-22T11:03:40-0500,3310179,s13_mf_sampler,COMPLETED,0:0,00:52:15,2026-07-22T09:48:04,2026-07-22T10:40:19,c318-019,terminal_success_but_science_fail_closed,no_harvest_trigger_claim_s13_face_area_vector_repair_if_continuing
2026-07-22T11:03:40-0500,3310179.batch,batch,COMPLETED,0:0,00:52:15,2026-07-22T09:48:04,2026-07-22T10:40:19,c318-019,terminal_success_but_science_fail_closed,no_harvest_trigger
2026-07-22T12:52:05-0500,3307441,saltq_sel36_cont,RUNNING,0:0,1-03:53:43,2026-07-21T08:58:09,Unknown,c318-020,not_terminal,keep_monitoring_corrected_q_selected_family
2026-07-22T12:52:05-0500,3307441.batch,batch,RUNNING,0:0,1-03:53:43,2026-07-21T08:58:09,Unknown,c318-020,not_terminal,keep_monitoring
2026-07-22T12:52:05-0500,3307441.0,foamRun,RUNNING,0:0,1-03:53:18,2026-07-21T08:58:34,Unknown,c318-020,not_terminal,keep_monitoring
2026-07-22T12:52:05-0500,3307441.1,foamRun,RUNNING,0:0,1-03:53:18,2026-07-21T08:58:34,Unknown,c318-020,not_terminal,keep_monitoring
2026-07-22T12:52:05-0500,3307441.2,foamRun,RUNNING,0:0,1-03:53:18,2026-07-21T08:58:34,Unknown,c318-020,not_terminal,keep_monitoring
2026-07-22T12:52:05-0500,3307441.3,foamRun,RUNNING,0:0,1-03:53:18,2026-07-21T08:58:34,Unknown,c318-020,not_terminal,keep_monitoring
2026-07-22T12:52:05-0500,3308712,salt4_heat2_pack,RUNNING,0:0,18:46:40,2026-07-21T18:05:12,Unknown,c318-017,not_terminal,keep_monitoring_high_heat_retry
2026-07-22T12:52:05-0500,3308712.batch,batch,RUNNING,0:0,18:46:40,2026-07-21T18:05:12,Unknown,c318-017,not_terminal,keep_monitoring
2026-07-22T12:52:05-0500,3308712.0,foamRun,RUNNING,0:0,18:46:15,2026-07-21T18:05:37,Unknown,c318-017,not_terminal,keep_monitoring
2026-07-22T12:52:05-0500,3308712.1,foamRun,RUNNING,0:0,18:46:15,2026-07-21T18:05:37,Unknown,c318-017,not_terminal,keep_monitoring
2026-07-22T12:52:05-0500,3308712.2,foamRun,RUNNING,0:0,18:46:15,2026-07-21T18:05:37,Unknown,c318-017,not_terminal,keep_monitoring
2026-07-22T12:52:05-0500,3308712.3,foamRun,RUNNING,0:0,18:46:15,2026-07-21T18:05:37,Unknown,c318-017,not_terminal,keep_monitoring
