job_id,job_name,watch_lane,state,elapsed,exit_code,node_or_reason,ownership,monitor_decision,next_action
3293924,saltq_sel_cont,corrected_q_parent,RUNNING,3-22:51:08,0:0,c318-016,completed corrected-Q chain handoff,not_terminal,keep_monitoring_parent_and_do_not_duplicate_solver_or_harvest
3293924.batch,batch,corrected_q_parent,RUNNING,3-22:51:08,0:0,c318-016,completed corrected-Q chain handoff,not_terminal,keep_monitoring
3293924.0,foamRun,corrected_q_parent,RUNNING,3-22:50:45,0:0,c318-016,completed corrected-Q chain handoff,not_terminal,keep_monitoring
3293924.1,foamRun,corrected_q_parent,RUNNING,3-22:50:45,0:0,c318-016,completed corrected-Q chain handoff,not_terminal,keep_monitoring
3293924.2,foamRun,corrected_q_parent,RUNNING,3-22:50:45,0:0,c318-016,completed corrected-Q chain handoff,not_terminal,keep_monitoring
3293924.3,foamRun,corrected_q_parent,RUNNING,3-22:50:45,0:0,c318-016,completed corrected-Q chain handoff,not_terminal,keep_monitoring
3295438,saltq_s24_sel_harv,corrected_q_dependent_harvest,PENDING,00:00:00,0:0,Dependency,completed corrected-Q harvest submission,blocked_by_dependency,do_not_cancel_or_duplicate_wait_for_afterany_release
3299610,salt4_q3x_probe,high_heat_anchor,RUNNING,22:15:43,0:0,c318-017,AGENT-471 complete submitted job,not_terminal,keep_monitoring_before_high_heat_harvest
3299610.batch,batch,high_heat_anchor,RUNNING,22:15:43,0:0,c318-017,AGENT-471 complete submitted job,not_terminal,keep_monitoring
3299610.0,foamRun,high_heat_anchor,RUNNING,22:05:29,0:0,c318-017,AGENT-471 complete submitted job,not_terminal,keep_monitoring
3299620,salt4_heat_pack,high_heat_anchor,RUNNING,22:00:54,0:0,c318-018,AGENT-475 complete submitted job,not_terminal,keep_monitoring_before_high_heat_harvest
3299620.batch,batch,high_heat_anchor,RUNNING,22:00:54,0:0,c318-018,AGENT-475 complete submitted job,not_terminal,keep_monitoring
3299620.0,foamRun,high_heat_anchor,RUNNING,21:43:53,0:0,c318-018,AGENT-475 complete submitted job,not_terminal,keep_monitoring
3299620.1,foamRun,high_heat_anchor,RUNNING,21:43:53,0:0,c318-018,AGENT-475 complete submitted job,not_terminal,keep_monitoring
3299620.2,foamRun,high_heat_anchor,RUNNING,21:43:53,0:0,c318-018,AGENT-475 complete submitted job,not_terminal,keep_monitoring
3300966,ag511_hsrc,context_only_active_agent,RUNNING,00:08:37,0:0,c318-009,active AGENT-511,not_owned_by_AGENT_519,do_not_touch_use_AGENT_511_scope
