case_id,case_key,feature,reference_option_id,straight_loss_subtraction_pa,K_local_candidate,option_status,reason,component_k_admitted,f6_fit_performed
salt_2,salt2_mainline,corner_lower_right,prior_centerline_original_proxy,3.07451625954,-49.8511935701,reject_negative_or_old_proxy_basis,Prior centerline recompute used old proxy pressure basis and is negative for this feature.,false,false
salt_2,salt2_mainline,corner_lower_right,raw_static_minus_prior_centerline,3.07451625954,18490.189570764895,reject_mixed_basis_and_recirculation,Uses new static endpoint pressure with old centerline straight loss; nonnegative but physically mixed and recirculation-blocked.,false,false
salt_2,salt2_mainline,corner_lower_right,raw_p_rgh_minus_prior_centerline,3.07451625954,-26.449656188020228,reject_negative_and_recirculation,Same-window p_rgh delta minus prior centerline straight loss remains negative and recirculation-blocked.,false,false
salt_2,salt2_mainline,corner_lower_right,no_straight_reference_apparent_cluster,,,select_apparent_cluster_only,"No admissible straight reference survives same-basis, no-clipping, and recirculation requirements.",false,false
salt_3,salt3_mainline,corner_lower_right,prior_centerline_original_proxy,3.41163990486,-42.4613158707,reject_negative_or_old_proxy_basis,Prior centerline recompute used old proxy pressure basis and is negative for this feature.,false,false
salt_3,salt3_mainline,corner_lower_right,raw_static_minus_prior_centerline,3.41163990486,14127.511619604198,reject_mixed_basis_and_recirculation,Uses new static endpoint pressure with old centerline straight loss; nonnegative but physically mixed and recirculation-blocked.,false,false
salt_3,salt3_mainline,corner_lower_right,raw_p_rgh_minus_prior_centerline,3.41163990486,-24.708518571471608,reject_negative_and_recirculation,Same-window p_rgh delta minus prior centerline straight loss remains negative and recirculation-blocked.,false,false
salt_3,salt3_mainline,corner_lower_right,no_straight_reference_apparent_cluster,,,select_apparent_cluster_only,"No admissible straight reference survives same-basis, no-clipping, and recirculation requirements.",false,false
salt_4,salt4_mainline,corner_lower_right,prior_centerline_original_proxy,3.77880498557,-35.6268419138,reject_negative_or_old_proxy_basis,Prior centerline recompute used old proxy pressure basis and is negative for this feature.,false,false
salt_4,salt4_mainline,corner_lower_right,raw_static_minus_prior_centerline,3.77880498557,10666.869381323006,reject_mixed_basis_and_recirculation,Uses new static endpoint pressure with old centerline straight loss; nonnegative but physically mixed and recirculation-blocked.,false,false
salt_4,salt4_mainline,corner_lower_right,raw_p_rgh_minus_prior_centerline,3.77880498557,-19.548230955732738,reject_negative_and_recirculation,Same-window p_rgh delta minus prior centerline straight loss remains negative and recirculation-blocked.,false,false
salt_4,salt4_mainline,corner_lower_right,no_straight_reference_apparent_cluster,,,select_apparent_cluster_only,"No admissible straight reference survives same-basis, no-clipping, and recirculation requirements.",false,false
