case_id,source_id,path_id,description,fixed_mdot_kg_s,cfd_mdot_kg_s,mdot_relative_error,thermal_root_found,temperature_root_bracketed,temperature_root_reason,temperature_periodicity_error_K,model_Tmean_K,cfd_Tmean_K,Tmean_error_K,model_loop_delta_T_K,cfd_loop_delta_T_K,loop_delta_T_error_K,qhx_total_W,qambient_total_W,source_total_W,prescribed_loss_total_W,deltaP_buoyancy_Pa,deltaP_losses_Pa,pressure_residual_Pa,pressure_residual_tolerance_Pa,pressure_residual_margin_Pa,pressure_root_policy,reynolds_main,velocity_main_m_s,friction_factor_main,predicted_air_outlet_temperature_K,start_temperature_K,end_temperature_K,thermal_input_policy,hydraulic_policy,score_partition,modeling_status,radiation_on,source_map_json,fixed_loss_map_json,external_hA_map_json,external_Ta_map_json,boundary_condition_mode
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,N0_current_fluid_rad_off,Current Fluid salt contract at CFD mdot with 1D radiation disabled.,0.01318,0.01318,0.0,True,True,temperature_periodicity_root_found,-0.0,544.61129,450.3,94.31129,10.790025,12.1,-1.309975,53.755454,248.945199,302.7,0.0,52.70921,17.712513,-34.996697,2.63546,32.361236,not_rooted_fixed_mdot_pressure_residual_diagnostic,217.963713,0.01826366,0.29362686,378.442206,549.74862,549.74862,current Fluid heater/test-section source and predictive air-side HX/ambient models; radiation_on=False,hold mdot at CFD observation; do not perform pressure root search,thermal_periodicity_and_section_heat_parity; pressure_residual_diagnostic,reference_only_current_contract_no_radiation,False,{},{},{},{},current_fluid_no_radiation
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,N1_heater_cooler_imposed_rad_off,"Impose CFD heater source and CFD cooler duty together, no radiation.",0.01318,0.01318,0.0,True,True,temperature_periodicity_root_found,-0.0,453.31251,450.3,3.01251,12.430061,12.1,0.330061,136.35074,129.350102,265.7,0.0,71.014571,38.891814,-32.122757,3.550729,28.572028,not_rooted_fixed_mdot_pressure_residual_diagnostic,95.79903,0.01763175,0.66806522,485.402174,459.692679,459.692679,CFD heater imposed source plus CFD cooler imposed sink; no test-section source; Fluid no-radiation ambient model remains active,hold mdot at CFD observation; do not perform pressure root search,thermal_periodicity_and_section_heat_parity; pressure_residual_diagnostic,combined_heater_cooler_boundary_probe_no_radiation,False,"{""heated_incline"": 265.7}",{},{},{},heater_source_plus_cooler_duty_no_radiation
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,N3_realized_wallflux_diagnostic_rad_off,"Fixed-Q diagnostic using CFD realized wallHeatFlux roles, no radiation term added.",0.01318,0.01318,0.0,False,False,no_bracketed_temperature_periodicity_root,0.006723,530.211183,450.3,79.911183,12.612091,12.1,0.512091,0.0,243.392833,243.519098,243.392833,75.930352,19.410094,-56.520259,3.796518,52.723741,not_rooted_fixed_mdot_pressure_residual_diagnostic,198.537922,0.01816726,0.32235655,299.19,536.2095,536.216223,positive realized wallHeatFlux as source and negative realized wallHeatFlux as fixed segment loss,hold mdot at CFD observation; do not perform pressure root search,thermal_periodicity_and_section_heat_parity; pressure_residual_diagnostic,fixed_Q_realized_wallflux_diagnostic_not_predictive_boundary_model,False,"{""heated_incline"": 243.51909758}","{""cooled_incline_hx_active"": 148.718686808, ""heated_incline"": 6.668141359, ""left_upper_vertical"": 20.080505149, ""right_vertical"": 23.117313813, ""test_section"": 5.679836082, ""top_horizontal_exit"": 39.128349537}",{},{},fixed_Q_realized_wallflux_no_radiation
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,N2_cfd_setup_bc_plus_passive_conv_rad_off,Impose CFD setup sources/sinks and non-cooler hA/Ta convection-only external losses with radiation disabled.,0.01318,0.01318,0.0,True,True,temperature_periodicity_root_found,0.0,429.803322,450.3,-20.496678,13.504867,12.1,1.404867,136.35074,166.34508,302.7,0.0,76.572521,53.130176,-23.442344,3.828626,19.613718,not_rooted_fixed_mdot_pressure_residual_diagnostic,69.119531,0.01746814,0.9259322,299.19,435.226001,435.226001,"CFD heater/test-section imposed sources, CFD cooler imposed sink, and non-cooler CFD hA/Ta external losses; radiation_on=False",hold mdot at CFD observation; do not perform pressure root search,thermal_periodicity_and_section_heat_parity; pressure_residual_diagnostic,radiation_off_hA_Ta_sensitivity_not_cfd_parity_after_AGENT_277,False,"{""heated_incline"": 265.7, ""test_section"": 37.0}",{},"{""cooled_incline_hx_active"": 0.131759018, ""heated_incline"": 0.248693639, ""left_upper_vertical"": 0.186354144, ""right_vertical"": 0.217194226, ""test_section"": 0.091720624, ""top_horizontal_exit"": 0.408727585}","{""cooled_incline_hx_active"": 299.19, ""heated_incline"": 299.19, ""left_upper_vertical"": 299.19, ""right_vertical"": 299.19, ""test_section"": 299.19, ""top_horizontal_exit"": 299.19}",setup_sources_cooler_duty_hA_Ta_convection_no_radiation
salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,N0_current_fluid_rad_off,Current Fluid salt contract at CFD mdot with 1D radiation disabled.,0.01497,0.01497,0.0,False,False,no_bracketed_temperature_periodicity_root,1.406629,545.635229,463.7,81.935229,10.959834,12.2,-1.240166,53.865976,250.631218,334.5,0.0,48.238829,20.2076,-28.031229,2.411941,25.619287,not_rooted_fixed_mdot_pressure_residual_diagnostic,248.027483,0.02074637,0.25803592,379.368699,550.0,551.406629,current Fluid heater/test-section source and predictive air-side HX/ambient models; radiation_on=False,hold mdot at CFD observation; do not perform pressure root search,thermal_periodicity_and_section_heat_parity; pressure_residual_diagnostic,reference_only_current_contract_no_radiation,False,{},{},{},{},current_fluid_no_radiation
salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,N1_heater_cooler_imposed_rad_off,"Impose CFD heater source and CFD cooler duty together, no radiation.",0.01497,0.01497,0.0,True,True,temperature_periodicity_root_found,0.0,468.457505,463.7,4.757505,12.22715,12.2,0.02715,150.769639,146.731244,297.5,0.0,69.653255,37.420126,-32.233129,3.482663,28.750466,not_rooted_fixed_mdot_pressure_residual_diagnostic,129.563139,0.02014285,0.49396765,506.103079,474.728719,474.728719,CFD heater imposed source plus CFD cooler imposed sink; no test-section source; Fluid no-radiation ambient model remains active,hold mdot at CFD observation; do not perform pressure root search,thermal_periodicity_and_section_heat_parity; pressure_residual_diagnostic,combined_heater_cooler_boundary_probe_no_radiation,False,"{""heated_incline"": 297.5}",{},{},{},heater_source_plus_cooler_duty_no_radiation
salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,N3_realized_wallflux_diagnostic_rad_off,"Fixed-Q diagnostic using CFD realized wallHeatFlux roles, no radiation term added.",0.01497,0.01497,0.0,False,False,no_bracketed_temperature_periodicity_root,0.013423,530.260538,463.7,66.560538,12.462537,12.2,0.262537,0.0,272.869069,273.155375,272.869069,74.726987,22.251022,-52.475966,3.736349,48.739616,not_rooted_fixed_mdot_pressure_residual_diagnostic,225.551148,0.02063483,0.28374939,299.79,536.2395,536.252923,positive realized wallHeatFlux as source and negative realized wallHeatFlux as fixed segment loss,hold mdot at CFD observation; do not perform pressure root search,thermal_periodicity_and_section_heat_parity; pressure_residual_diagnostic,fixed_Q_realized_wallflux_diagnostic_not_predictive_boundary_model,False,"{""heated_incline"": 273.15537485}","{""cooled_incline_hx_active"": 164.340347847, ""heated_incline"": 7.327263296, ""left_upper_vertical"": 22.073866293, ""right_vertical"": 25.347860491, ""test_section"": 10.54504039, ""top_horizontal_exit"": 43.234690515}",{},{},fixed_Q_realized_wallflux_no_radiation
salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,N2_cfd_setup_bc_plus_passive_conv_rad_off,Impose CFD setup sources/sinks and non-cooler hA/Ta convection-only external losses with radiation disabled.,0.01497,0.01497,0.0,True,True,temperature_periodicity_root_found,0.0,441.313238,463.7,-22.386762,13.145968,12.2,0.945968,150.769639,183.726184,334.5,0.0,75.289444,51.625981,-23.663463,3.764472,19.89899,not_rooted_fixed_mdot_pressure_residual_diagnostic,92.256981,0.0199278,0.69371444,299.79,446.719771,446.719771,"CFD heater/test-section imposed sources, CFD cooler imposed sink, and non-cooler CFD hA/Ta external losses; radiation_on=False",hold mdot at CFD observation; do not perform pressure root search,thermal_periodicity_and_section_heat_parity; pressure_residual_diagnostic,radiation_off_hA_Ta_sensitivity_not_cfd_parity_after_AGENT_277,False,"{""heated_incline"": 297.5, ""test_section"": 37.0}",{},"{""cooled_incline_hx_active"": 0.1341047, ""heated_incline"": 0.253651469, ""left_upper_vertical"": 0.189835359, ""right_vertical"": 0.221408988, ""test_section"": 0.092924361, ""top_horizontal_exit"": 0.416449962}","{""cooled_incline_hx_active"": 299.79, ""heated_incline"": 299.79, ""left_upper_vertical"": 299.79, ""right_vertical"": 299.79, ""test_section"": 299.79, ""top_horizontal_exit"": 299.79}",setup_sources_cooler_duty_hA_Ta_convection_no_radiation
salt_4,viscosity_screening_salt_test_4_jin_coarse_mesh,N0_current_fluid_rad_off,Current Fluid salt contract at CFD mdot with 1D radiation disabled.,0.01698,0.01698,0.0,False,False,no_bracketed_temperature_periodicity_root,2.842097,546.344573,479.2,67.144573,11.297685,12.3,-1.002315,53.999574,251.839345,374.6,0.0,44.506426,23.09657,-21.409855,2.225321,19.184534,not_rooted_fixed_mdot_pressure_residual_diagnostic,281.373214,0.02353218,0.22745591,379.806531,550.0,552.842097,current Fluid heater/test-section source and predictive air-side HX/ambient models; radiation_on=False,hold mdot at CFD observation; do not perform pressure root search,thermal_periodicity_and_section_heat_parity; pressure_residual_diagnostic,reference_only_current_contract_no_radiation,False,{},{},{},{},current_fluid_no_radiation
salt_4,viscosity_screening_salt_test_4_jin_coarse_mesh,N1_heater_cooler_imposed_rad_off,"Impose CFD heater source and CFD cooler duty together, no radiation.",0.01698,0.01698,0.0,True,True,temperature_periodicity_root_found,0.0,486.231594,479.2,7.031594,12.208063,12.3,-0.091937,169.226815,168.374139,337.6,0.0,69.371405,35.872798,-33.498607,3.46857,30.030036,not_rooted_fixed_mdot_pressure_residual_diagnostic,176.61754,0.02300545,0.36236491,531.677626,492.487366,492.487366,CFD heater imposed source plus CFD cooler imposed sink; no test-section source; Fluid no-radiation ambient model remains active,hold mdot at CFD observation; do not perform pressure root search,thermal_periodicity_and_section_heat_parity; pressure_residual_diagnostic,combined_heater_cooler_boundary_probe_no_radiation,False,"{""heated_incline"": 337.6}",{},{},{},heater_source_plus_cooler_duty_no_radiation
