family,velocity_mode,source_id,format,path,size_bytes,exists
y_velocity_side_z,y_component,viscosity_screening_salt_test_1_jin_coarse_mesh,png,work_products/2026-07/2026-07-21/2026-07-21_velocity_magnitude_pictures/figures/y_velocity_side_z/viscosity_screening_salt_test_1_jin_coarse_mesh/upcomer/png/viscosity_screening_salt_test_1_jin_coarse_mesh_upcomer_velocity_y_component_arrows_side_z.png,185010,true
y_velocity_side_z,y_component,viscosity_screening_salt_test_1_jin_coarse_mesh,svg,work_products/2026-07/2026-07-21/2026-07-21_velocity_magnitude_pictures/figures/y_velocity_side_z/viscosity_screening_salt_test_1_jin_coarse_mesh/upcomer/svg/viscosity_screening_salt_test_1_jin_coarse_mesh_upcomer_velocity_y_component_arrows_side_z.svg,265509,true
y_velocity_side_z,y_component,viscosity_screening_salt_test_1_jin_coarse_mesh,pdf,work_products/2026-07/2026-07-21/2026-07-21_velocity_magnitude_pictures/figures/y_velocity_side_z/viscosity_screening_salt_test_1_jin_coarse_mesh/upcomer/pdf/viscosity_screening_salt_test_1_jin_coarse_mesh_upcomer_velocity_y_component_arrows_side_z.pdf,26102706,true
y_velocity_side_z,y_component,val_salt_test_2_coarse_mesh_laminar,png,work_products/2026-07/2026-07-21/2026-07-21_velocity_magnitude_pictures/figures/y_velocity_side_z/val_salt_test_2_coarse_mesh_laminar/upcomer/png/val_salt_test_2_coarse_mesh_laminar_upcomer_velocity_y_component_arrows_side_z.png,206184,true
y_velocity_side_z,y_component,val_salt_test_2_coarse_mesh_laminar,svg,work_products/2026-07/2026-07-21/2026-07-21_velocity_magnitude_pictures/figures/y_velocity_side_z/val_salt_test_2_coarse_mesh_laminar/upcomer/svg/val_salt_test_2_coarse_mesh_laminar_upcomer_velocity_y_component_arrows_side_z.svg,288842,true
y_velocity_side_z,y_component,val_salt_test_2_coarse_mesh_laminar,pdf,work_products/2026-07/2026-07-21/2026-07-21_velocity_magnitude_pictures/figures/y_velocity_side_z/val_salt_test_2_coarse_mesh_laminar/upcomer/pdf/val_salt_test_2_coarse_mesh_laminar_upcomer_velocity_y_component_arrows_side_z.pdf,26092044,true
y_velocity_side_z,y_component,viscosity_screening_salt_test_3_jin_coarse_mesh,png,work_products/2026-07/2026-07-21/2026-07-21_velocity_magnitude_pictures/figures/y_velocity_side_z/viscosity_screening_salt_test_3_jin_coarse_mesh/upcomer/png/viscosity_screening_salt_test_3_jin_coarse_mesh_upcomer_velocity_y_component_arrows_side_z.png,211050,true
y_velocity_side_z,y_component,viscosity_screening_salt_test_3_jin_coarse_mesh,svg,work_products/2026-07/2026-07-21/2026-07-21_velocity_magnitude_pictures/figures/y_velocity_side_z/viscosity_screening_salt_test_3_jin_coarse_mesh/upcomer/svg/viscosity_screening_salt_test_3_jin_coarse_mesh_upcomer_velocity_y_component_arrows_side_z.svg,301181,true
y_velocity_side_z,y_component,viscosity_screening_salt_test_3_jin_coarse_mesh,pdf,work_products/2026-07/2026-07-21/2026-07-21_velocity_magnitude_pictures/figures/y_velocity_side_z/viscosity_screening_salt_test_3_jin_coarse_mesh/upcomer/pdf/viscosity_screening_salt_test_3_jin_coarse_mesh_upcomer_velocity_y_component_arrows_side_z.pdf,26102636,true
y_velocity_side_z,y_component,viscosity_screening_salt_test_4_jin_coarse_mesh,png,work_products/2026-07/2026-07-21/2026-07-21_velocity_magnitude_pictures/figures/y_velocity_side_z/viscosity_screening_salt_test_4_jin_coarse_mesh/upcomer/png/viscosity_screening_salt_test_4_jin_coarse_mesh_upcomer_velocity_y_component_arrows_side_z.png,193847,true
