case_id,validation_split_role,segment_id,fluid_parent_segment,patch_group,physical_role,heat_path,patch_count,area_m2,coverage_factor,coverage_basis,h_W_m2_K,hA_W_K,external_convection_resistance_K_W,Ta_K,Tsur_K,emissivity,thicknessLayers,thickness_total_m,kappaLayerCoeffs,wall_layer_metadata_status,wall_or_layer_resistance_status,boundary_field_availability_status,drive_temperature_selector,predictive_runtime_status,replay_runtime_status,radiation_policy,wallHeatFlux_runtime_allowed_predictive,realized_wallHeatFlux_diagnostic_W,imposed_Q_documentation_W,source_property_label_status,source_use_category,runtime_leakage_policy,provenance_author_title,source_paths
salt_2,train,cooling_branch,cooled_incline_hx_active,ambient_wall,ambient_wall,external_convection;radiation;wall_conduction;contact_layer_resistance,6,0.03257168,1.0,grouped_segment_role_from_prior_external_boundary_dictionary,4.045201782,0.131759018,7.58961333608,299.19,299.19,0.95,(0.001651 0.035559999999999994),0.037211,((9.248 0.01571 0 0 0 0 0 0) (0.036056549855 -6.2436910698e-05 1.9275102287e-07 0 0 0 0 0)),h_and_layers_present,available_from_layer_metadata_future_compute,setup_convection_and_radiation_fields_present,fluid_segment_bulk_temperature_for_v1_setup_mode,schema_ready_setup_inputs_only,diagnostic_total_wallHeatFlux_only_no_extra_convection_or_radiation,predictive_radiation_from_emissivity_Tsur;embedded_in_wallHeatFlux_replay_no_extra_term,false,-12.367946808,0,required_before_final_scorecard,setup_schema_or_diagnostic_not_fit_candidate,forbidden predictive use; diagnostic wallHeatFlux/source path only,AGENT-297 predictive external BC implementation wave,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5398/wallHeatFlux.dat
salt_2,train,cooling_branch,cooled_incline_hx_active,cooler,cooler,jacket_cooler_removal,3,0.029778515,1.0,grouped_segment_role_from_prior_external_boundary_dictionary,,,,,,,,,,no_wall_layer_metadata,not_applicable_or_blocked_missing_metadata,explicit_unavailable_active_cooler_sink_not_passive_external_bc,fluid_segment_bulk_temperature_for_v1_setup_mode,document_only_source_sink_not_passive_external_fit,diagnostic_total_wallHeatFlux_only_no_extra_convection_or_radiation,not_applicable_or_blocked_missing_metadata,false,-136.35074,-136.350739906,required_before_final_scorecard,setup_schema_or_diagnostic_not_fit_candidate,forbidden predictive use; diagnostic wallHeatFlux/source path only,AGENT-297 predictive external BC implementation wave,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5398/wallHeatFlux.dat
salt_2,train,downcomer,right_vertical,ambient_wall,ambient_wall,external_convection;radiation;wall_conduction;contact_layer_resistance,3,0.063435,1.0,grouped_segment_role_from_prior_external_boundary_dictionary,3.42388628,0.217194226,4.60417395815,299.19,299.19,0.95,(0.001651 0.035559999999999994),0.037211,((9.248 0.01571 0 0 0 0 0 0) (0.036056549855 -6.2436910698e-05 1.9275102287e-07 0 0 0 0 0)),h_and_layers_present,available_from_layer_metadata_future_compute,setup_convection_and_radiation_fields_present,fluid_segment_bulk_temperature_for_v1_setup_mode,schema_ready_setup_inputs_only,diagnostic_total_wallHeatFlux_only_no_extra_convection_or_radiation,predictive_radiation_from_emissivity_Tsur;embedded_in_wallHeatFlux_replay_no_extra_term,false,-23.117313813,0,required_before_final_scorecard,setup_schema_or_diagnostic_not_fit_candidate,forbidden predictive use; diagnostic wallHeatFlux/source path only,AGENT-297 predictive external BC implementation wave,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5398/wallHeatFlux.dat
salt_2,train,junction,top_horizontal_exit,junction_other,junction_other,external_convection;radiation;wall_conduction;residual,29,0.042478796,1.0,grouped_segment_role_from_prior_external_boundary_dictionary,9.621920204,0.408727585,2.446617345,299.19,299.19,0.95,(0.006096001 0.035559999999999994),0.041656001,((9.248 0.01571 0 0 0 0 0 0) (0.036056549855 -6.2436910698e-05 1.9275102287e-07 0 0 0 0 0)),mixed:h_and_layers_present | h_only | no_wall_layer_metadata,mixed_available_grouped_row_future_split_needed,setup_convection_and_radiation_fields_present,fluid_segment_bulk_temperature_for_v1_setup_mode,schema_ready_setup_inputs_only,diagnostic_total_wallHeatFlux_only_no_extra_convection_or_radiation,predictive_radiation_from_emissivity_Tsur;embedded_in_wallHeatFlux_replay_no_extra_term,false,-39.128349537,0,required_before_final_scorecard,setup_schema_or_diagnostic_not_fit_candidate,forbidden predictive use; diagnostic wallHeatFlux/source path only,AGENT-297 predictive external BC implementation wave,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5398/wallHeatFlux.dat
salt_2,train,lower_leg,heated_incline,ambient_wall,ambient_wall,external_convection;radiation;wall_conduction;contact_layer_resistance,6,0.016563776,1.0,grouped_segment_role_from_prior_external_boundary_dictionary,3.945999179,0.065360646,15.2997262664,299.19,299.19,0.95,mixed:(0.001651 0.035559999999999994) | (0.006096001 0.035559999999999994),mixed:0.037211 | 0.041656001,((9.248 0.01571 0 0 0 0 0 0) (0.036056549855 -6.2436910698e-05 1.9275102287e-07 0 0 0 0 0)),h_and_layers_present,available_from_layer_metadata_future_compute,setup_convection_and_radiation_fields_present,fluid_segment_bulk_temperature_for_v1_setup_mode,schema_ready_setup_inputs_only,diagnostic_total_wallHeatFlux_only_no_extra_convection_or_radiation,predictive_radiation_from_emissivity_Tsur;embedded_in_wallHeatFlux_replay_no_extra_term,false,-6.668141359,0,required_before_final_scorecard,setup_schema_or_diagnostic_not_fit_candidate,forbidden predictive use; diagnostic wallHeatFlux/source path only,AGENT-297 predictive external BC implementation wave,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5398/wallHeatFlux.dat
salt_2,train,lower_leg,heated_incline,heater,heater,heater_source_to_fluid;external_convection;radiation;wall_conduction,3,0.045786417,1.0,grouped_segment_role_from_prior_external_boundary_dictionary,4.004091273,0.183332993,5.45455558817,299.19,299.19,0.95,(0.001651 0.003175 0.035559999999999994),0.040386,((9.248 0.01571 0 0 0 0 0 0) (50 0 0 0 0 0 0 0) (0.036056549855 -6.2436910698e-05 1.9275102287e-07 0 0 0 0 0)),h_and_layers_present,available_from_layer_metadata_future_compute,setup_convection_and_radiation_fields_present,fluid_segment_bulk_temperature_for_v1_setup_mode,document_only_source_sink_not_passive_external_fit,diagnostic_total_wallHeatFlux_only_no_extra_convection_or_radiation,predictive_radiation_from_emissivity_Tsur;embedded_in_wallHeatFlux_replay_no_extra_term,false,243.51909758,265.7,required_before_final_scorecard,setup_schema_or_diagnostic_not_fit_candidate,forbidden predictive use; diagnostic wallHeatFlux/source path only,AGENT-297 predictive external BC implementation wave,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5398/wallHeatFlux.dat
salt_2,train,upcomer,left_upper_vertical,ambient_wall,ambient_wall,external_convection;radiation;wall_conduction;contact_layer_resistance,6,0.050313118,1.0,grouped_segment_role_from_prior_external_boundary_dictionary,3.703887805,0.186354144,5.36612697473,299.19,299.19,0.95,mixed:(0.001651 0.035559999999999994) | (0.002199999999999999 0.006096001 0.035559999999999994),mixed:0.037211 | 0.043856001,mixed:((1.4 0 0 0 0 0 0 0) (9.248 0.01571 0 0 0 0 0 0) (0.036056549855 -6.2436910698e-05 1.9275102287e-07 0 0 0 0 0)) | ((9.248 0.01571 0 0 0 0 0 0) (0.036056549855 -6.2436910698e-05 1.9275102287e-07 0 0 0 0 0)),h_and_layers_present,available_from_layer_metadata_future_compute,setup_convection_and_radiation_fields_present,fluid_segment_bulk_temperature_for_v1_setup_mode,schema_ready_setup_inputs_only,diagnostic_total_wallHeatFlux_only_no_extra_convection_or_radiation,predictive_radiation_from_emissivity_Tsur;embedded_in_wallHeatFlux_replay_no_extra_term,false,-20.080505149,0,required_before_final_scorecard,setup_schema_or_diagnostic_not_fit_candidate,forbidden predictive use; diagnostic wallHeatFlux/source path only,AGENT-297 predictive external BC implementation wave,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5398/wallHeatFlux.dat
salt_2,train,upcomer,left_upper_vertical,test_section,test_section,insulation_quartz;external_convection;radiation,1,0.012258449,1.0,grouped_segment_role_from_prior_external_boundary_dictionary,7.482237304,0.091720624,10.9026732709,299.19,299.19,0.95,(0.002199999999999999),0.0022,((1.4 0 0 0 0 0 0 0)),h_and_layers_present,available_from_layer_metadata_future_compute,setup_convection_and_radiation_fields_present,fluid_segment_bulk_temperature_for_v1_setup_mode,document_only_source_sink_not_passive_external_fit,diagnostic_total_wallHeatFlux_only_no_extra_convection_or_radiation,predictive_radiation_from_emissivity_Tsur;embedded_in_wallHeatFlux_replay_no_extra_term,false,-5.679836082,37,required_before_final_scorecard,setup_schema_or_diagnostic_not_fit_candidate,forbidden predictive use; diagnostic wallHeatFlux/source path only,AGENT-297 predictive external BC implementation wave,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5398/wallHeatFlux.dat
salt_3,validation,cooling_branch,cooled_incline_hx_active,ambient_wall,ambient_wall,external_convection;radiation;wall_conduction;contact_layer_resistance,6,0.032571682,1.0,grouped_segment_role_from_prior_external_boundary_dictionary,4.117217539,0.1341047,7.456860177,299.79,299.79,0.95,(0.001651 0.035559999999999994),0.037211,((9.248 0.01571 0 0 0 0 0 0) (0.036056549855 -6.2436910698e-05 1.9275102287e-07 0 0 0 0 0)),h_and_layers_present,available_from_layer_metadata_future_compute,setup_convection_and_radiation_fields_present,fluid_segment_bulk_temperature_for_v1_setup_mode,schema_ready_setup_inputs_only,diagnostic_total_wallHeatFlux_only_no_extra_convection_or_radiation,predictive_radiation_from_emissivity_Tsur;embedded_in_wallHeatFlux_replay_no_extra_term,false,-13.570709177,0,required_before_final_scorecard,setup_schema_or_diagnostic_not_fit_candidate,forbidden predictive use; diagnostic wallHeatFlux/source path only,AGENT-297 predictive external BC implementation wave,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5287/wallHeatFlux.dat
salt_3,validation,cooling_branch,cooled_incline_hx_active,cooler,cooler,jacket_cooler_removal,3,0.029778515,1.0,grouped_segment_role_from_prior_external_boundary_dictionary,,,,,,,,,,no_wall_layer_metadata,not_applicable_or_blocked_missing_metadata,explicit_unavailable_active_cooler_sink_not_passive_external_bc,fluid_segment_bulk_temperature_for_v1_setup_mode,document_only_source_sink_not_passive_external_fit,diagnostic_total_wallHeatFlux_only_no_extra_convection_or_radiation,not_applicable_or_blocked_missing_metadata,false,-150.76963867,-150.769638673,required_before_final_scorecard,setup_schema_or_diagnostic_not_fit_candidate,forbidden predictive use; diagnostic wallHeatFlux/source path only,AGENT-297 predictive external BC implementation wave,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5287/wallHeatFlux.dat
